region_bld,clim,urt,mat,year,arch,value
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2080,mfh,0.659
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2080,sfh,0.34099999999999997
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2085,mfh,0.659
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2085,sfh,0.34099999999999997
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2090,mfh,0.659
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2090,sfh,0.34099999999999997
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2095,mfh,0.659
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2095,sfh,0.34099999999999997
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2100,mfh,0.659
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2100,sfh,0.34099999999999997
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2015,mfh,0.773
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2015,sfh,0.227
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2020,mfh,0.773
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2020,sfh,0.227
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2025,mfh,0.773
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2025,sfh,0.227
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2030,mfh,0.783
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2030,sfh,0.217
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2035,mfh,0.793
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2035,sfh,0.207
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2040,mfh,0.803
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2040,sfh,0.19699999999999998
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2045,mfh,0.8130000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2045,sfh,0.18699999999999997
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2050,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2050,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2055,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2055,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2060,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2060,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2065,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2065,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2070,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2070,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2075,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2075,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2080,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2080,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2085,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2085,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2090,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2090,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2095,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2095,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2100,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,2100,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2015,mfh,0.773
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2015,sfh,0.227
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2020,mfh,0.773
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2020,sfh,0.227
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2025,mfh,0.773
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2025,sfh,0.227
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2030,mfh,0.783
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2030,sfh,0.217
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2035,mfh,0.793
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2035,sfh,0.207
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2040,mfh,0.803
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2040,sfh,0.19699999999999998
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2045,mfh,0.8130000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2045,sfh,0.18699999999999997
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2050,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2050,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2055,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2055,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2060,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2060,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2065,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2065,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2070,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2070,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2075,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2075,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2080,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2080,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2085,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2085,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2090,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2090,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2095,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2095,sfh,0.17699999999999996
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2100,mfh,0.8230000000000001
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,2100,sfh,0.17699999999999996
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2015,mfh,0.657
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2015,sfh,0.343
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2020,mfh,0.657
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2020,sfh,0.343
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2025,mfh,0.657
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2025,sfh,0.343
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2030,mfh,0.667
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2030,sfh,0.333
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2035,mfh,0.677
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2035,sfh,0.323
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2040,mfh,0.687
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2040,sfh,0.313
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2045,mfh,0.6970000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2045,sfh,0.303
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2050,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2050,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2055,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2055,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2060,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2060,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2065,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2065,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2070,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2070,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2075,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2075,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2080,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2080,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2085,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2085,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2090,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2090,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2095,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2095,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2100,mfh,0.7070000000000001
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,2100,sfh,0.293
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2015,mfh,0.73
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2015,sfh,0.27
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2020,mfh,0.73
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2020,sfh,0.27
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2025,mfh,0.73
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2025,sfh,0.27
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2030,mfh,0.74
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2030,sfh,0.26
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2035,mfh,0.75
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2035,sfh,0.25
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2040,mfh,0.76
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2040,sfh,0.24
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2045,mfh,0.77
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2045,sfh,0.22999999999999998
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2050,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2050,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2055,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2055,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2060,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2060,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2065,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2065,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2070,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2070,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2075,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2075,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2080,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2080,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2085,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2085,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2090,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2090,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2095,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2095,sfh,0.21999999999999997
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2100,mfh,0.78
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,2100,sfh,0.21999999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2015,mfh,0.548
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2015,sfh,0.452
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2020,mfh,0.548
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2020,sfh,0.452
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2025,mfh,0.548
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2025,sfh,0.452
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2030,mfh,0.558
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2030,sfh,0.442
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2035,mfh,0.5680000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2035,sfh,0.432
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2040,mfh,0.5780000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2040,sfh,0.422
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2045,mfh,0.5880000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2045,sfh,0.412
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2050,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2050,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2055,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2055,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2060,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2060,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2065,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2065,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2070,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2070,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2075,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2075,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2080,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2080,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2085,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2085,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2090,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2090,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2095,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2095,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2100,mfh,0.5980000000000001
C-EEU-EST,Zone_6A Cold Humid,rur,perm,2100,sfh,0.40199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2015,mfh,0.768
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2015,sfh,0.232
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2020,mfh,0.768
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2020,sfh,0.232
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2025,mfh,0.768
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2025,sfh,0.232
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2030,mfh,0.778
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2030,sfh,0.222
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2035,mfh,0.788
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2035,sfh,0.212
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2040,mfh,0.798
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2040,sfh,0.20199999999999999
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2045,mfh,0.808
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2045,sfh,0.19199999999999998
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2050,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2050,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2055,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2055,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2060,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2060,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2065,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2065,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2070,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2070,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2075,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2075,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2080,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2080,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2085,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2085,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2090,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2090,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2095,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2095,sfh,0.18199999999999997
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2100,mfh,0.8180000000000001
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2100,sfh,0.18199999999999997
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2015,mfh,0.648
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2015,sfh,0.352
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2020,mfh,0.648
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2020,sfh,0.352
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2025,mfh,0.648
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2025,sfh,0.352
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2030,mfh,0.658
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2030,sfh,0.34199999999999997
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2035,mfh,0.668
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2035,sfh,0.33199999999999996
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2040,mfh,0.678
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2040,sfh,0.32199999999999995
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2045,mfh,0.6880000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2045,sfh,0.31199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2050,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2050,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2055,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2055,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2060,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2060,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2065,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2065,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2070,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2070,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2075,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2075,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2080,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2080,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2085,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2085,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2090,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2090,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2095,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2095,sfh,0.30199999999999994
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2100,mfh,0.6980000000000001
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,2100,sfh,0.30199999999999994
C-EEU-HRV,Zone_4A Mixed Humid,rur,perm,2015,mfh,0.331
C-EEU-HRV,Zone_4A Mixed Humid,rur,perm,2015,sfh,0.669
C-EEU-HRV,Zone_4A Mixed Humid,rur,perm,2020,mfh,0.331
C-EEU-HRV,Zone_4A Mixed Humid,rur,perm,2020,sfh,0.669
