region_bld,region_gea,urt,arch,material,value
C-EEU-BGR,EEU,rur,mfh,aluminum,0.49
C-EEU-BGR,EEU,rur,mfh,brick,257.375
C-EEU-BGR,EEU,rur,mfh,concrete,961.2234494
C-EEU-BGR,EEU,rur,mfh,copper,0.182895495
C-EEU-BGR,EEU,rur,mfh,glass,3
C-EEU-BGR,EEU,rur,mfh,steel,52.60229133
C-EEU-BGR,EEU,rur,mfh,wood,19
C-EEU-BGR,EEU,rur,sfh,aluminum,0.49
C-EEU-BGR,EEU,rur,sfh,brick,693.3333333
C-EEU-BGR,EEU,rur,sfh,concrete,608.9187123
C-EEU-BGR,EEU,rur,sfh,copper,0.182895495
C-EEU-BGR,EEU,rur,sfh,glass,5.786343562
C-EEU-BGR,EEU,rur,sfh,steel,10.47057021
C-EEU-BGR,EEU,rur,sfh,wood,38.8856369
C-EEU-BGR,EEU,urb,mfh,aluminum,0.49
C-EEU-BGR,EEU,urb,mfh,brick,257.375
C-EEU-BGR,EEU,urb,mfh,concrete,961.2234494
C-EEU-BGR,EEU,urb,mfh,copper,0.182895495
C-EEU-BGR,EEU,urb,mfh,glass,3
C-EEU-BGR,EEU,urb,mfh,steel,52.60229133
C-EEU-BGR,EEU,urb,mfh,wood,19
C-EEU-BGR,EEU,urb,sfh,aluminum,0.49
C-EEU-BGR,EEU,urb,sfh,brick,693.3333333
C-EEU-BGR,EEU,urb,sfh,concrete,608.9187123
C-EEU-BGR,EEU,urb,sfh,copper,0.182895495
C-EEU-BGR,EEU,urb,sfh,glass,5.786343562
C-EEU-BGR,EEU,urb,sfh,steel,10.47057021
C-EEU-BGR,EEU,urb,sfh,wood,38.8856369
C-EEU-CZE,EEU,rur,mfh,aluminum,0.49
C-EEU-CZE,EEU,rur,mfh,brick,257.375
C-EEU-CZE,EEU,rur,mfh,concrete,958.7756324
C-EEU-CZE,EEU,rur,mfh,copper,0.182895495
C-EEU-CZE,EEU,rur,mfh,glass,3
C-EEU-CZE,EEU,rur,mfh,steel,52.60229133
C-EEU-CZE,EEU,rur,mfh,wood,19
C-EEU-CZE,EEU,rur,sfh,aluminum,0.49
C-EEU-CZE,EEU,rur,sfh,brick,693.3333333
C-EEU-CZE,EEU,rur,sfh,concrete,621.1197847
C-EEU-CZE,EEU,rur,sfh,copper,0.182895495
C-EEU-CZE,EEU,rur,sfh,glass,5.786343562
C-EEU-CZE,EEU,rur,sfh,steel,10.47057021
C-EEU-CZE,EEU,rur,sfh,wood,39.26943787
C-EEU-CZE,EEU,urb,mfh,aluminum,0.49
C-EEU-CZE,EEU,urb,mfh,brick,257.375
C-EEU-CZE,EEU,urb,mfh,concrete,958.7756324
C-EEU-CZE,EEU,urb,mfh,copper,0.182895495
C-EEU-CZE,EEU,urb,mfh,glass,3
C-EEU-CZE,EEU,urb,mfh,steel,52.60229133
C-EEU-CZE,EEU,urb,mfh,wood,19
C-EEU-CZE,EEU,urb,sfh,aluminum,0.49
C-EEU-CZE,EEU,urb,sfh,brick,693.3333333
C-EEU-CZE,EEU,urb,sfh,concrete,621.1197847
C-EEU-CZE,EEU,urb,sfh,copper,0.182895495
C-EEU-CZE,EEU,urb,sfh,glass,5.786343562
C-EEU-CZE,EEU,urb,sfh,steel,10.47057021
C-EEU-CZE,EEU,urb,sfh,wood,39.26943787
C-EEU-EST,EEU,rur,mfh,aluminum,0.49
C-EEU-EST,EEU,rur,mfh,brick,257.375
C-EEU-EST,EEU,rur,mfh,concrete,958.7756324
C-EEU-EST,EEU,rur,mfh,copper,0.182895495
C-EEU-EST,EEU,rur,mfh,glass,3
C-EEU-EST,EEU,rur,mfh,steel,52.60229133
C-EEU-EST,EEU,rur,mfh,wood,19
C-EEU-EST,EEU,rur,sfh,aluminum,0.49
C-EEU-EST,EEU,rur,sfh,brick,693.3333333
C-EEU-EST,EEU,rur,sfh,concrete,621.1197847
C-EEU-EST,EEU,rur,sfh,copper,0.182895495
