region_bld,clim,urt,mat,arch,year,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,mfh,2015,0.426
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,sfh,2015,0.574
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,mfh,2015,0.609
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,sfh,2015,0.391
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,mfh,2015,0.773
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,sfh,2015,0.227
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,mfh,2015,0.773
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,sfh,2015,0.227
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,mfh,2015,0.657
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,sfh,2015,0.343
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,mfh,2015,0.73
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,sfh,2015,0.27
C-EEU-EST,Zone_6A Cold Humid,rur,perm,mfh,2015,0.548
C-EEU-EST,Zone_6A Cold Humid,rur,perm,sfh,2015,0.452
C-EEU-EST,Zone_6A Cold Humid,urb,perm,mfh,2015,0.768
C-EEU-EST,Zone_6A Cold Humid,urb,perm,sfh,2015,0.232
C-EEU-HRV,Zone_4A Mixed Humid,rur,perm,mfh,2015,0.331
C-EEU-HRV,Zone_4A Mixed Humid,rur,perm,sfh,2015,0.669
C-EEU-HRV,Zone_4A Mixed Humid,urb,perm,mfh,2015,0.667
C-EEU-HRV,Zone_4A Mixed Humid,urb,perm,sfh,2015,0.333
C-EEU-HRV,Zone_5A Cool Humid,rur,perm,mfh,2015,0.412
C-EEU-HRV,Zone_5A Cool Humid,rur,perm,sfh,2015,0.588
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,mfh,2015,0.648
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,sfh,2015,0.352
C-EEU-HRV,Zone_4C Mixed Marine,rur,perm,mfh,2015,0.608
C-EEU-HRV,Zone_4C Mixed Marine,rur,perm,sfh,2015,0.392
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,mfh,2015,0.274
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,sfh,2015,0.726
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,mfh,2015,0.447
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,sfh,2015,0.553
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,mfh,2015,0.22
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,sfh,2015,0.78
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,mfh,2015,0.368
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,sfh,2015,0.632
C-EEU-LTU,Zone_5A Cool Humid,rur,perm,mfh,2015,0.42
C-EEU-LTU,Zone_5A Cool Humid,rur,perm,sfh,2015,0.58
C-EEU-LTU,Zone_5A Cool Humid,urb,perm,mfh,2015,0.707
C-EEU-LTU,Zone_5A Cool Humid,urb,perm,sfh,2015,0.293
C-EEU-LTU,Zone_6A Cold Humid,rur,perm,mfh,2015,0.449
C-EEU-LTU,Zone_6A Cold Humid,rur,perm,sfh,2015,0.551
C-EEU-LTU,Zone_6A Cold Humid,urb,perm,mfh,2015,0.648
C-EEU-LTU,Zone_6A Cold Humid,urb,perm,sfh,2015,0.352
C-EEU-LVA,Zone_6A Cold Humid,rur,perm,mfh,2015,0.612
C-EEU-LVA,Zone_6A Cold Humid,rur,perm,sfh,2015,0.388
C-EEU-LVA,Zone_6A Cold Humid,urb,perm,mfh,2015,0.843
C-EEU-LVA,Zone_6A Cold Humid,urb,perm,sfh,2015,0.157
C-EEU-POL,Zone_5A Cool Humid,rur,perm,mfh,2015,0.414
C-EEU-POL,Zone_5A Cool Humid,rur,perm,sfh,2015,0.586
C-EEU-POL,Zone_5A Cool Humid,urb,perm,mfh,2015,0.698
C-EEU-POL,Zone_5A Cool Humid,urb,perm,sfh,2015,0.302
C-EEU-POL,Zone_6A Cold Humid,rur,perm,mfh,2015,0.192
C-EEU-POL,Zone_6A Cold Humid,rur,perm,sfh,2015,0.808
