region_bld,urt,arch,mat,year,value
C-EEU-CZE,rur,sfh,perm,2040,50.00629301318702
C-EEU-CZE,rur,sfh,perm,2045,51.57576345237928
C-EEU-CZE,rur,sfh,perm,2050,53.03945188837075
C-EEU-CZE,rur,sfh,perm,2055,54.39136252803329
C-EEU-CZE,rur,sfh,perm,2060,55.62913172220097
C-EEU-CZE,rur,sfh,perm,2065,56.753534109735625
C-EEU-CZE,rur,sfh,perm,2070,57.76789124063266
C-EEU-CZE,rur,sfh,perm,2075,58.67745556709226
C-EEU-CZE,rur,sfh,perm,2080,59.488825351093155
C-EEU-CZE,rur,sfh,perm,2085,60.20942680232832
C-EEU-CZE,rur,sfh,perm,2090,60.84708227209134
C-EEU-CZE,rur,sfh,perm,2095,61.40966953667754
C-EEU-CZE,rur,sfh,perm,2100,61.90486766051387
C-EEU-CZE,urb,mfh,perm,2020,24.145946964354323
C-EEU-CZE,urb,mfh,perm,2025,25.18931125296969
C-EEU-CZE,urb,mfh,perm,2030,26.20822434210655
C-EEU-CZE,urb,mfh,perm,2035,27.19100358894321
C-EEU-CZE,urb,mfh,perm,2040,28.127713726914426
C-EEU-CZE,urb,mfh,perm,2045,29.010514921652312
C-EEU-CZE,urb,mfh,perm,2050,29.833815487085268
C-EEU-CZE,urb,mfh,perm,2055,30.594242888627917
C-EEU-CZE,urb,mfh,perm,2060,31.29046761267136
C-EEU-CZE,urb,mfh,perm,2065,31.92292538077854
C-EEU-CZE,urb,mfh,perm,2070,32.49348450995059
C-EEU-CZE,urb,mfh,perm,2075,33.00509941778075
C-EEU-CZE,urb,mfh,perm,2080,33.46148151763019
C-EEU-CZE,urb,mfh,perm,2085,33.8668079297719
C-EEU-CZE,urb,mfh,perm,2090,34.22547859758496
C-EEU-CZE,urb,mfh,perm,2095,34.54192464009636
C-EEU-CZE,urb,mfh,perm,2100,34.820465404189804
C-EEU-CZE,urb,sfh,perm,2020,42.180380466585376
C-EEU-CZE,urb,sfh,perm,2025,44.00302601136413
C-EEU-CZE,urb,sfh,perm,2030,45.78295793226264
C-EEU-CZE,urb,sfh,perm,2035,47.49976790486099
C-EEU-CZE,urb,sfh,perm,2040,49.13610008370912
C-EEU-CZE,urb,sfh,perm,2045,50.67825911873772
C-EEU-CZE,urb,sfh,perm,2050,52.11647693390907
C-EEU-CZE,urb,sfh,perm,2055,53.444862072898935
C-EEU-CZE,urb,sfh,perm,2060,54.661092017980366
C-EEU-CZE,urb,sfh,perm,2065,55.76592792800663
C-EEU-CZE,urb,sfh,perm,2070,56.762633552461494
C-EEU-CZE,urb,sfh,perm,2075,57.656369942113585
C-EEU-CZE,urb,sfh,perm,2080,58.45362053817459
C-EEU-CZE,urb,sfh,perm,2085,59.161682321898894
C-EEU-CZE,urb,sfh,perm,2090,59.78824152261666
C-EEU-CZE,urb,sfh,perm,2095,60.34103883017228
C-EEU-CZE,urb,sfh,perm,2100,60.82761968045987
C-EEU-EST,rur,mfh,perm,2020,24.007437001442295
C-EEU-EST,rur,mfh,perm,2025,25.199860827321867
C-EEU-EST,rur,mfh,perm,2030,26.366969897232895
C-EEU-EST,rur,mfh,perm,2035,27.495048995010976
C-EEU-EST,rur,mfh,perm,2040,28.572388246526828
C-EEU-EST,rur,mfh,perm,2045,29.589693773126207
C-EEU-EST,rur,mfh,perm,2050,30.540271327859298
C-EEU-EST,rur,mfh,perm,2055,31.419998531075464
C-EEU-EST,rur,mfh,perm,2060,32.22712562366613
C-EEU-EST,rur,mfh,perm,2065,32.961957353783475
C-EEU-EST,rur,mfh,perm,2070,33.626470230946794
C-EEU-EST,rur,mfh,perm,2075,34.223912735773126
C-EEU-EST,rur,mfh,perm,2080,34.758424827666786
C-EEU-EST,rur,mfh,perm,2085,35.23470058545358
C-EEU-EST,rur,mfh,perm,2090,35.65770642253296
C-EEU-EST,rur,mfh,perm,2095,36.03245831588954
C-EEU-EST,rur,mfh,perm,2100,36.363855244626905
C-EEU-EST,rur,sfh,perm,2020,40.13456655259269
C-EEU-EST,rur,sfh,perm,2025,42.1280077265
C-EEU-EST,rur,sfh,perm,2030,44.07912881608839
C-EEU-EST,rur,sfh,perm,2035,45.965001332327546
C-EEU-EST,rur,sfh,perm,2040,47.766049227906144
C-EEU-EST,rur,sfh,perm,2045,49.46673540940775
C-EEU-EST,rur,sfh,perm,2050,51.05586873220035
C-EEU-EST,rur,sfh,perm,2055,52.526557585137226
C-EEU-EST,rur,sfh,perm,2060,53.87587679868072
C-EEU-EST,rur,sfh,perm,2065,55.104335837251945
C-EEU-EST,rur,sfh,perm,2070,56.21523894165096
C-EEU-EST,rur,sfh,perm,2075,57.21401677744658
C-EEU-EST,rur,sfh,perm,2080,58.10759034483667
C-EEU-EST,rur,sfh,perm,2085,58.90380699624898
C-EEU-EST,rur,sfh,perm,2090,59.610969360951955
C-EEU-EST,rur,sfh,perm,2095,60.23746292641362
C-EEU-EST,rur,sfh,perm,2100,60.7914775882426
C-EEU-EST,urb,mfh,perm,2020,22.575030671588156
C-EEU-EST,urb,mfh,perm,2025,23.696308400699632
C-EEU-EST,urb,mfh,perm,2030,24.793781781500225
C-EEU-EST,urb,mfh,perm,2035,25.854553917684015
C-EEU-EST,urb,mfh,perm,2040,26.867613606030385
C-EEU-EST,urb,mfh,perm,2045,27.824221488161967
C-EEU-EST,urb,mfh,perm,2050,28.718082730098526
C-EEU-EST,urb,mfh,perm,2055,29.54532091441792
C-EEU-EST,urb,mfh,perm,2060,30.304290681578387
C-EEU-EST,urb,mfh,perm,2065,30.995278596900565
C-EEU-EST,urb,mfh,perm,2070,31.620143241249146
C-EEU-EST,urb,mfh,perm,2075,32.18193927429318
C-EEU-EST,urb,mfh,perm,2080,32.684559644310575
C-EEU-EST,urb,mfh,perm,2085,33.132418357405385
C-EEU-EST,urb,mfh,perm,2090,33.5301855053835
C-EEU-EST,urb,mfh,perm,2095,33.882577786419255
C-EEU-EST,urb,mfh,perm,2100,34.194201881497236
C-EEU-EST,urb,sfh,perm,2020,39.43615813362596
C-EEU-EST,urb,sfh,perm,2025,41.39491010522814
C-EEU-EST,urb,sfh,perm,2030,43.31207843258584
C-EEU-EST,urb,sfh,perm,2035,45.16513362063203
C-EEU-EST,urb,sfh,perm,2040,46.934840277939465
C-EEU-EST,urb,sfh,perm,2045,48.60593168243944
C-EEU-EST,urb,sfh,perm,2050,50.16741143408797
C-EEU-EST,urb,sfh,perm,2055,51.6125078472703
C-EEU-EST,urb,sfh,perm,2060,52.93834665527914
C-EEU-EST,urb,sfh,perm,2065,54.14542845700469
C-EEU-EST,urb,sfh,perm,2070,55.23699999394422
C-EEU-EST,urb,sfh,perm,2075,56.218397429025075
C-EEU-EST,urb,sfh,perm,2080,57.09642132549463
C-EEU-EST,urb,sfh,perm,2085,57.87878247875576
C-EEU-EST,urb,sfh,perm,2090,58.573639038475456
C-EEU-EST,urb,sfh,perm,2095,59.189230570649336
C-EEU-EST,urb,sfh,perm,2100,59.73360445303834
C-EEU-HRV,rur,mfh,perm,2020,27.45028268341433
C-EEU-HRV,rur,mfh,perm,2025,28.337283815683858
