region_gea,material,year,eol_treat,value
AFR,concrete,2090,reuse,0.07
AFR,concrete,2090,recycling,0.11
AFR,concrete,2090,downcycling,0.65
AFR,concrete,2090,others,0.16999999999999993
AFR,concrete,2095,reuse,0.07
AFR,concrete,2095,recycling,0.11
AFR,concrete,2095,downcycling,0.65
AFR,concrete,2095,others,0.16999999999999993
AFR,concrete,2100,reuse,0.07
AFR,concrete,2100,recycling,0.11
AFR,concrete,2100,downcycling,0.65
AFR,concrete,2100,others,0.16999999999999993
AFR,copper,2015,reuse,0
AFR,copper,2015,recycling,0.38
AFR,copper,2015,downcycling,0
AFR,copper,2015,others,0.62
AFR,copper,2020,reuse,0
AFR,copper,2020,recycling,0.38
AFR,copper,2020,downcycling,0
AFR,copper,2020,others,0.62
AFR,copper,2025,reuse,0
AFR,copper,2025,recycling,0.38
AFR,copper,2025,downcycling,0
AFR,copper,2025,others,0.62
AFR,copper,2030,reuse,0.007142857142857143
AFR,copper,2030,recycling,0.4014285714285714
AFR,copper,2030,downcycling,0
AFR,copper,2030,others,0.5914285714285714
AFR,copper,2035,reuse,0.014285714285714285
AFR,copper,2035,recycling,0.4228571428571429
AFR,copper,2035,downcycling,0
AFR,copper,2035,others,0.5628571428571428
AFR,copper,2040,reuse,0.02142857142857143
AFR,copper,2040,recycling,0.4442857142857143
AFR,copper,2040,downcycling,0
AFR,copper,2040,others,0.5342857142857143
AFR,copper,2045,reuse,0.02857142857142857
AFR,copper,2045,recycling,0.4657142857142857
AFR,copper,2045,downcycling,0
AFR,copper,2045,others,0.5057142857142857
AFR,copper,2050,reuse,0.03571428571428572
AFR,copper,2050,recycling,0.48714285714285716
AFR,copper,2050,downcycling,0
AFR,copper,2050,others,0.4771428571428571
AFR,copper,2055,reuse,0.04285714285714286
AFR,copper,2055,recycling,0.5085714285714286
AFR,copper,2055,downcycling,0
AFR,copper,2055,others,0.44857142857142857
AFR,copper,2060,reuse,0.05
AFR,copper,2060,recycling,0.53
AFR,copper,2060,downcycling,0
AFR,copper,2060,others,0.42
AFR,copper,2065,reuse,0.05
AFR,copper,2065,recycling,0.53
AFR,copper,2065,downcycling,0
AFR,copper,2065,others,0.42
AFR,copper,2070,reuse,0.05
AFR,copper,2070,recycling,0.53
AFR,copper,2070,downcycling,0
AFR,copper,2070,others,0.42
AFR,copper,2075,reuse,0.05
AFR,copper,2075,recycling,0.53
AFR,copper,2075,downcycling,0
AFR,copper,2075,others,0.42
AFR,copper,2080,reuse,0.05
AFR,copper,2080,recycling,0.53
AFR,copper,2080,downcycling,0
AFR,copper,2080,others,0.42
AFR,copper,2085,reuse,0.05
AFR,copper,2085,recycling,0.53
AFR,copper,2085,downcycling,0
AFR,copper,2085,others,0.42
AFR,copper,2090,reuse,0.05
AFR,copper,2090,recycling,0.53
AFR,copper,2090,downcycling,0
AFR,copper,2090,others,0.42
AFR,copper,2095,reuse,0.05
AFR,copper,2095,recycling,0.53
AFR,copper,2095,downcycling,0
AFR,copper,2095,others,0.42
AFR,copper,2100,reuse,0.05
AFR,copper,2100,recycling,0.53
AFR,copper,2100,downcycling,0
AFR,copper,2100,others,0.42
AFR,glass,2015,reuse,0.02
AFR,glass,2015,recycling,0.05
AFR,glass,2015,downcycling,0.45
AFR,glass,2015,others,0.48
AFR,glass,2020,reuse,0.02
AFR,glass,2020,recycling,0.05
AFR,glass,2020,downcycling,0.45
AFR,glass,2020,others,0.48
AFR,glass,2025,reuse,0.02
AFR,glass,2025,recycling,0.05
AFR,glass,2025,downcycling,0.45
AFR,glass,2025,others,0.48
AFR,glass,2030,reuse,0.027142857142857142
AFR,glass,2030,recycling,0.0642857142857143
AFR,glass,2030,downcycling,0.45
AFR,glass,2030,others,0.4585714285714286
AFR,glass,2035,reuse,0.03428571428571429
AFR,glass,2035,recycling,0.07857142857142857
AFR,glass,2035,downcycling,0.45
AFR,glass,2035,others,0.4371428571428571
AFR,glass,2040,reuse,0.041428571428571426
AFR,glass,2040,recycling,0.09285714285714286
AFR,glass,2040,downcycling,0.45
AFR,glass,2040,others,0.4157142857142857
AFR,glass,2045,reuse,0.04857142857142857
AFR,glass,2045,recycling,0.10714285714285715
AFR,glass,2045,downcycling,0.45
AFR,glass,2045,others,0.39428571428571424
AFR,glass,2050,reuse,0.055714285714285716
AFR,glass,2050,recycling,0.12142857142857144
AFR,glass,2050,downcycling,0.45
AFR,glass,2050,others,0.37285714285714283
