region_bld,region_gea,mat,arch,bld_age,year,parameter,value
C-EEU-CZE,EEU,perm,mfh,p1,2095,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p1,2100,scale,236.68270457706586
C-EEU-CZE,EEU,perm,mfh,p1,2100,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2020,scale,135.24725975832334
C-EEU-CZE,EEU,perm,mfh,p2,2020,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2025,scale,135.24725975832334
C-EEU-CZE,EEU,perm,mfh,p2,2025,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2030,scale,148.7719857341557
C-EEU-CZE,EEU,perm,mfh,p2,2030,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2035,scale,162.296711709988
C-EEU-CZE,EEU,perm,mfh,p2,2035,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2040,scale,175.82143768582034
C-EEU-CZE,EEU,perm,mfh,p2,2040,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2045,scale,189.34616366165267
C-EEU-CZE,EEU,perm,mfh,p2,2045,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2050,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2050,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2055,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2055,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2060,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2060,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2065,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2065,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2070,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2070,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2075,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2075,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2080,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2080,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2085,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2085,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2090,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2090,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2095,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2095,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p2,2100,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p2,2100,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2020,scale,135.24725975832334
C-EEU-CZE,EEU,perm,mfh,p3,2020,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2025,scale,135.24725975832334
C-EEU-CZE,EEU,perm,mfh,p3,2025,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2030,scale,148.7719857341557
C-EEU-CZE,EEU,perm,mfh,p3,2030,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2035,scale,162.296711709988
C-EEU-CZE,EEU,perm,mfh,p3,2035,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2040,scale,175.82143768582034
C-EEU-CZE,EEU,perm,mfh,p3,2040,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2045,scale,189.34616366165267
C-EEU-CZE,EEU,perm,mfh,p3,2045,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2050,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2050,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2055,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2055,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2060,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2060,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2065,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2065,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2070,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2070,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2075,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2075,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2080,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2080,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2085,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2085,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2090,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2090,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2095,scale,202.870889637485
C-EEU-CZE,EEU,perm,mfh,p3,2095,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p3,2100,scale,202.870889637485
