region_gea,urt,mat,arch,year,value
AFR,rur,perm,sfh,2020,0.974920598
AFR,rur,perm,mfh,2020,0.025079402
AFR,rur,sub,inf,2020,1
AFR,urb,perm,sfh,2020,0.885241756
AFR,urb,perm,mfh,2020,0.114758244
AFR,urb,sub,inf,2020,1
CPA,rur,perm,sfh,2020,0.431964512
CPA,rur,perm,mfh,2020,0.568035488
CPA,rur,sub,inf,2020,1
CPA,urb,perm,sfh,2020,0.095
CPA,urb,perm,mfh,2020,0.905
CPA,urb,sub,inf,2020,1
EEU,rur,perm,sfh,2020,0.78884423
EEU,rur,perm,mfh,2020,0.21115577
EEU,rur,sub,inf,2020,1
EEU,urb,perm,sfh,2020,0.292417361
EEU,urb,perm,mfh,2020,0.707582639
EEU,urb,sub,inf,2020,1
FSU,rur,perm,sfh,2020,0.78884423
FSU,rur,perm,mfh,2020,0.21115577
FSU,rur,sub,inf,2020,1
FSU,urb,perm,sfh,2020,0.292417361
FSU,urb,perm,mfh,2020,0.707582639
FSU,urb,sub,inf,2020,1
LAC,rur,perm,sfh,2020,0.99193434
LAC,rur,perm,mfh,2020,0.00806566
LAC,rur,sub,inf,2020,1
LAC,urb,perm,sfh,2020,0.879047501
LAC,urb,perm,mfh,2020,0.120952499
LAC,urb,sub,inf,2020,1
MEA,rur,perm,sfh,2020,0.926230082
MEA,rur,perm,mfh,2020,0.073769918
MEA,rur,sub,inf,2020,1
MEA,urb,perm,sfh,2020,0.851362739
MEA,urb,perm,mfh,2020,0.148637261
MEA,urb,sub,inf,2020,1
NAM,rur,perm,sfh,2020,0.966275902
NAM,rur,perm,mfh,2020,0.033724098
NAM,rur,sub,inf,2020,1
NAM,urb,perm,sfh,2020,0.693780519
NAM,urb,perm,mfh,2020,0.306219481
NAM,urb,sub,inf,2020,1
PAO,rur,perm,sfh,2020,0.966275902
PAO,rur,perm,mfh,2020,0.033724098
PAO,rur,sub,inf,2020,1
PAO,urb,perm,sfh,2020,0.537454121
PAO,urb,perm,mfh,2020,0.462545879
PAO,urb,sub,inf,2020,1
PAS,rur,perm,sfh,2020,0.869700919
PAS,rur,perm,mfh,2020,0.130299081
PAS,rur,sub,inf,2020,1
PAS,urb,perm,sfh,2020,0.779711543
PAS,urb,perm,mfh,2020,0.220288457
PAS,urb,sub,inf,2020,1
SAS,rur,perm,sfh,2020,0.957943925
SAS,rur,perm,mfh,2020,0.042056075
SAS,rur,sub,inf,2020,1
SAS,urb,perm,sfh,2020,0.704242424
SAS,urb,perm,mfh,2020,0.295757576
SAS,urb,sub,inf,2020,1
WEU,rur,perm,sfh,2020,0.961316338
WEU,rur,perm,mfh,2020,0.038683662
WEU,rur,sub,inf,2020,1
WEU,urb,perm,sfh,2020,0.474132962
WEU,urb,perm,mfh,2020,0.525867038
WEU,urb,sub,inf,2020,1
