region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.186
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.251
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.118
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.083
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.078
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.074
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.074
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.046
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.009
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.017
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.011
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.013
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.011
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.029
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.186
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.251
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.118
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.083
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.078
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.074
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.074
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.046
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.009
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.017
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.011
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.013
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.011
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.029
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.109
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.185
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.093
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.065
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.061
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.058
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.097
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.061
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.012
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.023
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.06
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.069
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.051
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.056
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.109
