scenario_recycling,material,2020,2025,2030,2035,2040,2045,2050,2055,2060
REC_FIX,aluminum,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163
REC_FIX,concrete,0,0,0,0,0,0,0,0,0
REC_FIX,copper,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
REC_FIX,glass,0,0,0,0,0,0,0,0,0
REC_FIX,steel,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092
REC_FIX,wood,0,0,0,0,0,0,0,0,0
REC_DYN,aluminum,0.163,0.275333333,0.387666667,0.5,0.54,0.58,0.62,0.66,0.7
REC_DYN,concrete,0,0,0,0,0,0,0,0,0
REC_DYN,copper,0.32,0.35,0.38,0.41,0.44,0.47,0.5,0.53,0.56
REC_DYN,glass,0,0,0,0,0,0,0,0,0
REC_DYN,steel,0.092,0.143333333,0.194666667,0.246,0.297333333,0.348666667,0.4,0.451333333,0.502666667
REC_DYN,wood,0,0,0,0,0,0,0,0,0
REC_HIGH,aluminum,0.163,0.256375,0.34975,0.443125,0.5365,0.629875,0.72325,0.816625,0.91
REC_HIGH,concrete,0,0,0,0,0,0,0,0,0
REC_HIGH,copper,0.32,0.371,0.422,0.473,0.524,0.575,0.626,0.677,0.728
REC_HIGH,glass,0,0,0,0,0,0,0,0,0
REC_HIGH,steel,0.092,0.162183333,0.232366667,0.30255,0.372733333,0.442916667,0.5131,0.583283333,0.653466667
REC_HIGH,wood,0,0,0,0,0,0,0,0,0
