region_gea,urt,arch,material,year,value
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,aluminum,NA,2.026666667
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,concrete,NA,967.35
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,copper,NA,0.211134752
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,glass,NA,5.706666667
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,steel,NA,80.85758865
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,rur,comm,wood,NA,44.53531915
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,aluminum,NA,2.08742268
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,concrete,NA,947.3215464
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
AFR,urb,comm,copper,NA,0.140633911
