clim_policy,region_gea,fuel,year,value
1p5C,CPA,electricity,2070,0.206292635
1p5C,CPA,electricity,2080,0.169607876
1p5C,CPA,electricity,2090,0.124198534
1p5C,CPA,electricity,2100,-0.010158244
1p5C,CPA,gas,2015,56.1
1p5C,CPA,gas,2020,56.1
1p5C,CPA,gas,2025,56.1
1p5C,CPA,gas,2030,56.1
1p5C,CPA,gas,2035,56.1
1p5C,CPA,gas,2040,56.1
1p5C,CPA,gas,2045,56.1
1p5C,CPA,gas,2050,56.1
1p5C,CPA,gas,2055,56.1
1p5C,CPA,gas,2060,56.1
1p5C,CPA,gas,2070,56.1
1p5C,CPA,gas,2080,56.1
1p5C,CPA,gas,2090,56.1
1p5C,CPA,gas,2100,56.1
1p5C,CPA,oil,2015,73.3
1p5C,CPA,oil,2020,73.3
1p5C,CPA,oil,2025,73.3
1p5C,CPA,oil,2030,73.3
1p5C,CPA,oil,2035,73.3
1p5C,CPA,oil,2040,73.3
1p5C,CPA,oil,2045,73.3
1p5C,CPA,oil,2050,73.3
1p5C,CPA,oil,2055,73.3
1p5C,CPA,oil,2060,73.3
1p5C,CPA,oil,2070,73.3
1p5C,CPA,oil,2080,73.3
1p5C,CPA,oil,2090,73.3
1p5C,CPA,oil,2100,73.3
1p5C,EEU,biomass_solid,2015,0
1p5C,EEU,biomass_solid,2020,0
1p5C,EEU,biomass_solid,2025,0
1p5C,EEU,biomass_solid,2030,0
1p5C,EEU,biomass_solid,2035,0
1p5C,EEU,biomass_solid,2040,0
1p5C,EEU,biomass_solid,2045,0
1p5C,EEU,biomass_solid,2050,0
1p5C,EEU,biomass_solid,2055,0
1p5C,EEU,biomass_solid,2060,0
1p5C,EEU,biomass_solid,2070,0
1p5C,EEU,biomass_solid,2080,0
1p5C,EEU,biomass_solid,2090,0
1p5C,EEU,biomass_solid,2100,0
1p5C,EEU,coal,2015,94.6
1p5C,EEU,coal,2020,94.6
1p5C,EEU,coal,2025,94.6
1p5C,EEU,coal,2030,94.6
1p5C,EEU,coal,2035,94.6
1p5C,EEU,coal,2040,94.6
1p5C,EEU,coal,2045,94.6
1p5C,EEU,coal,2050,94.6
1p5C,EEU,coal,2055,94.6
1p5C,EEU,coal,2060,94.6
1p5C,EEU,coal,2070,94.6
1p5C,EEU,coal,2080,94.6
1p5C,EEU,coal,2090,94.6
1p5C,EEU,coal,2100,94.6
1p5C,EEU,district_heat,2015,79.55380812
1p5C,EEU,district_heat,2020,35.8995304
1p5C,EEU,district_heat,2025,28.18475379
1p5C,EEU,district_heat,2030,6.91788906
1p5C,EEU,district_heat,2035,4.754916403
1p5C,EEU,district_heat,2040,3.367582336
1p5C,EEU,district_heat,2045,3.26231012
1p5C,EEU,district_heat,2050,3.2129905
1p5C,EEU,district_heat,2055,3.481198314
1p5C,EEU,district_heat,2060,2.5882955
1p5C,EEU,district_heat,2070,1.602468121
1p5C,EEU,district_heat,2080,0.829291409
1p5C,EEU,district_heat,2090,0.448034652
1p5C,EEU,district_heat,2100,0.290791071
1p5C,EEU,electricity,2015,162.8818486
1p5C,EEU,electricity,2020,96.36894961
1p5C,EEU,electricity,2025,47.19902264
1p5C,EEU,electricity,2030,18.71131548
1p5C,EEU,electricity,2035,2.383742373
1p5C,EEU,electricity,2040,-0.23151071
1p5C,EEU,electricity,2045,-0.3629699
1p5C,EEU,electricity,2050,0.758452717
1p5C,EEU,electricity,2055,0.472163469
1p5C,EEU,electricity,2060,0.490351805
1p5C,EEU,electricity,2070,0.614269478
1p5C,EEU,electricity,2080,0.772078197
1p5C,EEU,electricity,2090,0.63129093
1p5C,EEU,electricity,2100,0.53394608
1p5C,EEU,gas,2015,56.1
1p5C,EEU,gas,2020,56.1
1p5C,EEU,gas,2025,56.1
1p5C,EEU,gas,2030,56.1
1p5C,EEU,gas,2035,56.1
1p5C,EEU,gas,2040,56.1
1p5C,EEU,gas,2045,56.1
1p5C,EEU,gas,2050,56.1
1p5C,EEU,gas,2055,56.1
1p5C,EEU,gas,2060,56.1
1p5C,EEU,gas,2070,56.1
1p5C,EEU,gas,2080,56.1
1p5C,EEU,gas,2090,56.1
1p5C,EEU,gas,2100,56.1
1p5C,EEU,oil,2015,73.3
1p5C,EEU,oil,2020,73.3
1p5C,EEU,oil,2025,73.3
1p5C,EEU,oil,2030,73.3
1p5C,EEU,oil,2035,73.3
1p5C,EEU,oil,2040,73.3
1p5C,EEU,oil,2045,73.3
1p5C,EEU,oil,2050,73.3
1p5C,EEU,oil,2055,73.3
1p5C,EEU,oil,2060,73.3
1p5C,EEU,oil,2070,73.3
1p5C,EEU,oil,2080,73.3
1p5C,EEU,oil,2090,73.3
1p5C,EEU,oil,2100,73.3
1p5C,FSU,biomass_solid,2015,0
1p5C,FSU,biomass_solid,2020,0
1p5C,FSU,biomass_solid,2025,0
1p5C,FSU,biomass_solid,2030,0
1p5C,FSU,biomass_solid,2035,0
1p5C,FSU,biomass_solid,2040,0
1p5C,FSU,biomass_solid,2045,0
1p5C,FSU,biomass_solid,2050,0
1p5C,FSU,biomass_solid,2055,0
1p5C,FSU,biomass_solid,2060,0
1p5C,FSU,biomass_solid,2070,0
1p5C,FSU,biomass_solid,2080,0
1p5C,FSU,biomass_solid,2090,0
1p5C,FSU,biomass_solid,2100,0
1p5C,FSU,coal,2015,94.6
1p5C,FSU,coal,2020,94.6
1p5C,FSU,coal,2025,94.6
1p5C,FSU,coal,2030,94.6
1p5C,FSU,coal,2035,94.6
1p5C,FSU,coal,2040,94.6
1p5C,FSU,coal,2045,94.6
1p5C,FSU,coal,2050,94.6
1p5C,FSU,coal,2055,94.6
1p5C,FSU,coal,2060,94.6
1p5C,FSU,coal,2070,94.6
1p5C,FSU,coal,2080,94.6
1p5C,FSU,coal,2090,94.6
1p5C,FSU,coal,2100,94.6
1p5C,FSU,district_heat,2015,85.17244563
1p5C,FSU,district_heat,2020,59.03444016
1p5C,FSU,district_heat,2025,47.87311944
1p5C,FSU,district_heat,2030,37.67810817
1p5C,FSU,district_heat,2035,29.69940211
1p5C,FSU,district_heat,2040,14.06557146
1p5C,FSU,district_heat,2045,11.6411999
1p5C,FSU,district_heat,2050,12.39249093
1p5C,FSU,district_heat,2055,10.84791872
1p5C,FSU,district_heat,2060,10.02975433
1p5C,FSU,district_heat,2070,7.028765697
1p5C,FSU,district_heat,2080,4.862474974
1p5C,FSU,district_heat,2090,3.007572533
1p5C,FSU,district_heat,2100,1.404612367
1p5C,FSU,electricity,2015,179.791837
1p5C,FSU,electricity,2020,155.2152004
1p5C,FSU,electricity,2025,53.69991132
1p5C,FSU,electricity,2030,8.972401689
1p5C,FSU,electricity,2035,0.718398553
1p5C,FSU,electricity,2040,0.286913915
1p5C,FSU,electricity,2045,-0.079332258
1p5C,FSU,electricity,2050,-0.021517843
1p5C,FSU,electricity,2055,-0.051730152
1p5C,FSU,electricity,2060,-0.052251843
1p5C,FSU,electricity,2070,-0.005268213
1p5C,FSU,electricity,2080,0.004392991
1p5C,FSU,electricity,2090,0
1p5C,FSU,electricity,2100,0.00720191
1p5C,FSU,gas,2015,56.1
1p5C,FSU,gas,2020,56.1
1p5C,FSU,gas,2025,56.1
1p5C,FSU,gas,2030,56.1
1p5C,FSU,gas,2035,56.1
1p5C,FSU,gas,2040,56.1
1p5C,FSU,gas,2045,56.1
1p5C,FSU,gas,2050,56.1
1p5C,FSU,gas,2055,56.1
1p5C,FSU,gas,2060,56.1
1p5C,FSU,gas,2070,56.1
1p5C,FSU,gas,2080,56.1
1p5C,FSU,gas,2090,56.1
1p5C,FSU,gas,2100,56.1
1p5C,FSU,oil,2015,73.3
1p5C,FSU,oil,2020,73.3
1p5C,FSU,oil,2025,73.3
1p5C,FSU,oil,2030,73.3
1p5C,FSU,oil,2035,73.3
1p5C,FSU,oil,2040,73.3
1p5C,FSU,oil,2045,73.3
1p5C,FSU,oil,2050,73.3
1p5C,FSU,oil,2055,73.3
1p5C,FSU,oil,2060,73.3
1p5C,FSU,oil,2070,73.3
1p5C,FSU,oil,2080,73.3
1p5C,FSU,oil,2090,73.3
1p5C,FSU,oil,2100,73.3
1p5C,LAC,biomass_solid,2015,0
1p5C,LAC,biomass_solid,2020,0
1p5C,LAC,biomass_solid,2025,0
1p5C,LAC,biomass_solid,2030,0
1p5C,LAC,biomass_solid,2035,0
1p5C,LAC,biomass_solid,2040,0
1p5C,LAC,biomass_solid,2045,0
1p5C,LAC,biomass_solid,2050,0
1p5C,LAC,biomass_solid,2055,0
1p5C,LAC,biomass_solid,2060,0
1p5C,LAC,biomass_solid,2070,0
1p5C,LAC,biomass_solid,2080,0
1p5C,LAC,biomass_solid,2090,0
1p5C,LAC,biomass_solid,2100,0
1p5C,LAC,coal,2015,94.6
1p5C,LAC,coal,2020,94.6
1p5C,LAC,coal,2025,94.6
1p5C,LAC,coal,2030,94.6
1p5C,LAC,coal,2035,94.6
1p5C,LAC,coal,2040,94.6
1p5C,LAC,coal,2045,94.6
1p5C,LAC,coal,2050,94.6
1p5C,LAC,coal,2055,94.6
1p5C,LAC,coal,2060,94.6
1p5C,LAC,coal,2070,94.6
1p5C,LAC,coal,2080,94.6
1p5C,LAC,coal,2090,94.6
1p5C,LAC,coal,2100,94.6
1p5C,LAC,district_heat,2015,0
1p5C,LAC,district_heat,2020,42.73923048
1p5C,LAC,district_heat,2025,0
1p5C,LAC,district_heat,2030,0
1p5C,LAC,district_heat,2035,0
1p5C,LAC,district_heat,2040,0
1p5C,LAC,district_heat,2045,0
1p5C,LAC,district_heat,2050,0
1p5C,LAC,district_heat,2055,0
1p5C,LAC,district_heat,2060,0
1p5C,LAC,district_heat,2070,0
1p5C,LAC,district_heat,2080,0
1p5C,LAC,district_heat,2090,0
1p5C,LAC,district_heat,2100,0
1p5C,LAC,electricity,2015,69.91249884
1p5C,LAC,electricity,2020,54.46163972
1p5C,LAC,electricity,2025,14.68570973
1p5C,LAC,electricity,2030,2.8069633
1p5C,LAC,electricity,2035,0.410589367
1p5C,LAC,electricity,2040,-0.813705592
1p5C,LAC,electricity,2045,-1.628654684
1p5C,LAC,electricity,2050,-2.146596762
1p5C,LAC,electricity,2055,-2.127728468
1p5C,LAC,electricity,2060,-2.615588678
1p5C,LAC,electricity,2070,-4.458119464
1p5C,LAC,electricity,2080,-1.641001405
1p5C,LAC,electricity,2090,-1.182123084
1p5C,LAC,electricity,2100,-1.004019683
1p5C,LAC,gas,2015,56.1
1p5C,LAC,gas,2020,56.1
1p5C,LAC,gas,2025,56.1
1p5C,LAC,gas,2030,56.1
1p5C,LAC,gas,2035,56.1
1p5C,LAC,gas,2040,56.1
1p5C,LAC,gas,2045,56.1
1p5C,LAC,gas,2050,56.1
1p5C,LAC,gas,2055,56.1
1p5C,LAC,gas,2060,56.1
1p5C,LAC,gas,2070,56.1
1p5C,LAC,gas,2080,56.1
1p5C,LAC,gas,2090,56.1
1p5C,LAC,gas,2100,56.1
1p5C,LAC,oil,2015,73.3
1p5C,LAC,oil,2020,73.3
1p5C,LAC,oil,2025,73.3
1p5C,LAC,oil,2030,73.3
1p5C,LAC,oil,2035,73.3
1p5C,LAC,oil,2040,73.3
1p5C,LAC,oil,2045,73.3
1p5C,LAC,oil,2050,73.3
1p5C,LAC,oil,2055,73.3
1p5C,LAC,oil,2060,73.3
1p5C,LAC,oil,2070,73.3
1p5C,LAC,oil,2080,73.3
1p5C,LAC,oil,2090,73.3
1p5C,LAC,oil,2100,73.3
1p5C,MEA,biomass_solid,2015,0
1p5C,MEA,biomass_solid,2020,0
1p5C,MEA,biomass_solid,2025,0
1p5C,MEA,biomass_solid,2030,0
1p5C,MEA,biomass_solid,2035,0
1p5C,MEA,biomass_solid,2040,0
1p5C,MEA,biomass_solid,2045,0
1p5C,MEA,biomass_solid,2050,0
1p5C,MEA,biomass_solid,2055,0
1p5C,MEA,biomass_solid,2060,0
1p5C,MEA,biomass_solid,2070,0
1p5C,MEA,biomass_solid,2080,0
1p5C,MEA,biomass_solid,2090,0
1p5C,MEA,biomass_solid,2100,0
1p5C,MEA,coal,2015,94.6
1p5C,MEA,coal,2020,94.6
1p5C,MEA,coal,2025,94.6
1p5C,MEA,coal,2030,94.6
1p5C,MEA,coal,2035,94.6
1p5C,MEA,coal,2040,94.6
1p5C,MEA,coal,2045,94.6
1p5C,MEA,coal,2050,94.6
1p5C,MEA,coal,2055,94.6
1p5C,MEA,coal,2060,94.6
1p5C,MEA,coal,2070,94.6
1p5C,MEA,coal,2080,94.6
1p5C,MEA,coal,2090,94.6
1p5C,MEA,coal,2100,94.6
1p5C,MEA,district_heat,2015,0
1p5C,MEA,district_heat,2020,38.21813426
1p5C,MEA,district_heat,2025,45.00874308
1p5C,MEA,district_heat,2030,43.85473056
1p5C,MEA,district_heat,2035,34.86850568
1p5C,MEA,district_heat,2040,29.4340668
1p5C,MEA,district_heat,2045,20.02462491
1p5C,MEA,district_heat,2050,5.554567416
1p5C,MEA,district_heat,2055,6.005694705
1p5C,MEA,district_heat,2060,6.27057795
1p5C,MEA,district_heat,2070,7.11453342
1p5C,MEA,district_heat,2080,7.835421646
1p5C,MEA,district_heat,2090,7.554051655
1p5C,MEA,district_heat,2100,6.759105205
1p5C,MEA,electricity,2015,153.2539705
1p5C,MEA,electricity,2020,114.8116787
1p5C,MEA,electricity,2025,71.42286486
1p5C,MEA,electricity,2030,32.82285874
1p5C,MEA,electricity,2035,3.92923211
1p5C,MEA,electricity,2040,1.544847858
1p5C,MEA,electricity,2045,1.082808277
1p5C,MEA,electricity,2050,0.77119402
1p5C,MEA,electricity,2055,0.490745552
1p5C,MEA,electricity,2060,0.536179751
1p5C,MEA,electricity,2070,0.952681851
1p5C,MEA,electricity,2080,0.871982703
1p5C,MEA,electricity,2090,0.652014692
1p5C,MEA,electricity,2100,0.261763223
