eneff,region_gea,fuel_heat,year,value
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,biomass_solid,NA,0.4
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,coal,NA,0.75
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,district_heat,NA,0.98
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,electricity,NA,1
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,gas,NA,0.75
ns,AFR,oil,NA,0.75
ns,AFR,oil,NA,0.75
ns,AFR,oil,NA,0.75
ns,AFR,oil,NA,0.75
ns,AFR,oil,NA,0.75
ns,AFR,oil,NA,0.75
