region_gea,fuel_cool,year,value
AFR,electricity,NA,2.7
AFR,electricity,NA,2.835294118
AFR,electricity,NA,2.970588235
AFR,electricity,NA,3.105882353
AFR,electricity,NA,3.241176471
AFR,electricity,NA,3.376470588
AFR,electricity,NA,3.511764706
AFR,electricity,NA,3.647058824
AFR,electricity,NA,3.782352941
AFR,electricity,NA,3.917647059
AFR,electricity,NA,4.052941176
AFR,electricity,NA,4.188235294
AFR,electricity,NA,4.323529412
AFR,electricity,NA,4.458823529
AFR,electricity,NA,4.594117647
AFR,electricity,NA,4.729411765
AFR,electricity,NA,4.864705882
AFR,electricity,NA,5
CPA,electricity,NA,3.2
CPA,electricity,NA,3.305882353
CPA,electricity,NA,3.411764706
CPA,electricity,NA,3.517647059
CPA,electricity,NA,3.623529412
CPA,electricity,NA,3.729411765
CPA,electricity,NA,3.835294118
CPA,electricity,NA,3.941176471
CPA,electricity,NA,4.047058824
CPA,electricity,NA,4.152941176
CPA,electricity,NA,4.258823529
CPA,electricity,NA,4.364705882
CPA,electricity,NA,4.470588235
CPA,electricity,NA,4.576470588
CPA,electricity,NA,4.682352941
CPA,electricity,NA,4.788235294
CPA,electricity,NA,4.894117647
CPA,electricity,NA,5
EEU,electricity,NA,3
EEU,electricity,NA,3.117647059
EEU,electricity,NA,3.235294118
EEU,electricity,NA,3.352941176
EEU,electricity,NA,3.470588235
EEU,electricity,NA,3.588235294
EEU,electricity,NA,3.705882353
EEU,electricity,NA,3.823529412
EEU,electricity,NA,3.941176471
EEU,electricity,NA,4.058823529
EEU,electricity,NA,4.176470588
EEU,electricity,NA,4.294117647
EEU,electricity,NA,4.411764706
EEU,electricity,NA,4.529411765
EEU,electricity,NA,4.647058824
EEU,electricity,NA,4.764705882
EEU,electricity,NA,4.882352941
EEU,electricity,NA,5
FSU,electricity,NA,3
FSU,electricity,NA,3.117647059
FSU,electricity,NA,3.235294118
FSU,electricity,NA,3.352941176
FSU,electricity,NA,3.470588235
FSU,electricity,NA,3.588235294
FSU,electricity,NA,3.705882353
FSU,electricity,NA,3.823529412
FSU,electricity,NA,3.941176471
FSU,electricity,NA,4.058823529
FSU,electricity,NA,4.176470588
FSU,electricity,NA,4.294117647
FSU,electricity,NA,4.411764706
FSU,electricity,NA,4.529411765
FSU,electricity,NA,4.647058824
FSU,electricity,NA,4.764705882
FSU,electricity,NA,4.882352941
FSU,electricity,NA,5
LAC,electricity,NA,2.9
LAC,electricity,NA,3.023529412
LAC,electricity,NA,3.147058824
LAC,electricity,NA,3.270588235
LAC,electricity,NA,3.394117647
LAC,electricity,NA,3.517647059
LAC,electricity,NA,3.641176471
LAC,electricity,NA,3.764705882
LAC,electricity,NA,3.888235294
LAC,electricity,NA,4.011764706
LAC,electricity,NA,4.135294118
LAC,electricity,NA,4.258823529
LAC,electricity,NA,4.382352941
LAC,electricity,NA,4.505882353
LAC,electricity,NA,4.629411765
LAC,electricity,NA,4.752941176
LAC,electricity,NA,4.876470588
LAC,electricity,NA,5
MEA,electricity,NA,2.9
MEA,electricity,NA,3.023529412
MEA,electricity,NA,3.147058824
MEA,electricity,NA,3.270588235
MEA,electricity,NA,3.394117647
MEA,electricity,NA,3.517647059
MEA,electricity,NA,3.641176471
MEA,electricity,NA,3.764705882
MEA,electricity,NA,3.888235294
MEA,electricity,NA,4.011764706
MEA,electricity,NA,4.135294118
MEA,electricity,NA,4.258823529
MEA,electricity,NA,4.382352941
MEA,electricity,NA,4.505882353
MEA,electricity,NA,4.629411765
MEA,electricity,NA,4.752941176
MEA,electricity,NA,4.876470588
MEA,electricity,NA,5
"NAM",electricity,NA,3
"NAM",electricity,NA,3.117647059
"NAM",electricity,NA,3.235294118
"NAM",electricity,NA,3.352941176
"NAM",electricity,NA,3.470588235
"NAM",electricity,NA,3.588235294
"NAM",electricity,NA,3.705882353
"NAM",electricity,NA,3.823529412
"NAM",electricity,NA,3.941176471
"NAM",electricity,NA,4.058823529
"NAM",electricity,NA,4.176470588
"NAM",electricity,NA,4.294117647
"NAM",electricity,NA,4.411764706
"NAM",electricity,NA,4.529411765
"NAM",electricity,NA,4.647058824
"NAM",electricity,NA,4.764705882
"NAM",electricity,NA,4.882352941
"NAM",electricity,NA,5
PAO,electricity,NA,3
PAO,electricity,NA,3.117647059
PAO,electricity,NA,3.235294118
PAO,electricity,NA,3.352941176
PAO,electricity,NA,3.470588235
PAO,electricity,NA,3.588235294
PAO,electricity,NA,3.705882353
PAO,electricity,NA,3.823529412
PAO,electricity,NA,3.941176471
PAO,electricity,NA,4.058823529
PAO,electricity,NA,4.176470588
PAO,electricity,NA,4.294117647
PAO,electricity,NA,4.411764706
PAO,electricity,NA,4.529411765
PAO,electricity,NA,4.647058824
PAO,electricity,NA,4.764705882
PAO,electricity,NA,4.882352941
PAO,electricity,NA,5
PAS,electricity,NA,2.9
