region_bld,clim,urt,arch,eneff,en_dem_heat_sim,en_dem_cool_sim,n_days_cool
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr11_std,259.8929919,4.422212049,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr12_low,259.8929919,4.422212049,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr21_std,248.3638034,4.1858579,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr22_low,248.3638034,4.1858579,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr31_std,156.3322958,5.309201722,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr32_low,156.3322958,5.309201722,13.96794872
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s1,319.7253082,2.055077538,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s2,305.370614,1.941781899,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s3,192.7616445,2.988286926,7.926136364
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s51_std,143.5852337,3.96740939,10.34659091
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s52_low,69.5722001,8.144518071,19.125
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr11_std,319.7253082,2.055077538,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr12_low,319.7253082,2.055077538,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr21_std,305.370614,1.941781899,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr22_low,305.370614,1.941781899,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr31_std,192.7616445,2.988286926,7.926136364
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr32_low,192.7616445,2.988286926,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s1,321.0360351,1.844753497,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s2,306.6247737,1.746926506,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s3,193.5774773,2.754317143,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s51_std,144.2224587,3.646479422,10.34659091
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s52_low,69.99729542,7.823574151,19.125
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr11_std,321.0360351,1.844753497,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr12_low,321.0360351,1.844753497,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr21_std,306.6247737,1.746926506,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr22_low,306.6247737,1.746926506,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr31_std,193.5774773,2.754317143,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr32_low,193.5774773,2.754317143,7.926136364
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s1,207.8227526,16.43281039,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s2,198.546497,15.51360462,32.5
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s3,123.9937535,17.19589263,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s51_std,91.24636608,18.75788067,44.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s52_low,41.29953884,23.96004665,54.88541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr11_std,207.8227526,16.43281039,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr12_low,207.8227526,16.43281039,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr21_std,198.546497,15.51360462,32.5
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr22_low,198.546497,15.51360462,32.5
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr31_std,123.9937535,17.19589263,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr32_low,123.9937535,17.19589263,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s1,209.2634285,16.22663364,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s2,199.9262216,15.26779745,32.5
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s3,124.9754761,17.17515477,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s51_std,92.0489736,18.7529785,44.13541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s52_low,41.77494672,23.78341452,54.88541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr11_std,209.2634285,16.22663364,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr12_low,209.2634285,16.22663364,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr21_std,199.9262216,15.26779745,32.5
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr22_low,199.9262216,15.26779745,32.5
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr31_std,124.9754761,17.17515477,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr32_low,124.9754761,17.17515477,39.89583333
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s1,232.6754253,10.25386177,23.325
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s2,222.331043,9.68798462,22.9875
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s3,139.4495655,11.34783259,28.8375
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s51_std,103.1171533,12.89337125,33
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s52_low,47.78916048,18.25162275,44.9
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr11_std,232.6754253,10.25386177,23.325
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr12_low,232.6754253,10.25386177,23.325
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr21_std,222.331043,9.68798462,22.9875
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr22_low,222.331043,9.68798462,22.9875
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr31_std,139.4495655,11.34783259,28.8375
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr32_low,139.4495655,11.34783259,28.8375
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s1,233.9457732,10.01776377,23.325
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s2,223.5519451,9.465630086,22.9875
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s3,140.2448776,11.21195601,28.8375
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s51_std,103.751055,12.86864216,33
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s52_low,48.15511906,18.34488905,44.9
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr11_std,233.9457732,10.01776377,23.325
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr12_low,233.9457732,10.01776377,23.325
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr21_std,223.5519451,9.465630086,22.9875
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr22_low,223.5519451,9.465630086,22.9875
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr31_std,140.2448776,11.21195601,28.8375
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr32_low,140.2448776,11.21195601,28.8375
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s1,298.302726,3.899774126,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s2,284.9597285,3.691233453,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s3,180.0622579,4.822496767,12.825
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s51_std,134.0212283,5.908375905,15.51666667
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s52_low,64.58757063,9.708498526,23.68333333
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr11_std,298.302726,3.899774126,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr12_low,298.302726,3.899774126,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr21_std,284.9597285,3.691233453,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr22_low,284.9597285,3.691233453,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr31_std,180.0622579,4.822496767,12.825
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr32_low,180.0622579,4.822496767,12.825
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s1,298.1193976,3.827309179,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s2,284.8031487,3.627063425,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s3,180.3891388,4.838531434,12.825
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s51_std,134.4801232,5.846542031,15.51666667
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s52_low,65.17460075,9.397669597,23.68333333
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr11_std,298.1193976,3.827309179,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr12_low,298.1193976,3.827309179,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr21_std,284.8031487,3.627063425,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr22_low,284.8031487,3.627063425,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr31_std,180.3891388,4.838531434,12.825
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr32_low,180.3891388,4.838531434,12.825
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s1,308.4850435,3.096801946,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s2,294.6640528,2.927523139,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s3,186.1518142,4.016710943,10.48717949
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s51_std,138.6952508,5.088525255,13.08974359
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s52_low,66.96040645,9.128828816,21.66025641
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr11_std,308.4850435,3.096801946,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr12_low,308.4850435,3.096801946,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr21_std,294.6640528,2.927523139,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr22_low,294.6640528,2.927523139,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr31_std,186.1518142,4.016710943,10.48717949
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr32_low,186.1518142,4.016710943,10.48717949
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s1,302.6738096,3.400908519,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s2,289.103503,3.229546062,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s3,182.6015371,4.219261338,10.48717949
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s51_std,136.0018395,5.421956788,13.08974359
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s52_low,65.55664291,9.602708852,21.66025641
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr11_std,302.6738096,3.400908519,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr12_low,302.6738096,3.400908519,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr21_std,289.103503,3.229546062,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr22_low,289.103503,3.229546062,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr31_std,182.6015371,4.219261338,10.48717949
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr32_low,182.6015371,4.219261338,10.48717949
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s1,257.2184229,5.242250336,12.41768293
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s2,245.7461836,4.968309637,12.2347561
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s3,154.552275,6.177957775,15.83993902
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s51_std,114.7154607,7.29888791,18.75914634
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s52_low,54.50438716,11.04303779,27.15091463
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr11_std,257.2184229,5.242250336,12.41768293
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr12_low,257.2184229,5.242250336,12.41768293
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr21_std,245.7461836,4.968309637,12.2347561
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr22_low,245.7461836,4.968309637,12.2347561
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr31_std,154.552275,6.177957775,15.83993902
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr32_low,154.552275,6.177957775,15.83993902
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s1,255.1263589,5.353109627,12.41768293
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s2,243.746921,5.058613467,12.2347561
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s3,153.1586413,6.311279091,15.83993902
