region_gea,fuel_cool,year,value
AFR,electricity,NA,2.7
AFR,electricity,NA,2.894117647
AFR,electricity,NA,3.088235294
AFR,electricity,NA,3.282352941
AFR,electricity,NA,3.476470588
AFR,electricity,NA,3.670588235
AFR,electricity,NA,3.864705882
AFR,electricity,NA,4.058823529
AFR,electricity,NA,4.252941176
AFR,electricity,NA,4.447058824
AFR,electricity,NA,4.641176471
AFR,electricity,NA,4.835294118
AFR,electricity,NA,5.029411765
AFR,electricity,NA,5.223529412
AFR,electricity,NA,5.417647059
AFR,electricity,NA,5.611764706
AFR,electricity,NA,5.805882353
AFR,electricity,NA,6
CPA,electricity,NA,3.2
CPA,electricity,NA,3.364705882
CPA,electricity,NA,3.529411765
CPA,electricity,NA,3.694117647
CPA,electricity,NA,3.858823529
CPA,electricity,NA,4.023529412
CPA,electricity,NA,4.188235294
CPA,electricity,NA,4.352941176
CPA,electricity,NA,4.517647059
CPA,electricity,NA,4.682352941
CPA,electricity,NA,4.847058824
CPA,electricity,NA,5.011764706
CPA,electricity,NA,5.176470588
CPA,electricity,NA,5.341176471
CPA,electricity,NA,5.505882353
CPA,electricity,NA,5.670588235
CPA,electricity,NA,5.835294118
CPA,electricity,NA,6
EEU,electricity,NA,3
EEU,electricity,NA,3.176470588
EEU,electricity,NA,3.352941176
EEU,electricity,NA,3.529411765
EEU,electricity,NA,3.705882353
EEU,electricity,NA,3.882352941
EEU,electricity,NA,4.058823529
EEU,electricity,NA,4.235294118
EEU,electricity,NA,4.411764706
EEU,electricity,NA,4.588235294
EEU,electricity,NA,4.764705882
EEU,electricity,NA,4.941176471
EEU,electricity,NA,5.117647059
EEU,electricity,NA,5.294117647
EEU,electricity,NA,5.470588235
EEU,electricity,NA,5.647058824
EEU,electricity,NA,5.823529412
EEU,electricity,NA,6
FSU,electricity,NA,3
FSU,electricity,NA,3.176470588
FSU,electricity,NA,3.352941176
FSU,electricity,NA,3.529411765
FSU,electricity,NA,3.705882353
FSU,electricity,NA,3.882352941
FSU,electricity,NA,4.058823529
FSU,electricity,NA,4.235294118
FSU,electricity,NA,4.411764706
FSU,electricity,NA,4.588235294
FSU,electricity,NA,4.764705882
FSU,electricity,NA,4.941176471
FSU,electricity,NA,5.117647059
FSU,electricity,NA,5.294117647
FSU,electricity,NA,5.470588235
FSU,electricity,NA,5.647058824
FSU,electricity,NA,5.823529412
FSU,electricity,NA,6
LAC,electricity,NA,2.9
LAC,electricity,NA,3.082352941
LAC,electricity,NA,3.264705882
LAC,electricity,NA,3.447058824
LAC,electricity,NA,3.629411765
LAC,electricity,NA,3.811764706
LAC,electricity,NA,3.994117647
LAC,electricity,NA,4.176470588
LAC,electricity,NA,4.358823529
LAC,electricity,NA,4.541176471
LAC,electricity,NA,4.723529412
LAC,electricity,NA,4.905882353
LAC,electricity,NA,5.088235294
LAC,electricity,NA,5.270588235
LAC,electricity,NA,5.452941176
LAC,electricity,NA,5.635294118
LAC,electricity,NA,5.817647059
LAC,electricity,NA,6
MEA,electricity,NA,2.9
MEA,electricity,NA,3.082352941
MEA,electricity,NA,3.264705882
MEA,electricity,NA,3.447058824
MEA,electricity,NA,3.629411765
MEA,electricity,NA,3.811764706
MEA,electricity,NA,3.994117647
MEA,electricity,NA,4.176470588
MEA,electricity,NA,4.358823529
MEA,electricity,NA,4.541176471
MEA,electricity,NA,4.723529412
MEA,electricity,NA,4.905882353
MEA,electricity,NA,5.088235294
MEA,electricity,NA,5.270588235
MEA,electricity,NA,5.452941176
MEA,electricity,NA,5.635294118
MEA,electricity,NA,5.817647059
MEA,electricity,NA,6
"NAM",electricity,NA,3
"NAM",electricity,NA,3.176470588
"NAM",electricity,NA,3.352941176
"NAM",electricity,NA,3.529411765
"NAM",electricity,NA,3.705882353
"NAM",electricity,NA,3.882352941
"NAM",electricity,NA,4.058823529
"NAM",electricity,NA,4.235294118
"NAM",electricity,NA,4.411764706
"NAM",electricity,NA,4.588235294
"NAM",electricity,NA,4.764705882
"NAM",electricity,NA,4.941176471
"NAM",electricity,NA,5.117647059
"NAM",electricity,NA,5.294117647
"NAM",electricity,NA,5.470588235
"NAM",electricity,NA,5.647058824
"NAM",electricity,NA,5.823529412
"NAM",electricity,NA,6
PAO,electricity,NA,3
PAO,electricity,NA,3.176470588
PAO,electricity,NA,3.352941176
PAO,electricity,NA,3.529411765
PAO,electricity,NA,3.705882353
PAO,electricity,NA,3.882352941
PAO,electricity,NA,4.058823529
PAO,electricity,NA,4.235294118
PAO,electricity,NA,4.411764706
PAO,electricity,NA,4.588235294
PAO,electricity,NA,4.764705882
PAO,electricity,NA,4.941176471
PAO,electricity,NA,5.117647059
PAO,electricity,NA,5.294117647
PAO,electricity,NA,5.470588235
PAO,electricity,NA,5.647058824
PAO,electricity,NA,5.823529412
PAO,electricity,NA,6
PAS,electricity,NA,2.9
PAS,electricity,NA,3.082352941
PAS,electricity,NA,3.264705882
PAS,electricity,NA,3.447058824
PAS,electricity,NA,3.629411765
PAS,electricity,NA,3.811764706
PAS,electricity,NA,3.994117647
PAS,electricity,NA,4.176470588
PAS,electricity,NA,4.358823529
PAS,electricity,NA,4.541176471
PAS,electricity,NA,4.723529412
PAS,electricity,NA,4.905882353
PAS,electricity,NA,5.088235294
PAS,electricity,NA,5.270588235
PAS,electricity,NA,5.452941176
PAS,electricity,NA,5.635294118
PAS,electricity,NA,5.817647059
PAS,electricity,NA,6
SAS,electricity,NA,2.9
SAS,electricity,NA,3.082352941
SAS,electricity,NA,3.264705882
SAS,electricity,NA,3.447058824
SAS,electricity,NA,3.629411765
SAS,electricity,NA,3.811764706
SAS,electricity,NA,3.994117647
SAS,electricity,NA,4.176470588
SAS,electricity,NA,4.358823529
SAS,electricity,NA,4.541176471
SAS,electricity,NA,4.723529412
SAS,electricity,NA,4.905882353
SAS,electricity,NA,5.088235294
SAS,electricity,NA,5.270588235
SAS,electricity,NA,5.452941176
SAS,electricity,NA,5.635294118
SAS,electricity,NA,5.817647059
SAS,electricity,NA,6
WEU,electricity,NA,3
WEU,electricity,NA,3.176470588
WEU,electricity,NA,3.352941176
WEU,electricity,NA,3.529411765
WEU,electricity,NA,3.705882353
WEU,electricity,NA,3.882352941
WEU,electricity,NA,4.058823529
WEU,electricity,NA,4.235294118
WEU,electricity,NA,4.411764706
WEU,electricity,NA,4.588235294
WEU,electricity,NA,4.764705882
WEU,electricity,NA,4.941176471
WEU,electricity,NA,5.117647059
WEU,electricity,NA,5.294117647
WEU,electricity,NA,5.470588235
WEU,electricity,NA,5.647058824
WEU,electricity,NA,5.823529412
WEU,electricity,NA,6
