eneff,year,value
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr11_std,NA,0.3
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr12_low,NA,0.5
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr21_std,NA,0.3
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr22_low,NA,0.5
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr31_std,NA,0.3
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
sr32_low,NA,0.5
