region_gea,hours_cool,fl_cnd_c,hours_fans,power_fans
AFR,4,41.28596359,6,55
CPA,6,8.420305275,6,55
EEU,8,74.56264525,8,55
FSU,8,34.66180541,8,55
LAC,6,38.03262195,6,55
MEA,10,4.397524813,6,55
NAM,10,5.203229536,8,55
PAO,8,10.97022105,8,55
PAS,4,17.92624515,6,55
SAS,4,17.92624515,6,55
WEU,8,18.77875278,8,55
