region_gea,fl_cnd_c
AFR,41.28596359
CPA,8.420305275
EEU,74.56264525
FSU,34.66180541
LAC,38.03262195
MEA,4.397524813
NAM,5.203229536
PAO,10.97022105
PAS,17.92624515
SAS,17.92624515
WEU,18.77875278
