region_gea,fuel_cool,year,value
AFR,electricity,NA,2.7
AFR,electricity,NA,2.769117647
AFR,electricity,NA,2.838235294
AFR,electricity,NA,2.907352941
AFR,electricity,NA,2.976470588
AFR,electricity,NA,3.045588235
AFR,electricity,NA,3.114705882
AFR,electricity,NA,3.183823529
AFR,electricity,NA,3.252941176
AFR,electricity,NA,3.322058824
AFR,electricity,NA,3.391176471
AFR,electricity,NA,3.460294118
AFR,electricity,NA,3.529411765
AFR,electricity,NA,3.598529412
AFR,electricity,NA,3.667647059
AFR,electricity,NA,3.736764706
AFR,electricity,NA,3.805882353
AFR,electricity,NA,3.875
CPA,electricity,NA,3.2
CPA,electricity,NA,3.239705882
CPA,electricity,NA,3.279411765
CPA,electricity,NA,3.319117647
CPA,electricity,NA,3.358823529
CPA,electricity,NA,3.398529412
CPA,electricity,NA,3.438235294
CPA,electricity,NA,3.477941176
CPA,electricity,NA,3.517647059
CPA,electricity,NA,3.557352941
CPA,electricity,NA,3.597058824
CPA,electricity,NA,3.636764706
CPA,electricity,NA,3.676470588
CPA,electricity,NA,3.716176471
CPA,electricity,NA,3.755882353
CPA,electricity,NA,3.795588235
CPA,electricity,NA,3.835294118
CPA,electricity,NA,3.875
EEU,electricity,NA,3
EEU,electricity,NA,3.051470588
EEU,electricity,NA,3.102941176
EEU,electricity,NA,3.154411765
EEU,electricity,NA,3.205882353
EEU,electricity,NA,3.257352941
EEU,electricity,NA,3.308823529
EEU,electricity,NA,3.360294118
EEU,electricity,NA,3.411764706
EEU,electricity,NA,3.463235294
EEU,electricity,NA,3.514705882
EEU,electricity,NA,3.566176471
EEU,electricity,NA,3.617647059
EEU,electricity,NA,3.669117647
EEU,electricity,NA,3.720588235
EEU,electricity,NA,3.772058824
EEU,electricity,NA,3.823529412
EEU,electricity,NA,3.875
FSU,electricity,NA,3
FSU,electricity,NA,3.051470588
FSU,electricity,NA,3.102941176
FSU,electricity,NA,3.154411765
FSU,electricity,NA,3.205882353
FSU,electricity,NA,3.257352941
FSU,electricity,NA,3.308823529
FSU,electricity,NA,3.360294118
FSU,electricity,NA,3.411764706
FSU,electricity,NA,3.463235294
FSU,electricity,NA,3.514705882
FSU,electricity,NA,3.566176471
FSU,electricity,NA,3.617647059
FSU,electricity,NA,3.669117647
FSU,electricity,NA,3.720588235
FSU,electricity,NA,3.772058824
FSU,electricity,NA,3.823529412
FSU,electricity,NA,3.875
LAC,electricity,NA,2.9
LAC,electricity,NA,2.957352941
LAC,electricity,NA,3.014705882
LAC,electricity,NA,3.072058824
LAC,electricity,NA,3.129411765
LAC,electricity,NA,3.186764706
LAC,electricity,NA,3.244117647
LAC,electricity,NA,3.301470588
LAC,electricity,NA,3.358823529
LAC,electricity,NA,3.416176471
LAC,electricity,NA,3.473529412
LAC,electricity,NA,3.530882353
LAC,electricity,NA,3.588235294
LAC,electricity,NA,3.645588235
LAC,electricity,NA,3.702941176
LAC,electricity,NA,3.760294118
LAC,electricity,NA,3.817647059
LAC,electricity,NA,3.875
MEA,electricity,NA,2.9
MEA,electricity,NA,2.957352941
MEA,electricity,NA,3.014705882
MEA,electricity,NA,3.072058824
MEA,electricity,NA,3.129411765
MEA,electricity,NA,3.186764706
MEA,electricity,NA,3.244117647
MEA,electricity,NA,3.301470588
MEA,electricity,NA,3.358823529
MEA,electricity,NA,3.416176471
MEA,electricity,NA,3.473529412
MEA,electricity,NA,3.530882353
MEA,electricity,NA,3.588235294
MEA,electricity,NA,3.645588235
MEA,electricity,NA,3.702941176
MEA,electricity,NA,3.760294118
MEA,electricity,NA,3.817647059
MEA,electricity,NA,3.875
"NAM",electricity,NA,3
"NAM",electricity,NA,3.051470588
"NAM",electricity,NA,3.102941176
"NAM",electricity,NA,3.154411765
"NAM",electricity,NA,3.205882353
"NAM",electricity,NA,3.257352941
"NAM",electricity,NA,3.308823529
"NAM",electricity,NA,3.360294118
"NAM",electricity,NA,3.411764706
"NAM",electricity,NA,3.463235294
"NAM",electricity,NA,3.514705882
"NAM",electricity,NA,3.566176471
"NAM",electricity,NA,3.617647059
"NAM",electricity,NA,3.669117647
"NAM",electricity,NA,3.720588235
"NAM",electricity,NA,3.772058824
"NAM",electricity,NA,3.823529412
"NAM",electricity,NA,3.875
PAO,electricity,NA,3
PAO,electricity,NA,3.051470588
PAO,electricity,NA,3.102941176
PAO,electricity,NA,3.154411765
PAO,electricity,NA,3.205882353
PAO,electricity,NA,3.257352941
PAO,electricity,NA,3.308823529
PAO,electricity,NA,3.360294118
PAO,electricity,NA,3.411764706
PAO,electricity,NA,3.463235294
PAO,electricity,NA,3.514705882
PAO,electricity,NA,3.566176471
PAO,electricity,NA,3.617647059
PAO,electricity,NA,3.669117647
PAO,electricity,NA,3.720588235
PAO,electricity,NA,3.772058824
PAO,electricity,NA,3.823529412
PAO,electricity,NA,3.875
PAS,electricity,NA,2.9
PAS,electricity,NA,2.957352941
PAS,electricity,NA,3.014705882
PAS,electricity,NA,3.072058824
PAS,electricity,NA,3.129411765
PAS,electricity,NA,3.186764706
PAS,electricity,NA,3.244117647
PAS,electricity,NA,3.301470588
PAS,electricity,NA,3.358823529
PAS,electricity,NA,3.416176471
PAS,electricity,NA,3.473529412
PAS,electricity,NA,3.530882353
PAS,electricity,NA,3.588235294
PAS,electricity,NA,3.645588235
PAS,electricity,NA,3.702941176
PAS,electricity,NA,3.760294118
PAS,electricity,NA,3.817647059
PAS,electricity,NA,3.875
SAS,electricity,NA,2.9
SAS,electricity,NA,2.957352941
SAS,electricity,NA,3.014705882
SAS,electricity,NA,3.072058824
SAS,electricity,NA,3.129411765
SAS,electricity,NA,3.186764706
SAS,electricity,NA,3.244117647
SAS,electricity,NA,3.301470588
SAS,electricity,NA,3.358823529
SAS,electricity,NA,3.416176471
SAS,electricity,NA,3.473529412
SAS,electricity,NA,3.530882353
SAS,electricity,NA,3.588235294
SAS,electricity,NA,3.645588235
SAS,electricity,NA,3.702941176
SAS,electricity,NA,3.760294118
SAS,electricity,NA,3.817647059
SAS,electricity,NA,3.875
WEU,electricity,NA,3
WEU,electricity,NA,3.051470588
WEU,electricity,NA,3.102941176
WEU,electricity,NA,3.154411765
WEU,electricity,NA,3.205882353
WEU,electricity,NA,3.257352941
WEU,electricity,NA,3.308823529
WEU,electricity,NA,3.360294118
WEU,electricity,NA,3.411764706
WEU,electricity,NA,3.463235294
WEU,electricity,NA,3.514705882
WEU,electricity,NA,3.566176471
WEU,electricity,NA,3.617647059
WEU,electricity,NA,3.669117647
WEU,electricity,NA,3.720588235
WEU,electricity,NA,3.772058824
WEU,electricity,NA,3.823529412
WEU,electricity,NA,3.875
