region_gea,fl_cnd_h
AFR,0.187553427
CPA,0.79681615
EEU,1.622789573
FSU,1.499822807
LAC,1.035280435
MEA,2.034120984
NAM,1.710919423
PAO,1.719696023
PAS,0.175350086
SAS,0.175350086
WEU,1.536382366
