region_bld,value
C-WEU-AUT,3574
C-WEU-BEL,2872
C-EEU-BGR,2687
C-WEU-CHE,3482
C-WEU-CYP,782
C-EEU-CZE,3571
C-WEU-DEU,3239
C-WEU-DNK,3503
C-EEU-EST,4445
C-WEU-GRC,1663
C-WEU-ESP,1842
C-WEU-FIN,5850
C-WEU-FRA,2483
C-EEU-HUN,2922
C-WEU-IRL,2906
C-WEU-ITA,1971
C-EEU-LTU,4094
C-WEU-LUX,3210
C-EEU-LVA,4265
C-WEU-MLT,560
C-WEU-NLD,2902
C-EEU-POL,3616
C-WEU-PRT,1282
C-EEU-ROU,3129
C-WEU-SWE,5444
C-EEU-SVN,3053
C-EEU-SVK,3453
C-WEU-GBR,3115
C-WEU-HRV,2595
