region_bld,clim,value
C-EEU-BGR,Zone_4A Mixed Humid,3336.878547
C-EEU-BGR,Zone_5A Cool Humid,4124.433362
C-EEU-CZE,Zone_5A Cool Humid,4329.39222
C-EEU-CZE,Zone_6A Cold Humid,4883.277118
C-EEU-EST,Zone_5A Cool Humid,4841.90477
C-EEU-EST,Zone_6A Cold Humid,5308.789104
C-EEU-HUN,Zone_4A Mixed Humid,3540.843105
C-EEU-HUN,Zone_5A Cool Humid,3933.899763
C-EEU-HUN,Zone_6A Cold Humid,4901.691559
C-EEU-LTU,Zone_5A Cool Humid,4686.55459
C-EEU-LTU,Zone_6A Cold Humid,4899.87516
C-EEU-LVA,Zone_5A Cool Humid,4765.370471
C-EEU-LVA,Zone_6A Cold Humid,5042.59428
C-EEU-POL,Zone_5A Cool Humid,4254.008403
C-EEU-POL,Zone_6A Cold Humid,4677.194988
C-EEU-ROU,Zone_4A Mixed Humid,3465.327151
C-EEU-ROU,Zone_5A Cool Humid,4192.790728
C-EEU-ROU,Zone_6A Cold Humid,5188.065138
C-EEU-ROU,Zone_7A Very cold Humid,6046.113652
C-EEU-SVK,Zone_5A Cool Humid,4106.639333
C-EEU-SVK,Zone_6A Cold Humid,5036.530424
C-EEU-SVN,Zone_4A Mixed Humid,3638.95404
C-EEU-SVN,Zone_5A Cool Humid,4278.992719
C-EEU-SVN,Zone_7A Very cold Humid,6098.249115
C-WEU-AUT,Zone_4A Mixed Humid,3662.402161
C-WEU-AUT,Zone_5A Cool Humid,4204.78043
C-WEU-AUT,Zone_6A Cold Humid,5165.8633
C-WEU-AUT,Zone_7A Very cold Humid,6375.510773
C-WEU-BEL,Zone_4A Mixed Humid,3626.49358
C-WEU-BEL,Zone_5A Cool Humid,3783.978598
C-WEU-CYP,Zone_2A Hot Humid,1266.056229
C-WEU-CYP,Zone_2B Hot Dry,1221.551437
C-WEU-CYP,Zone_3A Warm Humid,1441.553674
C-WEU-CYP,Zone_3B Warm Dry,1355.684753
C-WEU-DEU,Zone_4A Mixed Humid,3628.687298
C-WEU-DEU,Zone_5A Cool Humid,4057.763992
C-WEU-DEU,Zone_6A Cold Humid,5273.720901
C-WEU-DNK,Zone_5A Cool Humid,4493.129686
C-WEU-DNK,Zone_5C Cool Marine,4290.13137
C-WEU-DNK,Zone_7A Very cold Humid,7467.637797
C-WEU-DNK,Zone_8A Subarctic/arctic Humid,8810.07127
C-WEU-ESP,Zone_2B Hot Dry,555.695258
C-WEU-ESP,Zone_3A Warm Humid,1823.940946
C-WEU-ESP,Zone_3B Warm Dry,2035.001482
C-WEU-ESP,Zone_3C Warm Marine,2061.003675
C-WEU-ESP,Zone_4A Mixed Humid,2987.175924
C-WEU-ESP,Zone_4B Mixed Dry,2750.256592
C-WEU-ESP,Zone_4C Mixed Marine,3193.305982
C-WEU-ESP,Zone_5A Cool Humid,4046.20415
C-WEU-ESP,Zone_5C Cool Marine,3849.372413
C-WEU-ESP,Zone_6A Cold Humid,5072.492507
C-WEU-FIN,Zone_6A Cold Humid,5640.646136
C-WEU-FIN,Zone_7A Very cold Humid,6366.027315
C-WEU-FIN,Zone_8A Subarctic/arctic Humid,8637.451216
C-WEU-FRA,Zone_3A Warm Humid,2383.971206
C-WEU-FRA,Zone_3C Warm Marine,2602.996018
C-WEU-FRA,Zone_4A Mixed Humid,3211.245389
C-WEU-FRA,Zone_4C Mixed Marine,3041.53024
C-WEU-FRA,Zone_5A Cool Humid,3956.339467
C-WEU-FRA,Zone_5C Cool Marine,4127.268348
C-WEU-FRA,Zone_6A Cold Humid,5394.071111
C-WEU-FRA,Zone_7A Very cold Humid,6153.196136
C-WEU-GBR,Zone_4A Mixed Humid,3749.583812
C-WEU-GBR,Zone_5A Cool Humid,4122.215482
C-WEU-GBR,Zone_5C Cool Marine,3926.369675
C-WEU-GBR,Zone_6A Cold Humid,5125.870745
C-WEU-GRC,Zone_3A Warm Humid,1973.050289
C-WEU-GRC,Zone_3B Warm Dry,2379.710999
C-WEU-GRC,Zone_4A Mixed Humid,2905.045005
C-WEU-GRC,Zone_4C Mixed Marine,3441.613163
C-WEU-GRC,Zone_5A Cool Humid,3943.856263
C-WEU-GRC,Zone_5C Cool Marine,3827.513536
C-WEU-IRL,Zone_4A Mixed Humid,3730.98011
C-WEU-IRL,Zone_5A Cool Humid,3945.886618
C-WEU-ITA,Zone_3A Warm Humid,1978.347734
C-WEU-ITA,Zone_3B Warm Dry,2169.028442
C-WEU-ITA,Zone_4A Mixed Humid,2993.296095
C-WEU-ITA,Zone_4C Mixed Marine,3350.650714
C-WEU-ITA,Zone_5A Cool Humid,4292.140675
C-WEU-ITA,Zone_5C Cool Marine,3867.214625
C-WEU-ITA,Zone_6A Cold Humid,5482.083274
C-WEU-ITA,Zone_7A Very cold Humid,6550.15991
C-WEU-ITA,Zone_8A Subarctic/arctic Humid,7907.959961
C-WEU-LUX,Zone_5A Cool Humid,4048.667481
C-WEU-NLD,Zone_4A Mixed Humid,3770.81769
C-WEU-NLD,Zone_5A Cool Humid,3924.45648
C-WEU-PRT,Zone_3A Warm Humid,1511.460479
C-WEU-PRT,Zone_3C Warm Marine,2060.793069
C-WEU-PRT,Zone_4C Mixed Marine,3014.553575
C-WEU-SWE,Zone_5A Cool Humid,4581.048522
C-WEU-SWE,Zone_6A Cold Humid,5269.899887
C-WEU-SWE,Zone_7A Very cold Humid,6766.425134
C-WEU-SWE,Zone_8A Subarctic/arctic Humid,8574.230262
