id,ISO,NAME,CZ,CLIMATE_ZONE,GLOBAL_SOUTH,REGION_GEA,t_bal_H,pop,popsum,sdd_h,sdd_h_avg
1,GTM,Guatemala,8.0,Zone_2C Hot Marine,1,LAC,20,total,821403.0,281599587.55044556,342.82756156289366
1,GTM,Guatemala,11.0,Zone_3C Warm Marine,1,LAC,20,total,5648056.0,5744265149.734329,1017.0340290064987
10,IND,India,0.0,Zone_0A Extremely hot Humid,1,SAS,20,total,356002584.0,6623438439.950623,18.60502911391964
10,IND,India,1.0,Zone_0B Extremely hot Dry,1,SAS,20,total,108262321.0,4752713632.154465,43.89997912712831
10,IND,India,3.0,Zone_1A Very hot Humid,1,SAS,20,total,467728269.0,103747249471.48901,221.81094525951994
10,IND,India,4.0,Zone_1B Very hot Dry,1,SAS,20,total,210514589.0,72816344051.91798,345.896901482291
10,IND,India,6.0,Zone_2A Hot Humid,1,SAS,20,total,53443243.0,31436571902.501938,588.2235084892199
10,IND,India,7.0,Zone_2B Hot Dry,1,SAS,20,total,3921285.0,2999785185.2799225,765.0005509112249
10,IND,India,9.0,Zone_3A Warm Humid,1,SAS,20,total,7266235.0,9359641193.222275,1288.1005353146816
10,IND,India,11.0,Zone_3C Warm Marine,1,SAS,20,total,3359791.0,6341353742.646057,1887.4250638346425
10,IND,India,14.0,Zone_4C Mixed Marine,1,SAS,20,total,6518903.0,22092935772.614853,3389.0572957773497
10,IND,India,15.0,Zone_5A Cool Humid,1,SAS,20,total,394128.0,1893413103.3500977,4804.056304931641
10,IND,India,17.0,Zone_5C Cool Marine,1,SAS,20,total,2296997.0,9266502567.246094,4034.1813973836684
10,IND,India,18.0,Zone_6A Cold Humid,1,SAS,20,total,1292065.0,7264942445.325882,5622.73759085331
10,IND,India,20.0,Zone_6C Cold Marine,1,SAS,20,total,157814.0,870057493.511795,5513.183199917593
10,IND,India,21.0,Zone_7A Very cold Humid,1,SAS,20,total,832803.0,5538453290.808533,6650.37624841473
10,IND,India,24.0,Zone_8A Subarctic/arctic Humid,1,SAS,20,total,83145.0,707947942.2642822,8514.618344630251
100,BRB,Barbados,0.0,Zone_0A Extremely hot Humid,1,LAC,20,total,192028.0,0.0,0.0
100,BRB,Barbados,1.0,Zone_0B Extremely hot Dry,1,LAC,20,total,0.0,0.0,
101,THA,Thailand,0.0,Zone_0A Extremely hot Humid,1,PAS,20,total,54812445.0,420874635.24269104,7.678450308915996
101,THA,Thailand,3.0,Zone_1A Very hot Humid,1,PAS,20,total,10796061.0,529678752.45277405,49.062223013817174
101,THA,Thailand,6.0,Zone_2A Hot Humid,1,PAS,20,total,1109628.0,155608489.17410278,140.2348257020396
102,MKD,The former Yugoslav Republic of Macedonia,12.0,Zone_4A Mixed Humid,0,EEU,20,total,350281.0,1168647416.44664,3336.3140348652655
102,MKD,The former Yugoslav Republic of Macedonia,15.0,Zone_5A Cool Humid,0,EEU,20,total,1886287.0,7694632324.943619,4079.247921945928
102,MKD,The former Yugoslav Republic of Macedonia,17.0,Zone_5C Cool Marine,0,EEU,20,total,566381.0,2412433145.7682037,4259.382192849343
103,TLS,Timor-Leste,0.0,Zone_0A Extremely hot Humid,1,PAS,20,total,2753.0,0.0,0.0
103,TLS,Timor-Leste,3.0,Zone_1A Very hot Humid,1,PAS,20,total,1126847.0,0.0,0.0
104,TGO,Togo,0.0,Zone_0A Extremely hot Humid,1,AFR,20,total,2617764.0,0.0,0.0
104,TGO,Togo,3.0,Zone_1A Very hot Humid,1,AFR,20,total,1127244.0,0.0,0.0
105,TTO,Trinidad and Tobago,0.0,Zone_0A Extremely hot Humid,1,LAC,20,total,633115.0,0.0,0.0
105,TTO,Trinidad and Tobago,3.0,Zone_1A Very hot Humid,1,LAC,20,total,597443.0,0.0,0.0
106,TUN,Tunisia,7.0,Zone_2B Hot Dry,1,MEA,20,total,3784378.0,4200162605.8755493,1109.8686774618047
106,TUN,Tunisia,9.0,Zone_3A Warm Humid,1,MEA,20,total,5592890.0,8384827467.023087,1499.1940601411948
106,TUN,Tunisia,10.0,Zone_3B Warm Dry,1,MEA,20,total,1763154.0,3077569998.373184,1745.4913174760595
107,TUR,Turkey,6.0,Zone_2A Hot Humid,0,WEU,20,total,336515.0,430618300.8655548,1279.6407318115234
107,TUR,Turkey,9.0,Zone_3A Warm Humid,0,WEU,20,total,22721927.0,51433049989.778366,2263.5866222868494
