region_bld,Country Name,ISO
C-EEU-BGR,Bulgaria,BGR
C-EEU-CZE,Czech Republic,CZE
C-EEU-EST,Estonia,EST
C-EEU-HUN,Hungary,HUN
C-EEU-LTU,Lithuania,LTU
C-EEU-LVA,Latvia,LVA
C-EEU-POL,Poland,POL
C-EEU-ROU,Romania,ROU
C-EEU-SVK,Slovakia,SVK
C-EEU-SVN,Slovenia,SVN
C-WEU-AUT,Austria,AUT
C-WEU-BEL,Belgium,BEL
C-WEU-CYP,Cyprus,CYP
C-WEU-DEU,Germany,DEU
C-WEU-DNK,Denmark,DNK
C-WEU-ESP,Spain,ESP
C-WEU-FIN,Finland,FIN
C-WEU-FRA,France,FRA
C-WEU-GBR,United Kingdom,GBR
C-WEU-GRC,Greece,GRC
C-WEU-IRL,Ireland,IRL
C-WEU-ITA,Italy,ITA
C-WEU-LUX,Luxembourg,LUX
C-WEU-NLD,Netherlands,NLD
C-WEU-PRT,Portugal,PRT
C-WEU-SWE,Sweden,SWE
