region_bld,value
C-WEU-AUT,1.21
C-WEU-BEL,0.99
C-EEU-BGR,0.45
C-WEU-CYP,0.75
C-EEU-CZE,0.66
C-WEU-DNK,1.49
C-EEU-EST,0.71
C-WEU-FIN,1.09
C-WEU-FRA,1.19
C-WEU-DEU,1.2
C-WEU-GRC,0.73
C-EEU-HUN,0.62
C-WEU-IRL,1.03
C-WEU-ITA,0.79
C-EEU-LVA,0.83
C-EEU-LTU,0.74
C-WEU-LUX,1.03
C-WEU-MLT,0.65
C-WEU-NLD,1.29
C-EEU-POL,0.71
C-WEU-PRT,0.59
C-EEU-ROU,0.46
C-EEU-SVK,0.7
C-EEU-SVN,0.76
C-WEU-ESP,0.82
C-WEU-SWE,1.45
C-WEU-GBR,1.16
C-WEU-HRV,0.66
