mat,fuel_heat_i,fuel_heat_f,value
perm,biomass_solid,biomass_solid,0
perm,biomass_solid,coal,99999
perm,biomass_solid,electricity,0
perm,biomass_solid,gas,0
perm,biomass_solid,oil,2000
perm,coal,biomass_solid,99999
perm,coal,coal,0
perm,coal,electricity,0
perm,coal,gas,0
perm,coal,oil,2000
perm,electricity,biomass_solid,99999
perm,electricity,coal,99999
perm,electricity,electricity,0
perm,electricity,gas,0
perm,electricity,oil,99999
perm,gas,biomass_solid,99999
perm,gas,coal,99999
perm,gas,electricity,0
perm,gas,gas,0
perm,gas,oil,99999
perm,oil,biomass_solid,99999
perm,oil,coal,99999
perm,oil,electricity,0
perm,oil,gas,0
perm,oil,oil,0
