region_gea,mat,eneff,bld_age,fuel_heat,fuel_cool,value
AFR,perm,std,p5,coal,electricity,1
CPA,perm,std,p5,coal,electricity,1
EEU,perm,std,p5,coal,electricity,1
EEU,perm,std,p5,oil,electricity,1
FSU,perm,std,p5,biomass_solid,electricity,1
FSU,perm,std,p5,coal,electricity,1
FSU,perm,std,p5,oil,electricity,1
LAC,perm,std,p5,coal,electricity,1
MEA,perm,std,p5,coal,electricity,1
NAM,perm,std,p5,biomass_solid,electricity,1
NAM,perm,std,p5,coal,electricity,1
NAM,perm,std,p5,oil,electricity,1
PAO,perm,std,p5,biomass_solid,electricity,1
PAO,perm,std,p5,coal,electricity,1
PAO,perm,std,p5,oil,electricity,1
PAS,perm,std,p5,coal,electricity,1
PAS,perm,std,p5,gas,electricity,1
PAS,perm,std,p5,oil,electricity,1
SAS,perm,std,p5,coal,electricity,1
SAS,perm,std,p5,gas,electricity,1
SAS,perm,std,p5,oil,electricity,1
WEU,perm,std,p5,biomass_solid,electricity,1
WEU,perm,std,p5,coal,electricity,1
WEU,perm,std,p5,oil,electricity,1
AFR,perm,adv,p5,biomass_solid,electricity,1
AFR,perm,adv,p5,coal,electricity,1
AFR,perm,adv,p5,oil,electricity,1
CPA,perm,adv,p5,biomass_solid,electricity,1
CPA,perm,adv,p5,coal,electricity,1
CPA,perm,adv,p5,oil,electricity,1
EEU,perm,adv,p5,biomass_solid,electricity,1
EEU,perm,adv,p5,coal,electricity,1
EEU,perm,adv,p5,oil,electricity,1
FSU,perm,adv,p5,biomass_solid,electricity,1
FSU,perm,adv,p5,coal,electricity,1
FSU,perm,adv,p5,oil,electricity,1
LAC,perm,adv,p5,biomass_solid,electricity,1
LAC,perm,adv,p5,coal,electricity,1
LAC,perm,adv,p5,oil,electricity,1
MEA,perm,adv,p5,biomass_solid,electricity,1
MEA,perm,adv,p5,coal,electricity,1
MEA,perm,adv,p5,oil,electricity,1
NAM,perm,adv,p5,biomass_solid,electricity,1
NAM,perm,adv,p5,coal,electricity,1
NAM,perm,adv,p5,oil,electricity,1
PAO,perm,adv,p5,biomass_solid,electricity,1
PAO,perm,adv,p5,coal,electricity,1
PAO,perm,adv,p5,oil,electricity,1
PAS,perm,adv,p5,biomass_solid,electricity,1
PAS,perm,adv,p5,coal,electricity,1
PAS,perm,adv,p5,gas,electricity,1
PAS,perm,adv,p5,oil,electricity,1
SAS,perm,adv,p5,biomass_solid,electricity,1
SAS,perm,adv,p5,coal,electricity,1
SAS,perm,adv,p5,gas,electricity,1
SAS,perm,adv,p5,oil,electricity,1
WEU,perm,adv,p5,coal,electricity,1
WEU,perm,adv,p5,oil,electricity,1
