region_bld,eneff_f,value
C-EEU-BGR,std,64.5
C-EEU-CZE,std,86.25
C-EEU-EST,std,87.75
C-EEU-HUN,std,84.75
C-EEU-LTU,std,103.5
C-EEU-LVA,std,64.5
C-EEU-POL,std,58.5
C-EEU-ROU,std,63
C-EEU-SVK,std,88.5
C-EEU-SVN,std,96.75
C-WEU-AUT,std,172.5
C-WEU-BEL,std,130.5
C-WEU-CHE,std,120
C-WEU-CYP,std,97.5
C-WEU-DEU,std,213.75
C-WEU-DNK,std,234.75
C-WEU-ESP,std,28.5
C-WEU-FIN,std,291.75
C-WEU-FRA,std,144.75
C-WEU-GBR,std,117.75
C-WEU-GRC,std,108
C-WEU-IRL,std,199.5
C-WEU-ISL,std,120
C-WEU-ITA,std,90.75
C-WEU-LUX,std,180.75
C-WEU-MLT,std,142.5
C-WEU-NLD,std,135.75
C-WEU-NOR,std,120
C-WEU-PRT,std,40.5
C-WEU-SWE,std,291
C-EEU-BGR,adv,59.25
C-EEU-CZE,adv,90
C-EEU-EST,adv,37.5
C-EEU-HUN,adv,93.75
C-EEU-LTU,adv,44.25
C-EEU-LVA,adv,202.5
C-EEU-POL,adv,83.25
C-EEU-ROU,adv,61.5
C-EEU-SVK,adv,60.75
C-EEU-SVN,adv,91.5
C-WEU-AUT,adv,192.75
C-WEU-BEL,adv,222
C-WEU-CHE,adv,137.25
C-WEU-CYP,adv,97.5
C-WEU-DEU,adv,229.5
C-WEU-DNK,adv,203.25
C-WEU-ESP,adv,38.25
C-WEU-FIN,adv,291.75
C-WEU-FRA,adv,232.5
C-WEU-GBR,adv,219.75
C-WEU-GRC,adv,117.75
C-WEU-IRL,adv,231
C-WEU-ISL,adv,137.25
C-WEU-ITA,adv,153
C-WEU-LUX,adv,294
C-WEU-MLT,adv,118.5
C-WEU-NLD,adv,181.5
C-WEU-NOR,adv,137.25
C-WEU-PRT,adv,80.25
C-WEU-SWE,adv,274.5
C-WEU-HRV,std,69.75
C-WEU-HRV,adv,82.5
