region_bld,eneff,value
C-EEU-BGR,std,86
C-EEU-CZE,std,115
C-EEU-EST,std,117
C-EEU-HUN,std,113
C-EEU-LTU,std,138
C-EEU-LVA,std,86
C-EEU-POL,std,78
C-EEU-ROU,std,84
C-EEU-SVK,std,118
C-EEU-SVN,std,129
C-WEU-AUT,std,230
C-WEU-BEL,std,174
C-WEU-CHE,std,160.3846154
C-WEU-CYP,std,130
C-WEU-DEU,std,285
C-WEU-DNK,std,313
C-WEU-ESP,std,38
C-WEU-FIN,std,389
C-WEU-FRA,std,193
C-WEU-GBR,std,157
C-WEU-GRC,std,144
C-WEU-IRL,std,266
C-WEU-ISL,std,160.3846154
C-WEU-ITA,std,121
C-WEU-LUX,std,241
C-WEU-MLT,std,190
C-WEU-NLD,std,181
C-WEU-NOR,std,160.3846154
C-WEU-PRT,std,54
C-WEU-SWE,std,388
C-EEU-BGR,low,79
C-EEU-CZE,low,120
C-EEU-EST,low,50
C-EEU-HUN,low,125
C-EEU-LTU,low,59
C-EEU-LVA,low,270
C-EEU-POL,low,111
C-EEU-ROU,low,82
C-EEU-SVK,low,81
C-EEU-SVN,low,122
C-WEU-AUT,low,257
C-WEU-BEL,low,296
C-WEU-CHE,low,183.24
C-WEU-CYP,low,130
C-WEU-DEU,low,306
C-WEU-DNK,low,271
C-WEU-ESP,low,51
C-WEU-FIN,low,-
C-WEU-FRA,low,310
C-WEU-GBR,low,293
C-WEU-GRC,low,157
C-WEU-IRL,low,308
C-WEU-ISL,low,183.24
C-WEU-ITA,low,204
C-WEU-LUX,low,392
C-WEU-MLT,low,158
C-WEU-NLD,low,242
C-WEU-NOR,low,183.24
C-WEU-PRT,low,107
C-WEU-SWE,low,366
