region_bld,fuel_heat_f,value
C-WEU-HRV,biomass_solid,4872.483221
C-EEU-BGR,heat_pump,3322.147651
C-EEU-CZE,heat_pump,4872.483221
C-EEU-EST,heat_pump,5241.610738
C-EEU-HUN,heat_pump,4577.181208
C-EEU-LTU,heat_pump,5463.087248
C-EEU-LVA,heat_pump,6127.516779
C-EEU-POL,heat_pump,5241.610738
C-EEU-ROU,heat_pump,3395.973154
C-EEU-SVK,heat_pump,5167.785235
C-EEU-SVN,heat_pump,5610.738255
C-WEU-AUT,heat_pump,8932.885906
C-WEU-BEL,heat_pump,7308.724832
C-WEU-CYP,heat_pump,5536.912752
C-WEU-DEU,heat_pump,8859.060403
C-WEU-DNK,heat_pump,11000
C-WEU-ESP,heat_pump,6053.691275
C-WEU-FIN,heat_pump,8046.979866
C-WEU-FRA,heat_pump,8785.234899
C-WEU-GBR,heat_pump,8563.758389
C-WEU-GRC,heat_pump,5389.261745
C-WEU-IRL,heat_pump,7604.026846
C-WEU-ITA,heat_pump,5832.214765
C-WEU-LUX,heat_pump,7604.026846
C-WEU-MLT,heat_pump,4798.657718
C-WEU-NLD,heat_pump,9523.489933
C-WEU-PRT,heat_pump,4355.704698
C-WEU-SWE,heat_pump,10704.69799
C-WEU-HRV,heat_pump,4872.483221
C-EEU-BGR,coal,1993.288591
C-EEU-CZE,coal,2923.489933
C-EEU-EST,coal,3144.966443
C-EEU-HUN,coal,2746.308725
C-EEU-LTU,coal,3277.852349
C-EEU-LVA,coal,3676.510067
C-EEU-POL,coal,3144.966443
C-EEU-ROU,coal,2037.583893
C-EEU-SVK,coal,3100.671141
C-EEU-SVN,coal,3366.442953
C-WEU-AUT,coal,5359.731544
C-WEU-BEL,coal,4385.234899
C-WEU-CYP,coal,3322.147651
C-WEU-DEU,coal,5315.436242
C-WEU-DNK,coal,6600
C-WEU-ESP,coal,3632.214765
C-WEU-FIN,coal,4828.187919
C-WEU-FRA,coal,5271.14094
C-WEU-GBR,coal,5138.255034
C-WEU-GRC,coal,3233.557047
C-WEU-IRL,coal,4562.416107
C-WEU-ITA,coal,3499.328859
C-WEU-LUX,coal,4562.416107
C-WEU-MLT,coal,2879.194631
C-WEU-NLD,coal,5714.09396
C-WEU-PRT,coal,2613.422819
C-WEU-SWE,coal,6422.818792
C-WEU-HRV,coal,2923.489933
C-EEU-BGR,district_heat,1057.04698
C-EEU-CZE,district_heat,1550.33557
C-EEU-EST,district_heat,1667.785235
C-EEU-HUN,district_heat,1456.375839
C-EEU-LTU,district_heat,1738.255034
C-EEU-LVA,district_heat,1949.66443
C-EEU-POL,district_heat,1667.785235
C-EEU-ROU,district_heat,1080.536913
C-EEU-SVK,district_heat,1644.295302
C-EEU-SVN,district_heat,1785.234899
C-WEU-AUT,district_heat,2842.281879
C-WEU-BEL,district_heat,2325.503356
C-WEU-CYP,district_heat,1761.744966
C-WEU-DEU,district_heat,2818.791946
C-WEU-DNK,district_heat,3500
C-WEU-ESP,district_heat,1926.174497
C-WEU-FIN,district_heat,2560.402685
C-WEU-FRA,district_heat,2795.302013
C-WEU-GBR,district_heat,2724.832215
C-WEU-GRC,district_heat,1714.765101
C-WEU-IRL,district_heat,2419.463087
C-WEU-ITA,district_heat,1855.704698
C-WEU-LUX,district_heat,2419.463087
C-WEU-MLT,district_heat,1526.845638
C-WEU-NLD,district_heat,3030.201342
C-WEU-PRT,district_heat,1385.90604
C-WEU-SWE,district_heat,3406.040268
C-WEU-HRV,district_heat,1550.33557
C-EEU-BGR,electricity,1208.053691
C-EEU-CZE,electricity,1771.812081
C-EEU-EST,electricity,1906.040268
C-EEU-HUN,electricity,1664.42953
C-EEU-LTU,electricity,1986.577181
C-EEU-LVA,electricity,2228.187919
C-EEU-POL,electricity,1906.040268
C-EEU-ROU,electricity,1234.899329
C-EEU-SVK,electricity,1879.194631
C-EEU-SVN,electricity,2040.268456
C-WEU-AUT,electricity,3248.322148
C-WEU-BEL,electricity,2657.718121
C-WEU-CYP,electricity,2013.422819
C-WEU-DEU,electricity,3221.47651
C-WEU-DNK,electricity,4000
C-WEU-ESP,electricity,2201.342282
C-WEU-FIN,electricity,2926.174497
C-WEU-FRA,electricity,3194.630872
C-WEU-GBR,electricity,3114.09396
C-WEU-GRC,electricity,1959.731544
C-WEU-IRL,electricity,2765.100671
C-WEU-ITA,electricity,2120.805369
C-WEU-LUX,electricity,2765.100671
C-WEU-MLT,electricity,1744.966443
C-WEU-NLD,electricity,3463.087248
C-WEU-PRT,electricity,1583.892617
C-WEU-SWE,electricity,3892.61745
C-WEU-HRV,electricity,1771.812081
