region_gea,mat,arch,bld_age,parameter,value
PAS,sub,inf,ns,shape,1.88
PAS,sub,inf,ns,scale,41.23
CPA,sub,inf,ns,shape,2
CPA,sub,inf,ns,scale,33.85
EEU,sub,inf,ns,shape,2.5
EEU,sub,inf,ns,scale,73.26
"NAM",sub,inf,ns,shape,4.16
"NAM",sub,inf,ns,scale,85.19
WEU,sub,inf,ns,shape,2.95
WEU,sub,inf,ns,scale,150
LAC,sub,inf,ns,shape,1.97
LAC,sub,inf,ns,scale,68.24
PAO,sub,inf,ns,shape,1.97
PAO,sub,inf,ns,scale,94
FSU,sub,inf,ns,shape,2.5
FSU,sub,inf,ns,scale,73.26
AFR,sub,inf,ns,shape,1.97
AFR,sub,inf,ns,scale,67.34
MEA,sub,inf,ns,shape,1.97
MEA,sub,inf,ns,scale,67.34
SAS,sub,inf,ns,shape,1.97
SAS,sub,inf,ns,scale,67.34
PAS,perm,mfh,p1,shape,1.9
PAS,perm,mfh,p1,scale,43.95
CPA,perm,mfh,p1,shape,2
CPA,perm,mfh,p1,scale,31.03
EEU,perm,mfh,p1,shape,2.5
EEU,perm,mfh,p1,scale,150
"NAM",perm,mfh,p1,shape,4.16
"NAM",perm,mfh,p1,scale,150
WEU,perm,mfh,p1,shape,2.95
WEU,perm,mfh,p1,scale,150
LAC,perm,mfh,p1,shape,1.97
LAC,perm,mfh,p1,scale,68.24
PAO,perm,mfh,p1,shape,1.97
PAO,perm,mfh,p1,scale,94
FSU,perm,mfh,p1,shape,2.5
FSU,perm,mfh,p1,scale,53.6
AFR,perm,mfh,p1,shape,1.97
AFR,perm,mfh,p1,scale,67.34
MEA,perm,mfh,p1,shape,1.97
MEA,perm,mfh,p1,scale,67.34
SAS,perm,mfh,p1,shape,1.97
SAS,perm,mfh,p1,scale,67.34
PAS,perm,sfh,p1,shape,1.88
PAS,perm,sfh,p1,scale,41.23
CPA,perm,sfh,p1,shape,2
CPA,perm,sfh,p1,scale,33.85
EEU,perm,sfh,p1,shape,2.5
EEU,perm,sfh,p1,scale,150
"NAM",perm,sfh,p1,shape,4.16
"NAM",perm,sfh,p1,scale,150
WEU,perm,sfh,p1,shape,2.95
WEU,perm,sfh,p1,scale,150
LAC,perm,sfh,p1,shape,1.97
LAC,perm,sfh,p1,scale,68.24
PAO,perm,sfh,p1,shape,1.97
PAO,perm,sfh,p1,scale,94
FSU,perm,sfh,p1,shape,2.5
FSU,perm,sfh,p1,scale,73.26
AFR,perm,sfh,p1,shape,1.97
AFR,perm,sfh,p1,scale,67.34
MEA,perm,sfh,p1,shape,1.97
MEA,perm,sfh,p1,scale,67.34
SAS,perm,sfh,p1,shape,1.97
SAS,perm,sfh,p1,scale,67.34
PAS,perm,mfh,p2,shape,1.9
PAS,perm,mfh,p2,scale,43.95
CPA,perm,mfh,p2,shape,2
CPA,perm,mfh,p2,scale,31.03
EEU,perm,mfh,p2,shape,2.5
