region_gea,eneff,mat,eneff_f,year,value
AFR,s1,perm,s1,2020,0
AFR,s1,perm,s1,2025,0
AFR,s1,perm,s1,2030,0
AFR,s1,perm,s1,2035,0
AFR,s1,perm,s1,2040,0
AFR,s1,perm,s1,2045,0
AFR,s1,perm,s1,2050,0
AFR,s1,perm,s1,2055,0
AFR,s1,perm,s1,2060,0
AFR,s1,perm,s1,2065,0
AFR,s1,perm,s1,2070,0
AFR,s1,perm,s1,2075,0
AFR,s1,perm,s1,2080,0
AFR,s1,perm,s1,2085,0
AFR,s1,perm,s1,2090,0
AFR,s1,perm,s1,2095,0
AFR,s1,perm,s1,2100,0
AFR,s1,perm,sr11_std,2020,0
AFR,s1,perm,sr11_std,2025,0
AFR,s1,perm,sr11_std,2030,0
AFR,s1,perm,sr11_std,2035,0
AFR,s1,perm,sr11_std,2040,0
AFR,s1,perm,sr11_std,2045,0
AFR,s1,perm,sr11_std,2050,0
AFR,s1,perm,sr11_std,2055,0
AFR,s1,perm,sr11_std,2060,0
AFR,s1,perm,sr11_std,2065,0
AFR,s1,perm,sr11_std,2070,0
AFR,s1,perm,sr11_std,2075,0
AFR,s1,perm,sr11_std,2080,0
AFR,s1,perm,sr11_std,2085,0
AFR,s1,perm,sr11_std,2090,0
AFR,s1,perm,sr11_std,2095,0
AFR,s1,perm,sr11_std,2100,0
AFR,s1,perm,sr12_low,2020,1000
AFR,s1,perm,sr12_low,2025,1000
AFR,s1,perm,sr12_low,2030,1000
AFR,s1,perm,sr12_low,2035,1000
AFR,s1,perm,sr12_low,2040,1000
AFR,s1,perm,sr12_low,2045,1000
AFR,s1,perm,sr12_low,2050,1000
AFR,s1,perm,sr12_low,2055,1000
AFR,s1,perm,sr12_low,2060,1000
AFR,s1,perm,sr12_low,2065,1000
AFR,s1,perm,sr12_low,2070,1000
AFR,s1,perm,sr12_low,2075,1000
AFR,s1,perm,sr12_low,2080,1000
AFR,s1,perm,sr12_low,2085,1000
AFR,s1,perm,sr12_low,2090,1000
AFR,s1,perm,sr12_low,2095,1000
AFR,s1,perm,sr12_low,2100,1000
