region_gea,fuel,year,1p5C,NPi,diff_1p5C_vs_NPi,pct_diff_1p5C_vs_NPi
AFR,biomass_solid,2020,0,0,0,NA
AFR,biomass_solid,2025,0,0,0,NA
AFR,coal,2020,94.6,94.6,0,0
AFR,coal,2025,94.6,94.6,0,0
AFR,district_heat,2020,46.068137823216446,46.068137823216446,0,0
AFR,district_heat,2025,52.440086511774496,52.440086511774496,0,0
AFR,electricity,2020,179.19837775868393,179.19837775868393,0,0
AFR,electricity,2025,166.11264906950774,166.11264906950774,0,0
AFR,gas,2020,56.1,56.1,0,0
AFR,gas,2025,56.1,56.1,0,0
AFR,oil,2020,73.3,73.3,0,0
AFR,oil,2025,73.3,73.3,0,0
CPA,biomass_solid,2020,0,0,0,NA
CPA,biomass_solid,2025,0,0,0,NA
CPA,coal,2020,94.6,94.6,0,0
CPA,coal,2025,94.6,94.6,0,0
CPA,district_heat,2020,73.61468941540674,73.61468941540674,0,0
CPA,district_heat,2025,61.930073389354064,61.930073389354064,0,0
CPA,electricity,2020,174.14400775202026,174.14400775202026,0,0
CPA,electricity,2025,152.86935717052944,152.86935717052944,0,0
CPA,gas,2020,56.1,56.1,0,0
CPA,gas,2025,56.1,56.1,0,0
CPA,oil,2020,73.3,73.3,0,0
CPA,oil,2025,73.3,73.3,0,0
EEU,biomass_solid,2020,0,0,0,NA
EEU,biomass_solid,2025,0,0,0,NA
EEU,coal,2020,94.6,94.6,0,0
EEU,coal,2025,94.6,94.6,0,0
EEU,district_heat,2020,35.899530400237,35.899530400237,0,0
EEU,district_heat,2025,21.46837162155635,21.46837162155635,0,0
EEU,electricity,2020,96.36894961107072,96.36894961107072,0,0
EEU,electricity,2025,120.20217344463695,120.20217344463695,0,0
EEU,gas,2020,56.1,56.1,0,0
EEU,gas,2025,56.1,56.1,0,0
EEU,oil,2020,73.3,73.3,0,0
EEU,oil,2025,73.3,73.3,0,0
FSU,biomass_solid,2020,0,0,0,NA
FSU,biomass_solid,2025,0,0,0,NA
FSU,coal,2020,94.6,94.6,0,0
FSU,coal,2025,94.6,94.6,0,0
FSU,district_heat,2020,59.03444015894115,59.03444015894115,0,0
FSU,district_heat,2025,37.913046151710496,37.913046151710496,0,0
FSU,electricity,2020,155.21520036979211,155.21520036979211,0,0
FSU,electricity,2025,143.42463798750256,143.42463798750256,0,0
FSU,gas,2020,56.1,56.1,0,0
FSU,gas,2025,56.1,56.1,0,0
FSU,oil,2020,73.3,73.3,0,0
FSU,oil,2025,73.3,73.3,0,0
LAC,biomass_solid,2020,0,0,0,NA
LAC,biomass_solid,2025,0,0,0,NA
LAC,coal,2020,94.6,94.6,0,0
LAC,coal,2025,94.6,94.6,0,0
LAC,district_heat,2020,42.73923048455446,42.73923048455446,0,0
LAC,district_heat,2025,30.85499361638031,30.85499361638031,0,0
LAC,electricity,2020,54.46163971817557,54.46163971817557,0,0
LAC,electricity,2025,54.904340183803086,54.904340183803086,0,0
LAC,gas,2020,56.1,56.1,0,0
LAC,gas,2025,56.1,56.1,0,0
LAC,oil,2020,73.3,73.3,0,0
LAC,oil,2025,73.3,73.3,0,0
MEA,biomass_solid,2020,0,0,0,NA
MEA,biomass_solid,2025,0,0,0,NA
MEA,coal,2020,94.6,94.6,0,0
MEA,coal,2025,94.6,94.6,0,0
MEA,district_heat,2020,38.21813425682099,38.21813425682099,0,0
MEA,district_heat,2025,25.208343490549098,25.208343490549098,0,0
MEA,electricity,2020,114.81167865460098,114.81167865460098,0,0
MEA,electricity,2025,101.6071324278454,101.6071324278454,0,0
MEA,gas,2020,56.1,56.1,0,0
MEA,gas,2025,56.1,56.1,0,0
MEA,oil,2020,73.3,73.3,0,0
MEA,oil,2025,73.3,73.3,0,0
NAM,biomass_solid,2020,0,0,0,NA
NAM,biomass_solid,2025,0,0,0,NA
NAM,coal,2020,94.6,94.6,0,0
NAM,coal,2025,94.6,94.6,0,0
NAM,district_heat,2020,36.37876907942359,36.37876907942359,0,0
NAM,district_heat,2025,16.080742464183245,16.080742464183245,0,0
NAM,electricity,2020,106.09536518362272,106.09536518362272,0,0
NAM,electricity,2025,104.61180830500903,104.61180830500903,0,0
NAM,gas,2020,56.1,56.1,0,0
NAM,gas,2025,56.1,56.1,0,0
NAM,oil,2020,73.3,73.3,0,0
NAM,oil,2025,73.3,73.3,0,0
PAO,biomass_solid,2020,0,0,0,NA
PAO,biomass_solid,2025,0,0,0,NA
PAO,coal,2020,94.6,94.6,0,0
PAO,coal,2025,94.6,94.6,0,0
PAO,district_heat,2020,10.303630107814657,10.303630107814657,0,0
PAO,district_heat,2025,11.421731479427276,11.421731479427276,0,0
PAO,electricity,2020,137.97288748584944,137.97288748584944,0,0
PAO,electricity,2025,129.16257534265827,129.16257534265827,0,0
PAO,gas,2020,56.1,56.1,0,0
PAO,gas,2025,56.1,56.1,0,0
PAO,oil,2020,73.3,73.3,0,0
