name,arch,u_val
AFR_sfh_s1,sfh_s1,3.475
CPA_sfh_s1,sfh_s1,3.150
EEU_sfh_s1,sfh_s1,1.625
FSU_sfh_s1,sfh_s1,1.625
LAC_sfh_s1,sfh_s1,3.150
MEA_sfh_s1,sfh_s1,3.525
NAM_sfh_s1,sfh_s1,2.450
PAO_sfh_s1,sfh_s1,2.420
PAS_sfh_s1,sfh_s1,3.475
SAS_sfh_s1,sfh_s1,3.475
WEU_sfh_s1,sfh_s1,2.355
AFR_sfh_s2,sfh_s2,3.475
CPA_sfh_s2,sfh_s2,2.400
EEU_sfh_s2,sfh_s2,1.542
FSU_sfh_s2,sfh_s2,1.542
LAC_sfh_s2,sfh_s2,2.892
MEA_sfh_s2,sfh_s2,3.175
NAM_sfh_s2,sfh_s2,1.788
PAO_sfh_s2,sfh_s2,1.857
PAS_sfh_s2,sfh_s2,3.475
SAS_sfh_s2,sfh_s2,3.475
WEU_sfh_s2,sfh_s2,1.624
AFR_sfh_s3,sfh_s3,3.255
CPA_sfh_s3,sfh_s3,1.650
EEU_sfh_s3,sfh_s3,0.963
FSU_sfh_s3,sfh_s3,0.963
LAC_sfh_s3,sfh_s3,2.680
MEA_sfh_s3,sfh_s3,2.640
NAM_sfh_s3,sfh_s3,1.485
PAO_sfh_s3,sfh_s3,1.044
PAS_sfh_s3,sfh_s3,3.255
SAS_sfh_s3,sfh_s3,3.255
WEU_sfh_s3,sfh_s3,0.814
AFR_sfh_s51_std,sfh_s51_std,3.025
CPA_sfh_s51_std,sfh_s51_std,1.525
EEU_sfh_s51_std,sfh_s51_std,0.705
FSU_sfh_s51_std,sfh_s51_std,0.705
LAC_sfh_s51_std,sfh_s51_std,2.650
MEA_sfh_s51_std,sfh_s51_std,2.500
NAM_sfh_s51_std,sfh_s51_std,2.500
PAO_sfh_s51_std,sfh_s51_std,0.940
PAS_sfh_s51_std,sfh_s51_std,3.025
SAS_sfh_s51_std,sfh_s51_std,3.025
WEU_sfh_s51_std,sfh_s51_std,0.591
AFR_sfh_s52_low,sfh_s52_low,0.591
CPA_sfh_s52_low,sfh_s52_low,0.591
EEU_sfh_s52_low,sfh_s52_low,0.300
FSU_sfh_s52_low,sfh_s52_low,0.300
LAC_sfh_s52_low,sfh_s52_low,0.591
MEA_sfh_s52_low,sfh_s52_low,0.591
NAM_sfh_s52_low,sfh_s52_low,0.300
PAO_sfh_s52_low,sfh_s52_low,0.300
PAS_sfh_s52_low,sfh_s52_low,0.591
SAS_sfh_s52_low,sfh_s52_low,0.591
WEU_sfh_s52_low,sfh_s52_low,0.300
AFR_mfh_s1,mfh_s1,3.475
CPA_mfh_s1,mfh_s1,3.150
EEU_mfh_s1,mfh_s1,1.625
FSU_mfh_s1,mfh_s1,1.625
LAC_mfh_s1,mfh_s1,3.150
MEA_mfh_s1,mfh_s1,3.525
NAM_mfh_s1,mfh_s1,2.450
PAO_mfh_s1,mfh_s1,2.420
PAS_mfh_s1,mfh_s1,3.475
SAS_mfh_s1,mfh_s1,3.475
WEU_mfh_s1,mfh_s1,2.355
AFR_mfh_s2,mfh_s2,3.475
CPA_mfh_s2,mfh_s2,2.400
EEU_mfh_s2,mfh_s2,1.542
FSU_mfh_s2,mfh_s2,1.542
LAC_mfh_s2,mfh_s2,2.892
MEA_mfh_s2,mfh_s2,3.175
NAM_mfh_s2,mfh_s2,1.788
PAO_mfh_s2,mfh_s2,1.857
PAS_mfh_s2,mfh_s2,3.475
SAS_mfh_s2,mfh_s2,3.475
WEU_mfh_s2,mfh_s2,1.624
AFR_mfh_s3,mfh_s3,3.255
CPA_mfh_s3,mfh_s3,1.650
EEU_mfh_s3,mfh_s3,0.963
FSU_mfh_s3,mfh_s3,0.963
LAC_mfh_s3,mfh_s3,2.680
MEA_mfh_s3,mfh_s3,2.640
NAM_mfh_s3,mfh_s3,1.485
PAO_mfh_s3,mfh_s3,1.044
PAS_mfh_s3,mfh_s3,3.255
SAS_mfh_s3,mfh_s3,3.255
WEU_mfh_s3,mfh_s3,0.814
AFR_mfh_s51_std,mfh_s51_std,3.025
CPA_mfh_s51_std,mfh_s51_std,1.525
EEU_mfh_s51_std,mfh_s51_std,0.705
FSU_mfh_s51_std,mfh_s51_std,0.705
LAC_mfh_s51_std,mfh_s51_std,2.650
MEA_mfh_s51_std,mfh_s51_std,2.500
NAM_mfh_s51_std,mfh_s51_std,2.500
PAO_mfh_s51_std,mfh_s51_std,0.940
PAS_mfh_s51_std,mfh_s51_std,3.025
SAS_mfh_s51_std,mfh_s51_std,3.025
WEU_mfh_s51_std,mfh_s51_std,0.591
AFR_mfh_s52_low,mfh_s52_low,0.591
CPA_mfh_s52_low,mfh_s52_low,0.591
EEU_mfh_s52_low,mfh_s52_low,0.300
FSU_mfh_s52_low,mfh_s52_low,0.300
LAC_mfh_s52_low,mfh_s52_low,0.591
MEA_mfh_s52_low,mfh_s52_low,0.591
NAM_mfh_s52_low,mfh_s52_low,0.300
PAO_mfh_s52_low,mfh_s52_low,0.300
PAS_mfh_s52_low,mfh_s52_low,0.591
SAS_mfh_s52_low,mfh_s52_low,0.591
WEU_mfh_s52_low,mfh_s52_low,0.300
