scenario,node,commodity,level,year,time,value,unit
R,R12_AFR,resid_apps_electr,final,2020,year,7.138429342,GWa
R,R12_AFR,resid_apps_electr,final,2025,year,8.687338369,GWa
R,R12_AFR,resid_apps_electr,final,2030,year,10.2362474,GWa
R,R12_AFR,resid_apps_electr,final,2035,year,16.6039089,GWa
R,R12_AFR,resid_apps_electr,final,2040,year,24.38926889,GWa
R,R12_AFR,resid_apps_electr,final,2045,year,34.54919699,GWa
R,R12_AFR,resid_apps_electr,final,2050,year,44.70912508,GWa
R,R12_AFR,resid_apps_electr,final,2055,year,55.71356319,GWa
R,R12_AFR,resid_apps_electr,final,2060,year,66.7180013,GWa
R,R12_AFR,resid_apps_electr,final,2070,year,96.19728785,GWa
R,R12_AFR,resid_apps_electr,final,2080,year,127.3878003,GWa
R,R12_AFR,resid_apps_electr,final,2090,year,164.9169533,GWa
R,R12_AFR,resid_apps_electr,final,2100,year,210.0538638,GWa
R,R12_CHN,resid_apps_electr,final,2020,year,69.05669209,GWa
R,R12_CHN,resid_apps_electr,final,2025,year,121.1166719,GWa
R,R12_CHN,resid_apps_electr,final,2030,year,121.3507088,GWa
R,R12_CHN,resid_apps_electr,final,2035,year,119.173451,GWa
R,R12_CHN,resid_apps_electr,final,2040,year,116.9961932,GWa
R,R12_CHN,resid_apps_electr,final,2045,year,115.4312351,GWa
R,R12_CHN,resid_apps_electr,final,2050,year,113.8662771,GWa
R,R12_CHN,resid_apps_electr,final,2055,year,111.315853,GWa
R,R12_CHN,resid_apps_electr,final,2060,year,108.7654289,GWa
R,R12_CHN,resid_apps_electr,final,2070,year,98.36649214,GWa
R,R12_CHN,resid_apps_electr,final,2080,year,92.61284729,GWa
R,R12_CHN,resid_apps_electr,final,2090,year,83.9768974,GWa
R,R12_CHN,resid_apps_electr,final,2100,year,75.03959318,GWa
R,R12_EEU,resid_apps_electr,final,2020,year,10.10378961,GWa
R,R12_EEU,resid_apps_electr,final,2025,year,10.68243498,GWa
R,R12_EEU,resid_apps_electr,final,2030,year,11.26108035,GWa
R,R12_EEU,resid_apps_electr,final,2035,year,11.6815672,GWa
R,R12_EEU,resid_apps_electr,final,2040,year,12.10205404,GWa
R,R12_EEU,resid_apps_electr,final,2045,year,12.30004187,GWa
R,R12_EEU,resid_apps_electr,final,2050,year,12.4980297,GWa
R,R12_EEU,resid_apps_electr,final,2055,year,12.65410145,GWa
R,R12_EEU,resid_apps_electr,final,2060,year,12.8101732,GWa
R,R12_EEU,resid_apps_electr,final,2070,year,13.10611284,GWa
R,R12_EEU,resid_apps_electr,final,2080,year,13.2970013,GWa
R,R12_EEU,resid_apps_electr,final,2090,year,13.53338004,GWa
R,R12_EEU,resid_apps_electr,final,2100,year,13.59029813,GWa
R,R12_FSU,resid_apps_electr,final,2020,year,24.94896082,GWa
R,R12_FSU,resid_apps_electr,final,2025,year,26.01124549,GWa
R,R12_FSU,resid_apps_electr,final,2030,year,27.07353015,GWa
R,R12_FSU,resid_apps_electr,final,2035,year,28.4147572,GWa
R,R12_FSU,resid_apps_electr,final,2040,year,29.75598425,GWa
R,R12_FSU,resid_apps_electr,final,2045,year,31.50137113,GWa
R,R12_FSU,resid_apps_electr,final,2050,year,33.24675801,GWa
R,R12_FSU,resid_apps_electr,final,2055,year,35.42605477,GWa
R,R12_FSU,resid_apps_electr,final,2060,year,37.60535152,GWa
R,R12_FSU,resid_apps_electr,final,2070,year,42.51789107,GWa
R,R12_FSU,resid_apps_electr,final,2080,year,47.55070019,GWa
R,R12_FSU,resid_apps_electr,final,2090,year,52.90278692,GWa
R,R12_FSU,resid_apps_electr,final,2100,year,58.63087226,GWa
R,R12_LAM,resid_apps_electr,final,2020,year,28.81378882,GWa
R,R12_LAM,resid_apps_electr,final,2025,year,30.16904213,GWa
R,R12_LAM,resid_apps_electr,final,2030,year,31.52429544,GWa
R,R12_LAM,resid_apps_electr,final,2035,year,32.87257247,GWa
R,R12_LAM,resid_apps_electr,final,2040,year,34.2208495,GWa
R,R12_LAM,resid_apps_electr,final,2045,year,35.57152909,GWa
R,R12_LAM,resid_apps_electr,final,2050,year,36.92220868,GWa
R,R12_LAM,resid_apps_electr,final,2055,year,38.21567859,GWa
R,R12_LAM,resid_apps_electr,final,2060,year,39.5091485,GWa
R,R12_LAM,resid_apps_electr,final,2070,year,42.10243133,GWa
R,R12_LAM,resid_apps_electr,final,2080,year,44.39730505,GWa
R,R12_LAM,resid_apps_electr,final,2090,year,46.32973212,GWa
R,R12_LAM,resid_apps_electr,final,2100,year,48.31421102,GWa
R,R12_MEA,resid_apps_electr,final,2020,year,15.90387613,GWa
R,R12_MEA,resid_apps_electr,final,2025,year,18.55881088,GWa
R,R12_MEA,resid_apps_electr,final,2030,year,21.21374562,GWa
R,R12_MEA,resid_apps_electr,final,2035,year,24.24997035,GWa
R,R12_MEA,resid_apps_electr,final,2040,year,27.28619508,GWa
R,R12_MEA,resid_apps_electr,final,2045,year,30.43870008,GWa
R,R12_MEA,resid_apps_electr,final,2050,year,33.59120509,GWa
R,R12_MEA,resid_apps_electr,final,2055,year,36.82487118,GWa
R,R12_MEA,resid_apps_electr,final,2060,year,40.05853728,GWa
R,R12_MEA,resid_apps_electr,final,2070,year,46.97486643,GWa
R,R12_MEA,resid_apps_electr,final,2080,year,53.55861771,GWa
R,R12_MEA,resid_apps_electr,final,2090,year,60.24104832,GWa
R,R12_MEA,resid_apps_electr,final,2100,year,67.37231938,GWa
R,R12_NAM,resid_apps_electr,final,2020,year,91.60595826,GWa
R,R12_NAM,resid_apps_electr,final,2025,year,93.70576301,GWa
R,R12_NAM,resid_apps_electr,final,2030,year,95.80556776,GWa
R,R12_NAM,resid_apps_electr,final,2035,year,98.09408848,GWa
R,R12_NAM,resid_apps_electr,final,2040,year,100.3826092,GWa
R,R12_NAM,resid_apps_electr,final,2045,year,102.2657884,GWa
R,R12_NAM,resid_apps_electr,final,2050,year,104.1489675,GWa
R,R12_NAM,resid_apps_electr,final,2055,year,105.7118608,GWa
R,R12_NAM,resid_apps_electr,final,2060,year,107.274754,GWa
R,R12_NAM,resid_apps_electr,final,2070,year,109.9820823,GWa
R,R12_NAM,resid_apps_electr,final,2080,year,111.8723367,GWa
R,R12_NAM,resid_apps_electr,final,2090,year,112.7428391,GWa
R,R12_NAM,resid_apps_electr,final,2100,year,112.3720765,GWa
R,R12_PAO,resid_apps_electr,final,2020,year,26.44920621,GWa
R,R12_PAO,resid_apps_electr,final,2025,year,25.95790787,GWa
R,R12_PAO,resid_apps_electr,final,2030,year,25.46660952,GWa
R,R12_PAO,resid_apps_electr,final,2035,year,24.93078012,GWa
R,R12_PAO,resid_apps_electr,final,2040,year,24.39495072,GWa
R,R12_PAO,resid_apps_electr,final,2045,year,23.86954893,GWa
R,R12_PAO,resid_apps_electr,final,2050,year,23.34414714,GWa
R,R12_PAO,resid_apps_electr,final,2055,year,22.94315686,GWa
R,R12_PAO,resid_apps_electr,final,2060,year,22.54216659,GWa
R,R12_PAO,resid_apps_electr,final,2070,year,21.32787333,GWa
R,R12_PAO,resid_apps_electr,final,2080,year,20.32540669,GWa
R,R12_PAO,resid_apps_electr,final,2090,year,19.58062092,GWa
R,R12_PAO,resid_apps_electr,final,2100,year,18.59172485,GWa
R,R12_PAS,resid_apps_electr,final,2020,year,24.0453057,GWa
R,R12_PAS,resid_apps_electr,final,2025,year,26.63905775,GWa
R,R12_PAS,resid_apps_electr,final,2030,year,29.23280981,GWa
R,R12_PAS,resid_apps_electr,final,2035,year,31.48611941,GWa
R,R12_PAS,resid_apps_electr,final,2040,year,33.73942901,GWa
R,R12_PAS,resid_apps_electr,final,2045,year,35.31316248,GWa
R,R12_PAS,resid_apps_electr,final,2050,year,36.88689596,GWa
R,R12_PAS,resid_apps_electr,final,2055,year,38.0123731,GWa
R,R12_PAS,resid_apps_electr,final,2060,year,39.13785025,GWa
R,R12_PAS,resid_apps_electr,final,2070,year,40.60475227,GWa
R,R12_PAS,resid_apps_electr,final,2080,year,41.70397594,GWa
R,R12_PAS,resid_apps_electr,final,2090,year,42.16638093,GWa
R,R12_PAS,resid_apps_electr,final,2100,year,42.69913889,GWa
R,R12_RCPA,resid_apps_electr,final,2020,year,3.522656158,GWa
R,R12_RCPA,resid_apps_electr,final,2025,year,3.65622964,GWa
R,R12_RCPA,resid_apps_electr,final,2030,year,3.789803121,GWa
R,R12_RCPA,resid_apps_electr,final,2035,year,3.946913592,GWa
R,R12_RCPA,resid_apps_electr,final,2040,year,4.104024063,GWa
R,R12_RCPA,resid_apps_electr,final,2045,year,4.220386826,GWa
R,R12_RCPA,resid_apps_electr,final,2050,year,4.336749588,GWa
R,R12_RCPA,resid_apps_electr,final,2055,year,4.432215416,GWa
R,R12_RCPA,resid_apps_electr,final,2060,year,4.527681244,GWa
R,R12_RCPA,resid_apps_electr,final,2070,year,4.699238451,GWa
R,R12_RCPA,resid_apps_electr,final,2080,year,4.840169278,GWa
R,R12_RCPA,resid_apps_electr,final,2090,year,4.922226433,GWa
R,R12_RCPA,resid_apps_electr,final,2100,year,4.968610338,GWa
R,R12_SAS,resid_apps_electr,final,2020,year,26.25009473,GWa
R,R12_SAS,resid_apps_electr,final,2025,year,31.91423441,GWa
R,R12_SAS,resid_apps_electr,final,2030,year,34.82853586,GWa
R,R12_SAS,resid_apps_electr,final,2035,year,38.14940813,GWa
R,R12_SAS,resid_apps_electr,final,2040,year,41.47028039,GWa
R,R12_SAS,resid_apps_electr,final,2045,year,44.98914648,GWa
R,R12_SAS,resid_apps_electr,final,2050,year,48.50801257,GWa
R,R12_SAS,resid_apps_electr,final,2055,year,51.74881839,GWa
R,R12_SAS,resid_apps_electr,final,2060,year,54.9896242,GWa
R,R12_SAS,resid_apps_electr,final,2070,year,61.82960217,GWa
R,R12_SAS,resid_apps_electr,final,2080,year,67.99452813,GWa
R,R12_SAS,resid_apps_electr,final,2090,year,73.66982685,GWa
R,R12_SAS,resid_apps_electr,final,2100,year,78.6925194,GWa
R,R12_WEU,resid_apps_electr,final,2020,year,60.20898722,GWa
R,R12_WEU,resid_apps_electr,final,2025,year,59.85959862,GWa
R,R12_WEU,resid_apps_electr,final,2030,year,59.51021002,GWa
R,R12_WEU,resid_apps_electr,final,2035,year,58.56646592,GWa
R,R12_WEU,resid_apps_electr,final,2040,year,57.62272183,GWa
