"node","commodity","level","year","time","value","unit"
"R12_CHN","resid_cook_non-comm","final",2025,"year",0.00637,"GWa"
"R12_CHN","resid_cook_non-comm","final",2030,"year",0.0168,"GWa"
"R12_CHN","resid_cook_non-comm","final",2040,"year",0.000373,"GWa"
"R12_CHN","resid_cook_non-comm","final",2050,"year",0.047048281,"GWa"
"R12_CHN","resid_cook_non-comm","final",2060,"year",0.115342256,"GWa"
"R12_CHN","resid_cook_non-comm","final",2070,"year",0,"GWa"
"R12_CHN","resid_cook_non-comm","final",2080,"year",0.056820485,"GWa"
"R12_CHN","resid_cook_non-comm","final",2090,"year",0.042734074,"GWa"
"R12_CHN","resid_cook_non-comm","final",2100,"year",0.0207,"GWa"
"R12_CHN","resid_cook_electr","final",2020,"year",12.40944148,"GWa"
"R12_CHN","resid_cook_electr","final",2025,"year",21.62879887,"GWa"
"R12_CHN","resid_cook_electr","final",2030,"year",25.35725752,"GWa"
"R12_CHN","resid_cook_electr","final",2040,"year",24.51839298,"GWa"
"R12_CHN","resid_cook_electr","final",2050,"year",24.2141297508889,"GWa"
"R12_CHN","resid_cook_electr","final",2060,"year",23.078217528,"GWa"
"R12_CHN","resid_cook_electr","final",2070,"year",21.4243727685,"GWa"
"R12_CHN","resid_cook_electr","final",2080,"year",20.1105454195556,"GWa"
"R12_CHN","resid_cook_electr","final",2090,"year",18.0174444647222,"GWa"
"R12_CHN","resid_cook_electr","final",2100,"year",15.065682984,"GWa"
"R12_CHN","resid_cook_lightoil","final",2020,"year",32.96599388,"GWa"
"R12_CHN","resid_cook_lightoil","final",2025,"year",32.1735483703562,"GWa"
"R12_CHN","resid_cook_lightoil","final",2030,"year",30.5791813503013,"GWa"
"R12_CHN","resid_cook_lightoil","final",2040,"year",25.754134554065,"GWa"
"R12_CHN","resid_cook_lightoil","final",2050,"year",20.9414524411197,"GWa"
"R12_CHN","resid_cook_lightoil","final",2060,"year",15.5447637012823,"GWa"
"R12_CHN","resid_cook_lightoil","final",2070,"year",10.7234621669096,"GWa"
"R12_CHN","resid_cook_lightoil","final",2080,"year",6.22749188039254,"GWa"
"R12_CHN","resid_cook_lightoil","final",2090,"year",4.41762578506032,"GWa"
"R12_CHN","resid_cook_lightoil","final",2100,"year",3.9496617571944,"GWa"
"R12_EEU","resid_cook_biomass","final",2020,"year",5.356493245,"GWa"
"R12_EEU","resid_cook_biomass","final",2025,"year",5.717756144,"GWa"
"R12_EEU","resid_cook_biomass","final",2030,"year",5.900059312,"GWa"
"R12_EEU","resid_cook_biomass","final",2040,"year",4.950275835,"GWa"
