name_parameter,IND_SSP2,IND_SSP1,IND_SSP3
pop,pop_exogenous_SSP2,pop_exogenous_SSP1,pop_exogenous_SSP3
pop_urt,pop_urt_exogenous_SSP2,pop_urt_exogenous_SSP1,pop_urt_exogenous_SSP3
pop_clim,pop_clim_exogenous_SSP2,pop_clim_exogenous_SSP1,pop_clim_exogenous_SSP3
geo_data,regions_R61,NA,NA
clim_zones,climatic_zones_rev,NA,NA
ct_bld_age,ct_bld_age,NA,NA
ct_bld,ct_bld,NA,NA
ct_eneff,ct_eneff,NA,NA
ct_fuel_comb,ct_fuel_comb,NA,NA
ct_fuel_dhw,ct_fuel_dhw,NA,NA
ct_ren_eneff,ct_ren_eneff,NA,NA
ct_inc_cl,ct_inc_cl,NA,NA
ct_tenr,ct_tenr,NA,NA
hh_size,hh_size_rev,NA,NA
floor_cap,floor_resid_ssp2_rev,floor_resid_ssp1_rev,floor_resid_ssp3_rev
hh_tenure,shr_hh_tenr,NA,NA
shr_arch,bld_shr_arch_resid,NA,NA
shr_mat,bld_share_mat_resid_ssp2_rev,bld_share_mat_resid_ssp1_rev,bld_share_mat_resid_ssp3_rev
prob_dem,bld_demolition_distr_long,NA,NA
shr_acc_cool,bld_shr_access_cool_resid_ssp2_rev,bld_shr_access_cool_resid_ssp1_rev,bld_shr_access_cool_resid_ssp3_rev
shr_distr_heat,bld_shr_district_heat_resid,NA,NA
shr_fuel_heat_base,bld_share_fuel_heat_resid,NA,NA
mat_int,material_int_resid,NA,NA
shr_mat_eol,shr_mat_eol_long_rev_2025-11-14,NA,NA
eff_heat,eff_heat_ssp2,eff_heat_ssp1,eff_heat_ssp3
eff_cool,eff_cool_ssp2,eff_cool_ssp1,eff_cool_ssp3
eff_hotwater,eff_hotwater_resid,NA,NA
shr_floor_heat,heat_floor_resid,NA,NA
hours_heat,heat_operation_hours_ssp2,heat_operation_hours_ssp1,heat_operation_hours_ssp3
en_sav_ren,ren_energy_savings_ssp2,ren_energy_savings_ssp1,ren_energy_savings_ssp3
shr_floor_cool,cool_area_share,NA,NA
hours_cool,cool_hours,NA,NA
hours_fans,fans_hours,NA,NA
power_fans,fans_power,NA,NA
en_int_heat,heat_intensity_rev,NA,NA
en_int_cool,cool_intensity_rev,NA,NA
days_cool,cool_days,NA,NA
shr_need_cool,shr_need_cool_resid_rev,NA,NA
shr_need_heat,shr_need_heat_resid_rev,NA,NA
en_int_hotwater,en_int_resid_hotwater_SSP2_rev_2022-12-15,NA,NA
stock_arch_base,stock_baseyear_resid_rev_share,NA,NA
rate_switch_fuel_heat,rate_switch_fuel_heat_ssp2,NA,NA
ct_fuel_excl_new,ct_fuel_excluded_new,NA,NA
ct_fuel_excl_ren,ct_fuel_excluded_ren,NA,NA
ct_fuel_excl_reg,ct_fuel_excluded_reg,NA,NA
ct_ren_fuel_heat,ct_ren_fuel_heat_scen,NA,NA
shr_eneff_new,bld_share_eneff_new_norm,NA,NA
shr_fuel_heat_new,bld_share_fuel_new_norm,NA,NA
shr_eneff_ren,bld_share_eneff_ren_norm,NA,NA
shr_fuel_heat_ren,bld_share_fuel_ren_norm,NA,NA
shr_fuel_heat_sw,bld_share_fuel_switch_norm,NA,NA
rate_ren,renov_rate,NA,NA
