,node,commodity,level,year,time,lvl,mrg
0,R12_AFR,coal,final,2020,year,85.57065166,0
1,R12_AFR,coal,final,2025,year,81.81629764,0
2,R12_AFR,coal,final,2030,year,55.6525983,0
3,R12_AFR,coal,final,2035,year,87.51555068,0
4,R12_AFR,coal,final,2040,year,86.09443825,0
5,R12_AFR,coal,final,2045,year,89.01067982,0
6,R12_AFR,coal,final,2050,year,93.15659984,0
7,R12_AFR,coal,final,2055,year,102.8138874,0
8,R12_AFR,coal,final,2060,year,104.4780442,0
9,R12_AFR,coal,final,2070,year,116.4485217,0
10,R12_AFR,coal,final,2080,year,144.5763741,0
11,R12_AFR,coal,final,2090,year,146.6935276,0
12,R12_AFR,coal,final,2100,year,173.9830532,0
13,R12_AFR,coal,final,2110,year,128.4513291,0
14,R12_AFR,electr,final,2020,year,451.5448517,0
15,R12_AFR,electr,final,2025,year,538.093059,0
16,R12_AFR,electr,final,2030,year,412.9561038,0
17,R12_AFR,electr,final,2035,year,502.7307088,0
18,R12_AFR,electr,final,2040,year,512.9230362,0
19,R12_AFR,electr,final,2045,year,519.2700145,0
20,R12_AFR,electr,final,2050,year,526.9748497,0
21,R12_AFR,electr,final,2055,year,544.856338,0
22,R12_AFR,electr,final,2060,year,635.0132456,0
23,R12_AFR,electr,final,2070,year,524.0722476,0
24,R12_AFR,electr,final,2080,year,569.9808078,0
25,R12_AFR,electr,final,2090,year,582.8199553,0
26,R12_AFR,electr,final,2100,year,637.5794367,0
27,R12_AFR,electr,final,2110,year,507.4662406,0
28,R12_AFR,gas,final,2020,year,190.3320188,0
29,R12_AFR,gas,final,2025,year,157.1364891,0
30,R12_AFR,gas,final,2030,year,184.7306404,0
31,R12_AFR,gas,final,2035,year,149.0696211,0
32,R12_AFR,gas,final,2040,year,160.5888296,0
33,R12_AFR,gas,final,2045,year,164.1842116,0
34,R12_AFR,gas,final,2050,year,180.3804794,0
35,R12_AFR,gas,final,2055,year,187.6524238,0
36,R12_AFR,gas,final,2060,year,211.0059026,0
37,R12_AFR,gas,final,2070,year,227.0832843,0
38,R12_AFR,gas,final,2080,year,257.4445858,0
39,R12_AFR,gas,final,2090,year,278.598479,0
40,R12_AFR,gas,final,2100,year,335.3612484,0
41,R12_AFR,gas,final,2110,year,260.4032378,0
42,R12_AFR,lightoil,final,2020,year,147.9659149,0
43,R12_AFR,lightoil,final,2025,year,151.3850201,0
44,R12_AFR,lightoil,final,2030,year,167.4243972,0
45,R12_AFR,lightoil,final,2035,year,179.5692221,0
46,R12_AFR,lightoil,final,2040,year,193.0820938,0
47,R12_AFR,lightoil,final,2045,year,206.059549,0
48,R12_AFR,lightoil,final,2050,year,215.1190213,0
49,R12_AFR,lightoil,final,2055,year,249.5780669,0
50,R12_AFR,lightoil,final,2060,year,269.5736591,0
51,R12_AFR,lightoil,final,2070,year,245.0875757,0
52,R12_AFR,lightoil,final,2080,year,273.1697839,0
53,R12_AFR,lightoil,final,2090,year,298.6401358,0
54,R12_AFR,lightoil,final,2100,year,319.4226949,0
55,R12_AFR,lightoil,final,2110,year,229.8645175,0
56,R12_AFR,biomass,final,2020,year,123.8762587,0
57,R12_AFR,biomass,final,2025,year,88.49340937,0
58,R12_AFR,biomass,final,2030,year,60.19446377,0
59,R12_AFR,biomass,final,2035,year,76.09152481,0
60,R12_AFR,biomass,final,2040,year,82.46764318,0
61,R12_AFR,biomass,final,2045,year,96.27493244,0
62,R12_AFR,biomass,final,2050,year,100.7592052,0
63,R12_AFR,biomass,final,2055,year,111.2046339,0
64,R12_AFR,biomass,final,2060,year,113.0046043,0
65,R12_AFR,biomass,final,2070,year,125.9520047,0
66,R12_AFR,biomass,final,2080,year,156.3753999,0
67,R12_AFR,biomass,final,2090,year,158.6653364,0
68,R12_AFR,biomass,final,2100,year,188.1819881,0
69,R12_AFR,biomass,final,2110,year,138.9343735,0
70,R12_AFR,d_heat,final,2020,year,218.9528375,0
71,R12_AFR,d_heat,final,2025,year,198.2273457,0
72,R12_AFR,d_heat,final,2030,year,195.265475,0
73,R12_AFR,d_heat,final,2035,year,222.5126635,0
74,R12_AFR,d_heat,final,2040,year,234.3087659,0
75,R12_AFR,d_heat,final,2045,year,235.0480641,0
76,R12_AFR,d_heat,final,2050,year,225.4755993,0
77,R12_AFR,d_heat,final,2055,year,228.9806361,0
78,R12_AFR,d_heat,final,2060,year,251.1975031,0
79,R12_AFR,d_heat,final,2070,year,210.475608,0
80,R12_AFR,d_heat,final,2080,year,219.4133941,0
81,R12_AFR,d_heat,final,2090,year,221.7389589,0
82,R12_AFR,d_heat,final,2100,year,242.2599306,0
83,R12_AFR,d_heat,final,2110,year,202.6401508,0
84,R12_RCPA,coal,final,2020,year,99.24563514,0
85,R12_RCPA,coal,final,2025,year,96.63458503,0
86,R12_RCPA,coal,final,2030,year,95.04536957,0
87,R12_RCPA,coal,final,2035,year,93.153843,0
88,R12_RCPA,coal,final,2040,year,92.64745417,0
89,R12_RCPA,coal,final,2045,year,92.61223107,0
90,R12_RCPA,coal,final,2050,year,94.69015656,0
91,R12_RCPA,coal,final,2055,year,94.23734498,0
92,R12_RCPA,coal,final,2060,year,96.94301164,0
93,R12_RCPA,coal,final,2070,year,97.30451437,0
94,R12_RCPA,coal,final,2080,year,100.3918106,0
95,R12_RCPA,coal,final,2090,year,104.7307092,0
96,R12_RCPA,coal,final,2100,year,152.5043142,0
97,R12_RCPA,coal,final,2110,year,105.4498216,0
98,R12_RCPA,electr,final,2020,year,543.3887754,0
99,R12_RCPA,electr,final,2025,year,481.5725125,0
100,R12_RCPA,electr,final,2030,year,490.124288,0
101,R12_RCPA,electr,final,2035,year,489.5305054,0
102,R12_RCPA,electr,final,2040,year,542.7914675,0
103,R12_RCPA,electr,final,2045,year,522.0668282,0
104,R12_RCPA,electr,final,2050,year,522.5486308,0
105,R12_RCPA,electr,final,2055,year,529.2538795,0
106,R12_RCPA,electr,final,2060,year,617.2224131,0
107,R12_RCPA,electr,final,2070,year,496.3706669,0
108,R12_RCPA,electr,final,2080,year,494.0559936,0
109,R12_RCPA,electr,final,2090,year,533.5879189,0
110,R12_RCPA,electr,final,2100,year,578.6212142,0
111,R12_RCPA,electr,final,2110,year,417.9028745,0
112,R12_RCPA,gas,final,2020,year,378.9987883,0
113,R12_RCPA,gas,final,2025,year,190.6909879,0
114,R12_RCPA,gas,final,2030,year,166.6449638,0
115,R12_RCPA,gas,final,2035,year,181.6056509,0
116,R12_RCPA,gas,final,2040,year,218.7241133,0
117,R12_RCPA,gas,final,2045,year,214.2514374,0
118,R12_RCPA,gas,final,2050,year,220.5762913,0
119,R12_RCPA,gas,final,2055,year,274.6498551,0
120,R12_RCPA,gas,final,2060,year,239.9224302,0
121,R12_RCPA,gas,final,2070,year,247.0004586,0
122,R12_RCPA,gas,final,2080,year,254.1350159,0
123,R12_RCPA,gas,final,2090,year,263.465102,0
124,R12_RCPA,gas,final,2100,year,313.1139219,0
125,R12_RCPA,gas,final,2110,year,188.6042461,0
126,R12_RCPA,lightoil,final,2020,year,165.7700016,0
127,R12_RCPA,lightoil,final,2025,year,157.95907,0
128,R12_RCPA,lightoil,final,2030,year,187.492345,0
129,R12_RCPA,lightoil,final,2035,year,180.7563827,0
130,R12_RCPA,lightoil,final,2040,year,191.1239801,0
131,R12_RCPA,lightoil,final,2045,year,193.9017457,0
132,R12_RCPA,lightoil,final,2050,year,235.7841383,0
133,R12_RCPA,lightoil,final,2055,year,259.4295815,0
134,R12_RCPA,lightoil,final,2060,year,335.9929273,0
135,R12_RCPA,lightoil,final,2070,year,171.9412418,0
136,R12_RCPA,lightoil,final,2080,year,232.4969382,0
137,R12_RCPA,lightoil,final,2090,year,251.1001971,0
138,R12_RCPA,lightoil,final,2100,year,339.1124005,0
139,R12_RCPA,lightoil,final,2110,year,201.7527335,0
140,R12_RCPA,biomass,final,2020,year,107.7787614,0
141,R12_RCPA,biomass,final,2025,year,105.0547829,0
142,R12_RCPA,biomass,final,2030,year,103.4587274,0
143,R12_RCPA,biomass,final,2035,year,101.5732897,0
144,R12_RCPA,biomass,final,2040,year,101.2245756,0
145,R12_RCPA,biomass,final,2045,year,101.4671988,0
146,R12_RCPA,biomass,final,2050,year,104.0729848,0
147,R12_RCPA,biomass,final,2055,year,142.8208872,0
148,R12_RCPA,biomass,final,2060,year,147.014993,0
149,R12_RCPA,biomass,final,2070,year,157.9210328,0
150,R12_RCPA,biomass,final,2080,year,196.6263209,0
151,R12_RCPA,biomass,final,2090,year,223.4148994,0
152,R12_RCPA,biomass,final,2100,year,217.7064849,0
153,R12_RCPA,biomass,final,2110,year,191.5993564,0
154,R12_RCPA,d_heat,final,2020,year,170.6790876,0
155,R12_RCPA,d_heat,final,2025,year,272.6382589,0
156,R12_RCPA,d_heat,final,2030,year,243.1596649,0
157,R12_RCPA,d_heat,final,2035,year,198.7439824,0
158,R12_RCPA,d_heat,final,2040,year,161.7521406,0
159,R12_RCPA,d_heat,final,2045,year,197.2362347,0
160,R12_RCPA,d_heat,final,2050,year,178.2600047,0
161,R12_RCPA,d_heat,final,2055,year,214.4208014,0
162,R12_RCPA,d_heat,final,2060,year,192.735327,0
163,R12_RCPA,d_heat,final,2070,year,195.4398169,0
164,R12_RCPA,d_heat,final,2080,year,200.1576105,0
165,R12_RCPA,d_heat,final,2090,year,207.0365333,0
166,R12_RCPA,d_heat,final,2100,year,226.934183,0
167,R12_RCPA,d_heat,final,2110,year,187.3202022,0
168,R12_EEU,coal,final,2020,year,194.892959,0
169,R12_EEU,coal,final,2025,year,102.2037071,0
170,R12_EEU,coal,final,2030,year,100.8109532,0
171,R12_EEU,coal,final,2035,year,102.3656918,0
172,R12_EEU,coal,final,2040,year,91.66177081,0
173,R12_EEU,coal,final,2045,year,103.1467384,0
174,R12_EEU,coal,final,2050,year,67.84451338,0
175,R12_EEU,coal,final,2055,year,81.65598141,0
176,R12_EEU,coal,final,2060,year,108.2907957,0
177,R12_EEU,coal,final,2070,year,112.4498281,0
178,R12_EEU,coal,final,2080,year,116.1326856,0
179,R12_EEU,coal,final,2090,year,135.8387722,0
180,R12_EEU,coal,final,2100,year,133.7849536,0
181,R12_EEU,coal,final,2110,year,114.8805413,0
182,R12_EEU,electr,final,2020,year,693.5668217,0
183,R12_EEU,electr,final,2025,year,560.855767,0
184,R12_EEU,electr,final,2030,year,563.7783647,0
185,R12_EEU,electr,final,2035,year,647.9551053,0
186,R12_EEU,electr,final,2040,year,612.6827756,0
187,R12_EEU,electr,final,2045,year,607.4011533,0
188,R12_EEU,electr,final,2050,year,571.1311079,0
189,R12_EEU,electr,final,2055,year,598.8103951,0
190,R12_EEU,electr,final,2060,year,715.2205597,0
191,R12_EEU,electr,final,2070,year,589.2093523,0
192,R12_EEU,electr,final,2080,year,614.7995233,0
193,R12_EEU,electr,final,2090,year,665.5413489,0
194,R12_EEU,electr,final,2100,year,731.241362,0
195,R12_EEU,electr,final,2110,year,434.6621723,0
196,R12_EEU,gas,final,2020,year,244.5361895,0
197,R12_EEU,gas,final,2025,year,168.63807,0
198,R12_EEU,gas,final,2030,year,175.0411691,0
