region_bld,region_gea,urt,clim,arch,year,value
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,mfh,2020,33737.64078690036
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,sfh,2020,126038.43725681287
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,mfh,2020,16512.808547652436
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,sfh,2020,61689.215236269905
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,mfh,2020,384891.2503053297
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,sfh,2020,159061.11524349445
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,mfh,2020,154326.30544346743
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,sfh,2020,63777.27276411974
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,mfh,2020,76362.05049433403
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,sfh,2020,285276.42376726924
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,mfh,2020,792836.738206397
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,sfh,2020,327649.6820467672
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,mfh,2020,12039.273785145031
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,sfh,2020,44976.80389601438
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,mfh,2020,95952.31433982737
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,sfh,2020,39653.492036984215
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,mfh,2020,5782.975687500042
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,sfh,2020,21604.2734864157
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,mfh,2020,17600.733882880893
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,sfh,2020,65753.5305205067
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,mfh,2020,16947.455161590817
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,sfh,2020,63312.985562291935
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,mfh,2020,25963.971087732847
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,sfh,2020,10729.935258565803
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,mfh,2020,69027.60010545637
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,sfh,2020,28526.517676475763
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,mfh,2020,104332.5262712813
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,sfh,2020,43116.71925957364
C-EEU-HUN,EEU,rur,Zone_4A Mixed Humid,mfh,2020,39452.6837280896
C-EEU-HUN,EEU,rur,Zone_4A Mixed Humid,sfh,2020,147388.9248535258
C-EEU-HUN,EEU,rur,Zone_5A Cool Humid,mfh,2020,37149.536256504645
C-EEU-HUN,EEU,rur,Zone_5A Cool Humid,sfh,2020,138784.7337684378
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,mfh,2020,327564.8391227772
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,sfh,2020,135370.2599996551
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,mfh,2020,360163.2986516504
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,sfh,2020,148841.9804499619
C-EEU-LTU,EEU,rur,Zone_6A Cold Humid,mfh,2020,25972.52252533181
C-EEU-LTU,EEU,rur,Zone_6A Cold Humid,sfh,2020,97029.19571012922
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,mfh,2020,197595.2006172731
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,sfh,2020,81658.6839841453
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,mfh,2020,16229.70690040898
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,sfh,2020,60631.59270039749
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,mfh,2020,127002.80298356147
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,sfh,2020,52485.494189825615
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,mfh,2020,355876.803357743
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,sfh,2020,1329498.8951502498
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,mfh,2020,2031416.822022711
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,sfh,2020,839508.3675687636
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,mfh,2020,74881.94239503323
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,sfh,2020,279746.97631759883
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,mfh,2020,106590.99475934778
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,sfh,2020,398206.9312426165
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,mfh,2020,33822.88444000845
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,sfh,2020,126356.89392933683
C-EEU-ROU,EEU,urb,Zone_4A Mixed Humid,mfh,2020,385663.0073733563
C-EEU-ROU,EEU,urb,Zone_4A Mixed Humid,sfh,2020,159380.05348862207
C-EEU-ROU,EEU,urb,Zone_5A Cool Humid,mfh,2020,494420.56083846116
C-EEU-ROU,EEU,urb,Zone_5A Cool Humid,sfh,2020,204325.47049041255
C-EEU-ROU,EEU,urb,Zone_6A Cold Humid,mfh,2020,76147.96126170395
C-EEU-ROU,EEU,urb,Zone_6A Cold Humid,sfh,2020,31469.095834723707
C-EEU-SVK,EEU,rur,Zone_5A Cool Humid,mfh,2020,31327.53912510541
C-EEU-SVK,EEU,rur,Zone_5A Cool Humid,sfh,2020,117034.68240028984
C-EEU-SVK,EEU,rur,Zone_6A Cold Humid,mfh,2020,26600.68726260915
C-EEU-SVK,EEU,rur,Zone_6A Cold Humid,sfh,2020,99375.91883538739
C-EEU-SVK,EEU,urb,Zone_5A Cool Humid,mfh,2020,150836.65137520945
C-EEU-SVK,EEU,urb,Zone_5A Cool Humid,sfh,2020,62335.12964584731
C-EEU-SVK,EEU,urb,Zone_6A Cold Humid,mfh,2020,106702.32785022598
C-EEU-SVK,EEU,urb,Zone_6A Cold Humid,sfh,2020,44096.06935327858
C-EEU-SVN,EEU,rur,Zone_5A Cool Humid,mfh,2020,25989.0204201553
C-EEU-SVN,EEU,rur,Zone_5A Cool Humid,sfh,2020,97090.8292100741
C-EEU-SVN,EEU,urb,Zone_5A Cool Humid,mfh,2020,114992.6172799318
C-EEU-SVN,EEU,urb,Zone_5A Cool Humid,sfh,2020,47522.13497917756
C-WEU-AUT,WEU,rur,Zone_4A Mixed Humid,mfh,2020,60.53885431416333
C-WEU-AUT,WEU,rur,Zone_4A Mixed Humid,sfh,2020,1504.4333118205561
C-WEU-AUT,WEU,rur,Zone_5A Cool Humid,mfh,2020,14219.788918737911
C-WEU-AUT,WEU,rur,Zone_5A Cool Humid,sfh,2020,353371.8035922791
C-WEU-AUT,WEU,rur,Zone_6A Cold Humid,mfh,2020,5543.0055616445325
C-WEU-AUT,WEU,rur,Zone_6A Cold Humid,sfh,2020,137747.60538528525
C-WEU-AUT,WEU,urb,Zone_4A Mixed Humid,mfh,2020,146082.64869734313
C-WEU-AUT,WEU,urb,Zone_4A Mixed Humid,sfh,2020,131711.23861860446
C-WEU-AUT,WEU,urb,Zone_5A Cool Humid,mfh,2020,186458.54218947073
C-WEU-AUT,WEU,urb,Zone_5A Cool Humid,sfh,2020,168115.00723590844
C-WEU-AUT,WEU,urb,Zone_6A Cold Humid,mfh,2020,85321.15392891214
C-WEU-AUT,WEU,urb,Zone_6A Cold Humid,sfh,2020,76927.3761432696
C-WEU-BEL,WEU,rur,Zone_4A Mixed Humid,mfh,2020,1384.5304066806607
C-WEU-BEL,WEU,rur,Zone_4A Mixed Humid,sfh,2020,34406.5590377639
