region_bld,year,urt,value
C-EEU-BGR,2020,rur,0.243
C-EEU-BGR,2020,urb,0.757
C-EEU-BGR,2025,rur,0.20353999999999994
C-EEU-BGR,2025,urb,0.7964600000000001
C-EEU-BGR,2030,rur,0.1701999999999999
C-EEU-BGR,2030,urb,0.8298000000000001
C-EEU-BGR,2035,rur,0.1422
C-EEU-BGR,2035,urb,0.8578
C-EEU-BGR,2040,rur,0.11875000000000004
C-EEU-BGR,2040,urb,0.88125
C-EEU-BGR,2045,rur,0.09915000000000007
C-EEU-BGR,2045,urb,0.9008499999999998
C-EEU-BGR,2050,rur,0.08278999999999992
C-EEU-BGR,2050,urb,0.9172100000000001
C-EEU-BGR,2055,rur,0.06915000000000004
C-EEU-BGR,2055,urb,0.93085
C-EEU-BGR,2060,rur,0.05775999999999992
C-EEU-BGR,2060,urb,0.9422400000000001
C-EEU-BGR,2065,rur,0.04825999999999997
C-EEU-BGR,2065,urb,0.9517399999999999
C-EEU-BGR,2070,rur,0.04032999999999998
C-EEU-BGR,2070,urb,0.95967
C-EEU-BGR,2075,rur,0.03370999999999991
C-EEU-BGR,2075,urb,0.9662900000000001
C-EEU-BGR,2080,rur,0.02819000000000005
C-EEU-BGR,2080,urb,0.97181
C-EEU-BGR,2085,rur,0.02356999999999998
C-EEU-BGR,2085,urb,0.97643
C-EEU-BGR,2090,rur,0.019710000000000005
C-EEU-BGR,2090,urb,0.98029
C-EEU-BGR,2095,rur,0.016490000000000005
C-EEU-BGR,2095,urb,0.9835100000000001
C-EEU-BGR,2100,rur,0.01379000000000008
C-EEU-BGR,2100,urb,0.9862099999999999
C-EEU-CZE,2020,rur,0.259
C-EEU-CZE,2020,urb,0.741
C-EEU-CZE,2025,rur,0.23215000000000008
C-EEU-CZE,2025,urb,0.7678499999999999
C-EEU-CZE,2030,rur,0.20675
C-EEU-CZE,2030,urb,0.79325
C-EEU-CZE,2035,rur,0.18299999999999994
C-EEU-CZE,2035,urb,0.8170000000000001
C-EEU-CZE,2040,rur,0.16102000000000005
C-EEU-CZE,2040,urb,0.8389800000000001
C-EEU-CZE,2045,rur,0.14090000000000003
