region_bld,year,value
C-EEU-BGR,2020,7.02023900000001
C-EEU-BGR,2025,6.68646
C-EEU-BGR,2030,6.446077000000001
C-EEU-BGR,2035,6.219932
C-EEU-BGR,2040,6.00677500000001
C-EEU-BGR,2045,5.809888
C-EEU-BGR,2050,5.629558
C-EEU-BGR,2055,5.456254
C-EEU-BGR,2060,5.281294
C-EEU-BGR,2065,5.103555
C-EEU-BGR,2070,4.925013
C-EEU-BGR,2075,4.75047
C-EEU-BGR,2080,4.5859840000000105
C-EEU-BGR,2085,4.434116
C-EEU-BGR,2090,4.29464
C-EEU-BGR,2095,4.1638410000000015
C-EEU-BGR,2100,4.029824
C-EEU-CZE,2020,10.537908
C-EEU-CZE,2025,10.858204
C-EEU-CZE,2030,10.734965
C-EEU-CZE,2035,10.599186
C-EEU-CZE,2040,10.479507
C-EEU-CZE,2045,10.393348
C-EEU-CZE,2050,10.329671000000001
C-EEU-CZE,2055,10.261845
C-EEU-CZE,2060,10.166683
C-EEU-CZE,2065,10.024977999999999
C-EEU-CZE,2070,9.84157900000001
C-EEU-CZE,2075,9.631876
C-EEU-CZE,2080,9.416621
C-EEU-CZE,2085,9.207519
C-EEU-CZE,2090,8.997387000000002
C-EEU-CZE,2095,8.767466
C-EEU-CZE,2100,8.511978
C-EEU-EST,2020,1.329091
C-EEU-EST,2025,1.349108
C-EEU-EST,2030,1.315588
C-EEU-EST,2035,1.285628
C-EEU-EST,2040,1.260861
C-EEU-EST,2045,1.241575
C-EEU-EST,2050,1.22493
C-EEU-EST,2055,1.207296
C-EEU-EST,2060,1.187262
C-EEU-EST,2065,1.1653
C-EEU-EST,2070,1.1419030000000001
C-EEU-EST,2075,1.117728
C-EEU-EST,2080,1.093053
C-EEU-EST,2085,1.067711
C-EEU-EST,2090,1.041785
C-EEU-EST,2095,1.016029
C-EEU-EST,2100,0.9904519999999991
C-EEU-HRV,2020,4.114644
C-EEU-HRV,2025,3.986789
C-EEU-HRV,2030,3.862793
C-EEU-HRV,2035,3.746386
C-EEU-HRV,2040,3.635156
C-EEU-HRV,2045,3.531209
C-EEU-HRV,2050,3.43361
C-EEU-HRV,2055,3.33961
C-EEU-HRV,2060,3.247516
C-EEU-HRV,2065,3.1576750000000002
C-EEU-HRV,2070,3.070099
C-EEU-HRV,2075,2.984032
C-EEU-HRV,2080,2.898029
C-EEU-HRV,2085,2.810969
C-EEU-HRV,2090,2.722364
C-EEU-HRV,2095,2.6310219999999997
C-EEU-HRV,2100,2.5353120000000002
C-EEU-HUN,2020,9.77012300000001
C-EEU-HUN,2025,9.602753000000002
C-EEU-HUN,2030,9.44229200000001
C-EEU-HUN,2035,9.266091000000001
C-EEU-HUN,2040,9.083686
C-EEU-HUN,2045,8.909112000000011
C-EEU-HUN,2050,8.74709200000001
C-EEU-HUN,2055,8.58886700000001
C-EEU-HUN,2060,8.419652000000001
C-EEU-HUN,2065,8.223961
C-EEU-HUN,2070,7.998895000000001
C-EEU-HUN,2075,7.759546
C-EEU-HUN,2080,7.523994
C-EEU-HUN,2085,7.298395000000011
C-EEU-HUN,2090,7.072654000000001
C-EEU-HUN,2095,6.838178
C-EEU-HUN,2100,6.593908000000001
C-EEU-LTU,2020,2.835902
C-EEU-LTU,2025,2.728898
C-EEU-LTU,2030,2.59293
C-EEU-LTU,2035,2.467359
C-EEU-LTU,2040,2.351795
C-EEU-LTU,2045,2.249615
C-EEU-LTU,2050,2.156076
C-EEU-LTU,2055,2.063493
C-EEU-LTU,2060,1.9708610000000002
C-EEU-LTU,2065,1.885256
C-EEU-LTU,2070,1.8084559999999992
C-EEU-LTU,2075,1.7408350000000001
C-EEU-LTU,2080,1.681147
C-EEU-LTU,2085,1.626528
C-EEU-LTU,2090,1.574571
C-EEU-LTU,2095,1.525127
C-EEU-LTU,2100,1.479317
C-EEU-LVA,2020,1.907241
C-EEU-LVA,2025,1.8392979999999999
C-EEU-LVA,2030,1.7423700000000002
C-EEU-LVA,2035,1.655948
C-EEU-LVA,2040,1.5826419999999999
C-EEU-LVA,2045,1.52153
C-EEU-LVA,2050,1.468127
C-EEU-LVA,2055,1.416695
C-EEU-LVA,2060,1.366234999999999
C-EEU-LVA,2065,1.318225
C-EEU-LVA,2070,1.273692
C-EEU-LVA,2075,1.232726
C-EEU-LVA,2080,1.194568
C-EEU-LVA,2085,1.1579030000000001
C-EEU-LVA,2090,1.122142
C-EEU-LVA,2095,1.087427
C-EEU-LVA,2100,1.053335
C-EEU-POL,2020,38.477961
C-EEU-POL,2025,39.036739000000004
C-EEU-POL,2030,38.288269
C-EEU-POL,2035,37.531
C-EEU-POL,2040,36.800216
C-EEU-POL,2045,36.111613
C-EEU-POL,2050,35.47124900000001
C-EEU-POL,2055,34.77287200000001
C-EEU-POL,2060,34.022349999999996
C-EEU-POL,2065,33.219701
C-EEU-POL,2070,32.354907
C-EEU-POL,2075,31.421466000000002
C-EEU-POL,2080,30.434776000000003
C-EEU-POL,2085,29.427019
C-EEU-POL,2090,28.438651999999998
C-EEU-POL,2095,27.504335
C-EEU-POL,2100,26.638594
C-EEU-ROU,2020,19.489725
C-EEU-ROU,2025,18.903018
C-EEU-ROU,2030,18.353227999999998
C-EEU-ROU,2035,17.776024000000003
C-EEU-ROU,2040,17.208465
C-EEU-ROU,2045,16.651182000000002
C-EEU-ROU,2050,16.096826
C-EEU-ROU,2055,15.537032
C-EEU-ROU,2060,14.947066999999999
C-EEU-ROU,2065,14.334249
C-EEU-ROU,2070,13.718200999999999
C-EEU-ROU,2075,13.135047
C-EEU-ROU,2080,12.603287
C-EEU-ROU,2085,12.120130999999999
C-EEU-ROU,2090,11.677595
C-EEU-ROU,2095,11.272234000000001
C-EEU-ROU,2100,10.884117
C-EEU-SVK,2020,5.457542
C-EEU-SVK,2025,5.503828
C-EEU-SVK,2030,5.471634
C-EEU-SVK,2035,5.419272
C-EEU-SVK,2040,5.35358400000001
C-EEU-SVK,2045,5.286736
C-EEU-SVK,2050,5.219755
C-EEU-SVK,2055,5.14710600000001
C-EEU-SVK,2060,5.062112
C-EEU-SVK,2065,4.961305999999999
C-EEU-SVK,2070,4.845412
C-EEU-SVK,2075,4.718564000000001
C-EEU-SVK,2080,4.587777
C-EEU-SVK,2085,4.458691
C-EEU-SVK,2090,4.332711000000001
C-EEU-SVK,2095,4.2101939999999995
C-EEU-SVK,2100,4.091438
C-EEU-SVN,2020,2.116256
C-EEU-SVN,2025,2.116476
C-EEU-SVN,2030,2.108536999999999
C-EEU-SVN,2035,2.098262
