region_bld,mat,arch,bld_age,parameter,value
C-EEU-BGR,perm,ABL,p1,scale,157.7884697180439
C-EEU-BGR,perm,MFH,p1,scale,157.7884697180439
C-EEU-BGR,perm,SFH,p1,scale,157.7884697180439
C-EEU-BGR,perm,ABL,p1,shape,2.5
C-EEU-BGR,perm,MFH,p1,shape,2.5
C-EEU-BGR,perm,SFH,p1,shape,2.5
C-EEU-BGR,perm,ABL,p2,scale,133.51332053065252
C-EEU-BGR,perm,MFH,p2,scale,133.51332053065252
C-EEU-BGR,perm,SFH,p2,scale,133.51332053065252
C-EEU-BGR,perm,ABL,p2,shape,2.5
C-EEU-BGR,perm,MFH,p2,shape,2.5
C-EEU-BGR,perm,SFH,p2,shape,2.5
C-EEU-BGR,perm,ABL,p3,scale,133.51332053065252
C-EEU-BGR,perm,MFH,p3,scale,133.51332053065252
C-EEU-BGR,perm,SFH,p3,scale,133.51332053065252
C-EEU-BGR,perm,ABL,p3,shape,2.5
C-EEU-BGR,perm,MFH,p3,shape,2.5
C-EEU-BGR,perm,SFH,p3,shape,2.5
C-EEU-BGR,perm,ABL,p4,scale,133.51332053065252
C-EEU-BGR,perm,MFH,p4,scale,133.51332053065252
C-EEU-BGR,perm,SFH,p4,scale,133.51332053065252
C-EEU-BGR,perm,ABL,p4,shape,2.5
C-EEU-BGR,perm,MFH,p4,shape,2.5
C-EEU-BGR,perm,SFH,p4,shape,2.5
C-EEU-BGR,perm,ABL,p5,scale,133.51332053065252
C-EEU-BGR,perm,MFH,p5,scale,133.51332053065252
C-EEU-BGR,perm,SFH,p5,scale,133.51332053065252
C-EEU-BGR,perm,ABL,p5,shape,2.5
C-EEU-BGR,perm,MFH,p5,shape,2.5
C-EEU-BGR,perm,SFH,p5,shape,2.5
C-EEU-BGR,perm,ABL,p6,scale,133.51332053065252
C-EEU-BGR,perm,MFH,p6,scale,133.51332053065252
C-EEU-BGR,perm,SFH,p6,scale,133.51332053065252
C-EEU-BGR,perm,ABL,p6,shape,2.5
C-EEU-BGR,perm,MFH,p6,shape,2.5
C-EEU-BGR,perm,SFH,p6,shape,2.5
C-EEU-BGR,perm,ABL,p7,scale,133.51332053065252
C-EEU-BGR,perm,MFH,p7,scale,133.51332053065252
C-EEU-BGR,perm,SFH,p7,scale,133.51332053065252
C-EEU-BGR,perm,ABL,p7,shape,2.5
C-EEU-BGR,perm,MFH,p7,shape,2.5
C-EEU-BGR,perm,SFH,p7,shape,2.5
C-EEU-BGR,perm,ABL,p8,scale,133.51332053065252
C-EEU-BGR,perm,MFH,p8,scale,133.51332053065252
C-EEU-BGR,perm,SFH,p8,scale,133.51332053065252
C-EEU-BGR,perm,ABL,p8,shape,2.5
C-EEU-BGR,perm,MFH,p8,shape,2.5
C-EEU-BGR,perm,SFH,p8,shape,2.5
C-EEU-BGR,perm,ABL,p9,scale,133.51332053065252
C-EEU-BGR,perm,MFH,p9,scale,133.51332053065252
C-EEU-BGR,perm,SFH,p9,scale,133.51332053065252
C-EEU-BGR,perm,ABL,p9,shape,2.5
C-EEU-BGR,perm,MFH,p9,shape,2.5
C-EEU-BGR,perm,SFH,p9,shape,2.5
C-EEU-CZE,perm,ABL,p1,scale,157.7884697180439
C-EEU-CZE,perm,MFH,p1,scale,157.7884697180439
C-EEU-CZE,perm,SFH,p1,scale,157.7884697180439
C-EEU-CZE,perm,ABL,p1,shape,2.5
C-EEU-CZE,perm,MFH,p1,shape,2.5
C-EEU-CZE,perm,SFH,p1,shape,2.5
C-EEU-CZE,perm,ABL,p2,scale,135.24725975832334
C-EEU-CZE,perm,MFH,p2,scale,135.24725975832334
C-EEU-CZE,perm,SFH,p2,scale,135.24725975832334
C-EEU-CZE,perm,ABL,p2,shape,2.5
C-EEU-CZE,perm,MFH,p2,shape,2.5
C-EEU-CZE,perm,SFH,p2,shape,2.5
C-EEU-CZE,perm,ABL,p3,scale,135.24725975832334
C-EEU-CZE,perm,MFH,p3,scale,135.24725975832334
C-EEU-CZE,perm,SFH,p3,scale,135.24725975832334
C-EEU-CZE,perm,ABL,p3,shape,2.5
C-EEU-CZE,perm,MFH,p3,shape,2.5
C-EEU-CZE,perm,SFH,p3,shape,2.5
C-EEU-CZE,perm,ABL,p4,scale,135.24725975832334
C-EEU-CZE,perm,MFH,p4,scale,135.24725975832334
C-EEU-CZE,perm,SFH,p4,scale,135.24725975832334
C-EEU-CZE,perm,ABL,p4,shape,2.5
C-EEU-CZE,perm,MFH,p4,shape,2.5
C-EEU-CZE,perm,SFH,p4,shape,2.5
C-EEU-CZE,perm,ABL,p5,scale,135.24725975832334
C-EEU-CZE,perm,MFH,p5,scale,135.24725975832334
C-EEU-CZE,perm,SFH,p5,scale,135.24725975832334
C-EEU-CZE,perm,ABL,p5,shape,2.5
C-EEU-CZE,perm,MFH,p5,shape,2.5
C-EEU-CZE,perm,SFH,p5,shape,2.5
C-EEU-CZE,perm,ABL,p6,scale,135.24725975832334
C-EEU-CZE,perm,MFH,p6,scale,135.24725975832334
C-EEU-CZE,perm,SFH,p6,scale,135.24725975832334
C-EEU-CZE,perm,ABL,p6,shape,2.5
C-EEU-CZE,perm,MFH,p6,shape,2.5
C-EEU-CZE,perm,SFH,p6,shape,2.5
C-EEU-CZE,perm,ABL,p7,scale,135.24725975832334
C-EEU-CZE,perm,MFH,p7,scale,135.24725975832334
C-EEU-CZE,perm,SFH,p7,scale,135.24725975832334
C-EEU-CZE,perm,ABL,p7,shape,2.5
C-EEU-CZE,perm,MFH,p7,shape,2.5
C-EEU-CZE,perm,SFH,p7,shape,2.5
C-EEU-CZE,perm,ABL,p8,scale,135.24725975832334
C-EEU-CZE,perm,MFH,p8,scale,135.24725975832334
C-EEU-CZE,perm,SFH,p8,scale,135.24725975832334
C-EEU-CZE,perm,ABL,p8,shape,2.5
C-EEU-CZE,perm,MFH,p8,shape,2.5
C-EEU-CZE,perm,SFH,p8,shape,2.5
C-EEU-CZE,perm,ABL,p9,scale,135.24725975832334
C-EEU-CZE,perm,MFH,p9,scale,135.24725975832334
C-EEU-CZE,perm,SFH,p9,scale,135.24725975832334
C-EEU-CZE,perm,ABL,p9,shape,2.5
C-EEU-CZE,perm,MFH,p9,shape,2.5
C-EEU-CZE,perm,SFH,p9,shape,2.5
C-EEU-EST,perm,ABL,p1,scale,157.7884697180439
C-EEU-EST,perm,MFH,p1,scale,157.7884697180439
C-EEU-EST,perm,SFH,p1,scale,157.7884697180439
C-EEU-EST,perm,ABL,p1,shape,2.5
C-EEU-EST,perm,MFH,p1,shape,2.5
C-EEU-EST,perm,SFH,p1,shape,2.5
C-EEU-EST,perm,ABL,p2,scale,133.51332053065252
C-EEU-EST,perm,MFH,p2,scale,133.51332053065252
C-EEU-EST,perm,SFH,p2,scale,133.51332053065252
C-EEU-EST,perm,ABL,p2,shape,2.5
C-EEU-EST,perm,MFH,p2,shape,2.5
C-EEU-EST,perm,SFH,p2,shape,2.5
C-EEU-EST,perm,ABL,p3,scale,133.51332053065252
C-EEU-EST,perm,MFH,p3,scale,133.51332053065252
C-EEU-EST,perm,SFH,p3,scale,133.51332053065252
C-EEU-EST,perm,ABL,p3,shape,2.5
C-EEU-EST,perm,MFH,p3,shape,2.5
C-EEU-EST,perm,SFH,p3,shape,2.5
C-EEU-EST,perm,ABL,p4,scale,133.51332053065252
C-EEU-EST,perm,MFH,p4,scale,133.51332053065252
C-EEU-EST,perm,SFH,p4,scale,133.51332053065252
C-EEU-EST,perm,ABL,p4,shape,2.5
C-EEU-EST,perm,MFH,p4,shape,2.5
C-EEU-EST,perm,SFH,p4,shape,2.5
C-EEU-EST,perm,ABL,p5,scale,133.51332053065252
C-EEU-EST,perm,MFH,p5,scale,133.51332053065252
C-EEU-EST,perm,SFH,p5,scale,133.51332053065252
C-EEU-EST,perm,ABL,p5,shape,2.5
C-EEU-EST,perm,MFH,p5,shape,2.5
C-EEU-EST,perm,SFH,p5,shape,2.5
C-EEU-EST,perm,ABL,p6,scale,133.51332053065252
C-EEU-EST,perm,MFH,p6,scale,133.51332053065252
C-EEU-EST,perm,SFH,p6,scale,133.51332053065252
C-EEU-EST,perm,ABL,p6,shape,2.5
C-EEU-EST,perm,MFH,p6,shape,2.5
C-EEU-EST,perm,SFH,p6,shape,2.5
C-EEU-EST,perm,ABL,p7,scale,133.51332053065252
C-EEU-EST,perm,MFH,p7,scale,133.51332053065252
C-EEU-EST,perm,SFH,p7,scale,133.51332053065252
C-EEU-EST,perm,ABL,p7,shape,2.5
C-EEU-EST,perm,MFH,p7,shape,2.5
C-EEU-EST,perm,SFH,p7,shape,2.5
C-EEU-EST,perm,ABL,p8,scale,133.51332053065252
C-EEU-EST,perm,MFH,p8,scale,133.51332053065252
C-EEU-EST,perm,SFH,p8,scale,133.51332053065252
C-EEU-EST,perm,ABL,p8,shape,2.5
C-EEU-EST,perm,MFH,p8,shape,2.5
C-EEU-EST,perm,SFH,p8,shape,2.5
C-EEU-EST,perm,ABL,p9,scale,133.51332053065252
C-EEU-EST,perm,MFH,p9,scale,133.51332053065252
C-EEU-EST,perm,SFH,p9,scale,133.51332053065252
C-EEU-EST,perm,ABL,p9,shape,2.5
C-EEU-EST,perm,MFH,p9,shape,2.5
C-EEU-EST,perm,SFH,p9,shape,2.5
C-EEU-HRV,perm,ABL,p1,scale,156.89276808914664
C-EEU-HRV,perm,MFH,p1,scale,156.89276808914664
C-EEU-HRV,perm,SFH,p1,scale,156.89276808914664
C-EEU-HRV,perm,ABL,p1,shape,2.95
C-EEU-HRV,perm,MFH,p1,shape,2.95
C-EEU-HRV,perm,SFH,p1,shape,2.95
C-EEU-HRV,perm,ABL,p2,scale,132.75541915235485
C-EEU-HRV,perm,MFH,p2,scale,132.75541915235485
C-EEU-HRV,perm,SFH,p2,scale,132.75541915235485
C-EEU-HRV,perm,ABL,p2,shape,2.95
C-EEU-HRV,perm,MFH,p2,shape,2.95
C-EEU-HRV,perm,SFH,p2,shape,2.95
C-EEU-HRV,perm,ABL,p3,scale,132.75541915235485
C-EEU-HRV,perm,MFH,p3,scale,132.75541915235485
C-EEU-HRV,perm,SFH,p3,scale,132.75541915235485
C-EEU-HRV,perm,ABL,p3,shape,2.95
C-EEU-HRV,perm,MFH,p3,shape,2.95
C-EEU-HRV,perm,SFH,p3,shape,2.95
C-EEU-HRV,perm,ABL,p4,scale,132.75541915235485
C-EEU-HRV,perm,MFH,p4,scale,132.75541915235485
C-EEU-HRV,perm,SFH,p4,scale,132.75541915235485
C-EEU-HRV,perm,ABL,p4,shape,2.95
C-EEU-HRV,perm,MFH,p4,shape,2.95
C-EEU-HRV,perm,SFH,p4,shape,2.95
C-EEU-HRV,perm,ABL,p5,scale,132.75541915235485
C-EEU-HRV,perm,MFH,p5,scale,132.75541915235485
C-EEU-HRV,perm,SFH,p5,scale,132.75541915235485
C-EEU-HRV,perm,ABL,p5,shape,2.95
C-EEU-HRV,perm,MFH,p5,shape,2.95
C-EEU-HRV,perm,SFH,p5,shape,2.95
C-EEU-HRV,perm,ABL,p6,scale,132.75541915235485
C-EEU-HRV,perm,MFH,p6,scale,132.75541915235485
C-EEU-HRV,perm,SFH,p6,scale,132.75541915235485
C-EEU-HRV,perm,ABL,p6,shape,2.95
C-EEU-HRV,perm,MFH,p6,shape,2.95
C-EEU-HRV,perm,SFH,p6,shape,2.95
C-EEU-HRV,perm,ABL,p7,scale,132.75541915235485
C-EEU-HRV,perm,MFH,p7,scale,132.75541915235485
C-EEU-HRV,perm,SFH,p7,scale,132.75541915235485
C-EEU-HRV,perm,ABL,p7,shape,2.95
C-EEU-HRV,perm,MFH,p7,shape,2.95
C-EEU-HRV,perm,SFH,p7,shape,2.95
C-EEU-HRV,perm,ABL,p8,scale,132.75541915235485
C-EEU-HRV,perm,MFH,p8,scale,132.75541915235485
C-EEU-HRV,perm,SFH,p8,scale,132.75541915235485
C-EEU-HRV,perm,ABL,p8,shape,2.95
C-EEU-HRV,perm,MFH,p8,shape,2.95
C-EEU-HRV,perm,SFH,p8,shape,2.95
C-EEU-HRV,perm,ABL,p9,scale,132.75541915235485
C-EEU-HRV,perm,MFH,p9,scale,132.75541915235485
C-EEU-HRV,perm,SFH,p9,scale,132.75541915235485
C-EEU-HRV,perm,ABL,p9,shape,2.95
C-EEU-HRV,perm,MFH,p9,shape,2.95
C-EEU-HRV,perm,SFH,p9,shape,2.95
C-EEU-HUN,perm,ABL,p1,scale,157.7884697180439
C-EEU-HUN,perm,MFH,p1,scale,157.7884697180439
C-EEU-HUN,perm,SFH,p1,scale,157.7884697180439
C-EEU-HUN,perm,ABL,p1,shape,2.5
C-EEU-HUN,perm,MFH,p1,shape,2.5
C-EEU-HUN,perm,SFH,p1,shape,2.5
C-EEU-HUN,perm,ABL,p2,scale,140.8825622482535
C-EEU-HUN,perm,MFH,p2,scale,140.8825622482535
C-EEU-HUN,perm,SFH,p2,scale,140.8825622482535
C-EEU-HUN,perm,ABL,p2,shape,2.5
C-EEU-HUN,perm,MFH,p2,shape,2.5
C-EEU-HUN,perm,SFH,p2,shape,2.5
C-EEU-HUN,perm,ABL,p3,scale,140.8825622482535
C-EEU-HUN,perm,MFH,p3,scale,140.8825622482535
C-EEU-HUN,perm,SFH,p3,scale,140.8825622482535
C-EEU-HUN,perm,ABL,p3,shape,2.5
C-EEU-HUN,perm,MFH,p3,shape,2.5
C-EEU-HUN,perm,SFH,p3,shape,2.5
C-EEU-HUN,perm,ABL,p4,scale,140.8825622482535
C-EEU-HUN,perm,MFH,p4,scale,140.8825622482535
C-EEU-HUN,perm,SFH,p4,scale,140.8825622482535
C-EEU-HUN,perm,ABL,p4,shape,2.5
C-EEU-HUN,perm,MFH,p4,shape,2.5
C-EEU-HUN,perm,SFH,p4,shape,2.5
C-EEU-HUN,perm,ABL,p5,scale,140.8825622482535
C-EEU-HUN,perm,MFH,p5,scale,140.8825622482535
C-EEU-HUN,perm,SFH,p5,scale,140.8825622482535
C-EEU-HUN,perm,ABL,p5,shape,2.5
C-EEU-HUN,perm,MFH,p5,shape,2.5
C-EEU-HUN,perm,SFH,p5,shape,2.5
C-EEU-HUN,perm,ABL,p6,scale,140.8825622482535
C-EEU-HUN,perm,MFH,p6,scale,140.8825622482535
C-EEU-HUN,perm,SFH,p6,scale,140.8825622482535
C-EEU-HUN,perm,ABL,p6,shape,2.5
C-EEU-HUN,perm,MFH,p6,shape,2.5
C-EEU-HUN,perm,SFH,p6,shape,2.5
C-EEU-HUN,perm,ABL,p7,scale,140.8825622482535
C-EEU-HUN,perm,MFH,p7,scale,140.8825622482535
C-EEU-HUN,perm,SFH,p7,scale,140.8825622482535
C-EEU-HUN,perm,ABL,p7,shape,2.5
C-EEU-HUN,perm,MFH,p7,shape,2.5
C-EEU-HUN,perm,SFH,p7,shape,2.5
C-EEU-HUN,perm,ABL,p8,scale,140.8825622482535
C-EEU-HUN,perm,MFH,p8,scale,140.8825622482535
C-EEU-HUN,perm,SFH,p8,scale,140.8825622482535
C-EEU-HUN,perm,ABL,p8,shape,2.5
C-EEU-HUN,perm,MFH,p8,shape,2.5
C-EEU-HUN,perm,SFH,p8,shape,2.5
C-EEU-HUN,perm,ABL,p9,scale,140.8825622482535
C-EEU-HUN,perm,MFH,p9,scale,140.8825622482535
C-EEU-HUN,perm,SFH,p9,scale,140.8825622482535
C-EEU-HUN,perm,ABL,p9,shape,2.5
C-EEU-HUN,perm,MFH,p9,shape,2.5
C-EEU-HUN,perm,SFH,p9,shape,2.5
C-EEU-LTU,perm,ABL,p1,scale,157.7884697180439
C-EEU-LTU,perm,MFH,p1,scale,157.7884697180439
C-EEU-LTU,perm,SFH,p1,scale,157.7884697180439
C-EEU-LTU,perm,ABL,p1,shape,2.5
C-EEU-LTU,perm,MFH,p1,shape,2.5
C-EEU-LTU,perm,SFH,p1,shape,2.5
C-EEU-LTU,perm,ABL,p2,scale,133.51332053065252
