region_bld,sector,scenario,scenario_name,year,floor_Mm2
C-EEU-BGR,Commercial,A_r,Circular,2020,62.98902944698
C-EEU-BGR,Commercial,A_r,Circular,2025,76.03606958023
C-EEU-BGR,Commercial,A_r,Circular,2030,82.06225336897
C-EEU-BGR,Commercial,A_r,Circular,2035,82.02938620376
C-EEU-BGR,Commercial,A_r,Circular,2040,79.2235865087
C-EEU-BGR,Commercial,A_r,Circular,2045,75.26526847904
C-EEU-BGR,Commercial,A_r,Circular,2050,71.02880810877
C-EEU-BGR,Commercial,A_r,Circular,2055,68.67173506896
C-EEU-BGR,Commercial,A_r,Circular,2060,66.2271131608
C-EEU-BGR,Commercial,A_r,Circular,2070,61.24000504652
C-EEU-BGR,Commercial,A_r,Circular,2080,56.66734835679
C-EEU-BGR,Commercial,A_r,Circular,2090,53.15048405601
C-EEU-BGR,Commercial,A_r,Circular,2100,51.2887885058
C-EEU-BGR,Commercial,C_r,Close,2020,62.98902944698
C-EEU-BGR,Commercial,C_r,Close,2025,76.03606958023
C-EEU-BGR,Commercial,C_r,Close,2030,84.09741505923999
C-EEU-BGR,Commercial,C_r,Close,2035,86.18313852285
C-EEU-BGR,Commercial,C_r,Close,2040,85.40768795314
C-EEU-BGR,Commercial,C_r,Close,2045,83.34578482107999
C-EEU-BGR,Commercial,C_r,Close,2050,80.88319450463999
C-EEU-BGR,Commercial,C_r,Close,2055,78.26422446042
C-EEU-BGR,Commercial,C_r,Close,2060,75.54797789576
C-EEU-BGR,Commercial,C_r,Close,2070,70.00674665766999
C-EEU-BGR,Commercial,C_r,Close,2080,64.92601700245
C-EEU-BGR,Commercial,C_r,Close,2090,61.01839000157
C-EEU-BGR,Commercial,C_r,Close,2100,57.85597980309
C-EEU-BGR,Commercial,N_r,Narrow,2020,62.98902944698
C-EEU-BGR,Commercial,N_r,Narrow,2025,76.03606958023
C-EEU-BGR,Commercial,N_r,Narrow,2030,82.06225336897
C-EEU-BGR,Commercial,N_r,Narrow,2035,82.02938620377
C-EEU-BGR,Commercial,N_r,Narrow,2040,79.22358650871
C-EEU-BGR,Commercial,N_r,Narrow,2045,75.26526847904
C-EEU-BGR,Commercial,N_r,Narrow,2050,71.02880810875
C-EEU-BGR,Commercial,N_r,Narrow,2055,68.67173506896
C-EEU-BGR,Commercial,N_r,Narrow,2060,66.22711316078
C-EEU-BGR,Commercial,N_r,Narrow,2070,61.240005046499995
C-EEU-BGR,Commercial,N_r,Narrow,2080,56.66734835680999
C-EEU-BGR,Commercial,N_r,Narrow,2090,53.15048405602
C-EEU-BGR,Commercial,N_r,Narrow,2100,51.28904997750999
