country,sector,scenario,material,year,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
BGR,Commercial,A_r,aluminum,2025,0.03725767409431268,0.00154844940562984,2.6983947257134e-4
BGR,Commercial,A_r,aluminum,2030,0.040210504150795266,8.5764593185782e-4,2.6707992056129997e-4
BGR,Commercial,A_r,aluminum,2035,0.040194399239842346,3.7285403554546e-4,2.6473562679129995e-4
BGR,Commercial,A_r,aluminum,2040,0.03881955738926296,1.3797536828054e-4,2.6142405477467997e-4
BGR,Commercial,A_r,aluminum,2045,0.03687998155472955,2.690922762822e-5,2.5835451106878e-4
BGR,Commercial,A_r,aluminum,2050,0.03480411597329729,0,2.555834699817e-4
BGR,Commercial,A_r,aluminum,2055,0.033649150183790395,1.2657119004978e-4,2.5210198366388e-4
BGR,Commercial,A_r,aluminum,2060,0.03245128544879197,1.0707884246471998e-4,2.4901620512706e-4
BGR,Commercial,A_r,aluminum,2070,0.03000760247279478,8.937963706518e-5,2.4839304650691997e-4
BGR,Commercial,A_r,aluminum,2080,0.027767000694827088,7.838110436569001e-5,2.3134717078466e-4
BGR,Commercial,A_r,aluminum,2090,0.02604373718744489,9.179935110402e-5,2.0685939674722e-4
BGR,Commercial,A_r,aluminum,2100,0.025131506367841998,8.693544476518999e-5,1.7815852672548e-4
BGR,Commercial,A_r,brick,2025,11.28893727467673,0.4691744355516294,0.08176036089581618
BGR,Commercial,A_r,brick,2030,12.10813090070812,0.2582531462537978,0.0804227329998046
BGR,Commercial,A_r,brick,2035,11.923308036933568,0.11060380557238372,0.07853144931332792
BGR,Commercial,A_r,brick,2040,11.308014031333224,0.0401917874758215,0.07615199858867396
BGR,Commercial,A_r,brick,2045,10.577888911314341,0.0077180846774061885,0.07410104893265641
BGR,Commercial,A_r,brick,2050,9.917139273870045,0,0.07282635392469561
BGR,Commercial,A_r,brick,2055,9.588041514286582,0.03606539297668659,0.0718343337647702
BGR,Commercial,A_r,brick,2060,9.246720062037923,0.03051121295027718,0.07095506719924549
BGR,Commercial,A_r,brick,2070,8.55041321049362,0.02546797366447723,0.0707775034067796
BGR,Commercial,A_r,brick,2080,7.911972633337899,0.02233403454438175,0.06592042490168473
BGR,Commercial,A_r,brick,2090,7.420943232637164,0.02615745076955657,0.05894284024409215
BGR,Commercial,A_r,brick,2100,7.161010755258354,0.024771521685357317,0.0507647694232383
BGR,Commercial,A_r,concrete,2025,80.78321824806575,3.3573949346499217,0.5850741232395128
BGR,Commercial,A_r,concrete,2030,86.3716730204193,1.842213012697363,0.5736844154584892
BGR,Commercial,A_r,concrete,2035,84.39687368098772,0.782888052427577,0.5558699638683804
BGR,Commercial,A_r,concrete,2040,79.27357366494974,0.2817600523276758,0.5338551095820182
BGR,Commercial,A_r,concrete,2045,73.53254069587355,0.05365251803963704,0.5151158649831614
BGR,Commercial,A_r,concrete,2050,68.68908839079955,0,0.5044172239360872
BGR,Commercial,A_r,concrete,2055,66.40965835830983,0.24979975551536363,0.49754619403837125
BGR,Commercial,A_r,concrete,2060,64.04556335513107,0.2113298346806662,0.49145612943702693
BGR,Commercial,A_r,concrete,2070,59.22273274319578,0.17639884303965825,0.49022626922241536
BGR,Commercial,A_r,concrete,2080,54.80070134629186,0.15469223841438942,0.4565846831214145
BGR,Commercial,A_r,concrete,2090,51.39968407954009,0.1811743687740817,0.40825583383697484
BGR,Commercial,A_r,concrete,2100,49.59931358748134,0.17157500723049893,0.35161205643637405
BGR,Commercial,A_r,copper,2025,0.013906654583730575,5.779682051533171e-4,1.0071923246219214e-4
BGR,Commercial,A_r,copper,2030,0.015008816450733157,3.2012158620790257e-4,9.968921280738701e-5
BGR,Commercial,A_r,copper,2035,0.015002805194282839,1.3917004774251937e-4,9.881419082883687e-5
BGR,Commercial,A_r,copper,2040,0.014489637070183968,5.150014954995237e-5,9.75781263324943e-5
BGR,Commercial,A_r,copper,2045,0.013765678534781904,1.0044033688022394e-5,9.643240038246427e-5
BGR,Commercial,A_r,copper,2050,0.01299084901831348,0,9.539809235942993e-5
BGR,Commercial,A_r,copper,2055,0.012559750977946286,4.7243470320191e-5,9.409860631160661e-5
BGR,Commercial,A_r,copper,2060,0.01211264064396551,3.996783244206528e-5,9.294682061170444e-5
BGR,Commercial,A_r,copper,2070,0.011200521036785755,3.336149584480907e-5,9.271422284783908e-5
BGR,Commercial,A_r,copper,2080,0.010364202728052515,2.925622628899905e-5,8.635174554593862e-5
BGR,Commercial,A_r,copper,2090,0.009720984090913551,3.426466889969088e-5,7.721153421119223e-5
BGR,Commercial,A_r,copper,2100,0.009380488361718588,3.244918612933588e-5,6.649875904883141e-5
BGR,Commercial,A_r,glass,2025,0.19541269882119103,0.00812145912748711,0.0014152804989966197
BGR,Commercial,A_r,glass,2030,0.20870663125020694,0.0044514834375671405,0.0013862385382158746
BGR,Commercial,A_r,glass,2035,0.20339481615012617,0.0018867449058780565,0.0013396357492073323
BGR,Commercial,A_r,glass,2040,0.19041103812454604,6.767731235694282e-4,0.0012822924579285132
BGR,Commercial,A_r,glass,2045,0.17610025608792723,1.2849035375534678e-4,0.0012336311907631316
BGR,Commercial,A_r,glass,2050,0.16428963315558492,0,0.0012064582980972898
BGR,Commercial,A_r,glass,2055,0.15883772321450437,5.974676787451859e-4,0.0011900242616623559
BGR,Commercial,A_r,glass,2060,0.15318331274093028,5.054558420834639e-4,0.0011754581274671218
BGR,Commercial,A_r,glass,2070,0.14164813167260065,4.21908368432166e-4,0.001172516564429604
BGR,Commercial,A_r,glass,2080,0.13107157674925518,3.69990804893553e-4,0.001092053073520242
BGR,Commercial,A_r,glass,2090,0.12293706962155107,4.3333040633387394e-4,9.764607850537139e-4
BGR,Commercial,A_r,glass,2100,0.1186309678139153,4.1037078314670294e-4,8.409809639102759e-4
BGR,Commercial,A_r,steel,2025,3.57369527027081,0.148524738907352,0.02588256165480199
BGR,Commercial,A_r,steel,2030,3.8208250818395126,0.08149400652851968,0.02537808666883216
BGR,Commercial,A_r,steel,2035,3.733242676694769,0.0346305610732058,0.0245885585720896
BGR,Commercial,A_r,steel,2040,3.506353546345093,0.01246254348104834,0.023612973027164
BGR,Commercial,A_r,steel,2045,3.2522062297578396,0.002372950149137086,0.022782607663104245
BGR,Commercial,A_r,steel,2050,3.0379021228120933,0,0.0223087857369741
BGR,Commercial,A_r,steel,2055,2.9370901088994192,0.01104785673148794,0.02200490171694724
BGR,Commercial,A_r,steel,2060,2.832533629887416,0.00934645324942055,0.02173555733323338
BGR,Commercial,A_r,steel,2070,2.6192350158396605,0.007801565463832131,0.02168116448796116
BGR,Commercial,A_r,steel,2080,2.4236624892199083,0.00684155068106237,0.02019330304991818
BGR,Commercial,A_r,steel,2090,2.273246203075548,0.00801277193207946,0.01805587020179306
BGR,Commercial,A_r,steel,2100,2.193621484393066,0.00758822239307586,0.01555069426132404
BGR,Commercial,A_r,wood,2025,1.9515047104869823,0.08110560797188013,0.014133813089493841
BGR,Commercial,A_r,wood,2030,2.18881295192798,0.046684978551347234,0.01453819099437744
BGR,Commercial,A_r,wood,2035,2.3849294836363075,0.02212324600646608,0.015708054197701812
BGR,Commercial,A_r,wood,2040,2.530432051400139,0.008993850463049922,0.017040786956313992
BGR,Commercial,A_r,wood,2045,2.5847510270806136,0.001885946001539361,0.018106898639440875
BGR,Commercial,A_r,wood,2050,2.5107945991112306,0,0.018437980052258846
BGR,Commercial,A_r,wood,2055,2.4274745151109065,0.009130939013761729,0.01818682306121878
BGR,Commercial,A_r,wood,2060,2.341059669538983,0.00772474668070215,0.01796421272138872
BGR,Commercial,A_r,wood,2070,2.164770577099996,0.0064479129475936686,0.017919257598867075
BGR,Commercial,A_r,wood,2080,2.0031319120870275,0.005654470685729738,0.016689555550597614
BGR,Commercial,A_r,wood,2090,1.8788144115218552,0.006622472903225771,0.014922989468452838
BGR,Commercial,A_r,wood,2100,1.8130054073006576,0.00627158711214615,0.012852487534265903
CZE,Commercial,A_r,aluminum,2025,0.06148075791370239,0.0033691801974698,3.1339414091286e-4
CZE,Commercial,A_r,aluminum,2030,0.06836833783882759,0.00170964848807116,3.3213250304612e-4
CZE,Commercial,A_r,aluminum,2035,0.07028301635800269,8.0683639662234e-4,3.5701652558348e-4
CZE,Commercial,A_r,aluminum,2040,0.06991477349213068,4.6293456513458e-4,3.852493113168e-4
CZE,Commercial,A_r,aluminum,2045,0.06862311283378945,3.2589389755748e-4,4.1294475954368e-4
CZE,Commercial,A_r,aluminum,2050,0.06699314348093006,2.7992655622232e-4,4.3884047410503997e-4
CZE,Commercial,A_r,aluminum,2055,0.06689352038781926,5.4126840138028e-4,4.6138082692366e-4
CZE,Commercial,A_r,aluminum,2060,0.06645597055714537,4.966342573822e-4,4.8143794193782004e-4
CZE,Commercial,A_r,aluminum,2070,0.06437345549657397,4.1291135177243e-4,5.142550019163899e-4
CZE,Commercial,A_r,aluminum,2080,0.06193735078105463,3.731872772434801e-4,5.1553465759439e-4
CZE,Commercial,A_r,aluminum,2090,0.06011750624114756,3.986956173774e-4,4.9321464741031e-4
CZE,Commercial,A_r,aluminum,2100,0.05847701370068877,3.7399404492001996e-4,4.5648775249888996e-4
CZE,Commercial,A_r,brick,2025,18.62844196689446,1.020849122788516,0.09495726410781306
CZE,Commercial,A_r,brick,2030,20.586978489798117,0.5148069671082177,0.10001127586416297
CZE,Commercial,A_r,brick,2035,20.848826444721176,0.23934078066283815,0.1059057502864246
CZE,Commercial,A_r,brick,2040,20.36595192775607,0.13485137158155425,0.11222190336298785
CZE,Commercial,A_r,brick,2045,19.682430242737603,0.09347264559019802,0.11844050915481764
CZE,Commercial,A_r,brick,2050,19.089131147720412,0.07976271101502595,0.1250438914767969
CZE,Commercial,A_r,brick,2055,19.060744387659287,0.1542298653743018,0.13146657488458482
CZE,Commercial,A_r,brick,2060,18.936068254141613,0.14151174253105714,0.13718168062610298
CZE,Commercial,A_r,brick,2070,18.342673153646498,0.11765560678026868,0.14653262505509296
CZE,Commercial,A_r,brick,2080,17.648525663502742,0.10633656681581624,0.14689725214664331
CZE,Commercial,A_r,brick,2090,17.129976312245052,0.11360495317412564,0.14053735351397742
CZE,Commercial,A_r,brick,2100,16.66253180039603,0.10656644846016086,0.1300723346003298
CZE,Commercial,A_r,concrete,2025,133.30444278477543,7.305158623705143,0.6795106752757073
CZE,Commercial,A_r,concrete,2030,146.85435672778013,3.6723041232651603,0.7134165700826088
