Model,Scenario,Region,Variable,Unit,2020,2025
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Energy Service|Residential|Floor Space,bn m2,0.17422,0.18175
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Energy Service|Residential|Floor Space,bn m2,0.32856,0.34793
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Energy Service|Residential|Floor Space,bn m2,0.03344,0.03537
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Energy Service|Residential|Floor Space,bn m2,0.30689,0.31393
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Energy Service|Residential|Floor Space,bn m2,0.0806,0.08429
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Energy Service|Residential|Floor Space,bn m2,0.05358,0.05578
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Energy Service|Residential|Floor Space,bn m2,1.05166,1.10383
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Energy Service|Residential|Floor Space,bn m2,0.50924,0.53365
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Energy Service|Residential|Floor Space,bn m2,0.15835,0.16774
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Energy Service|Residential|Floor Space,bn m2,0.05126,0.05544
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Energy Service|Residential|Floor Space,bn m2,0.35449,0.36238
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Energy Service|Residential|Floor Space,bn m2,0.37818,0.39794
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Energy Service|Residential|Floor Space,bn m2,0.04137,0.04495
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Energy Service|Residential|Floor Space,bn m2,3.63882,3.62767
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Energy Service|Residential|Floor Space,bn m2,0.32672,0.32859
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Energy Service|Residential|Floor Space,bn m2,1.62097,1.68883
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Energy Service|Residential|Floor Space,bn m2,0.29089,0.29362
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Energy Service|Residential|Floor Space,bn m2,2.52956,2.64011
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Energy Service|Residential|Floor Space,bn m2,2.60543,2.71376
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Energy Service|Residential|Floor Space,bn m2,0.38471,0.39379
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Energy Service|Residential|Floor Space,bn m2,0.22143,0.23271
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Energy Service|Residential|Floor Space,bn m2,2.24034,2.28642
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Energy Service|Residential|Floor Space,bn m2,0.03019,0.03197
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Energy Service|Residential|Floor Space,bn m2,0.84951,0.85845
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Energy Service|Residential|Floor Space,bn m2,0.41794,0.42661
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Energy Service|Residential|Floor Space,bn m2,0.47752,0.4953
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.07838,0.08331
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Energy Service|Residential|Single-family|Floor Space,bn m2,0.09584,0.09844
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.15245,0.16447
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Energy Service|Residential|Single-family|Floor Space,bn m2,0.1761,0.18346
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.0145,0.01561
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Energy Service|Residential|Single-family|Floor Space,bn m2,0.01894,0.01976
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.13286,0.13833
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Energy Service|Residential|Single-family|Floor Space,bn m2,0.17403,0.1756
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.0343,0.0366
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Energy Service|Residential|Single-family|Floor Space,bn m2,0.04629,0.0477
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.02267,0.02404
