Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_2C,AFR,Product Stock|Commercial,m2,605434028,735223671,900823594,1110104392,1385736959,1752223288,2243264161,2905547800,3776873728,6075587003,8392807589,9781964466,10236275188
MESSAGEix-buildings,SSP2_2C,CHN,Product Stock|Commercial,m2,13600082366,15659053833,16422668788,16467824295,16198706475,15763456339,15222549130,14617113367,13969832530,12631686686,11307011530,10068262242,9019556456
MESSAGEix-buildings,SSP2_2C,EEU,Product Stock|Commercial,m2,1364762721,1529353513,1637548734,1692594302,1709643986,1703573291,1684804192,1658416500,1625865341,1544249761,1448640154,1358593086,1276241428
MESSAGEix-buildings,SSP2_2C,FSU,Product Stock|Commercial,m2,2552729544,2666915471,2699482103,2666820193,2602646681,2522615988,2435420847,2347327524,2262445516,2131769551,1997585810,1866384815,1742819181
MESSAGEix-buildings,SSP2_2C,LAM,Product Stock|Commercial,m2,2911908787,3702928938,4521190317,5318159377,6075324597,6752478431,7313100159,7738862752,8023999512,8256274026,8192489793,7978027535,7709646255
MESSAGEix-buildings,SSP2_2C,MEA,Product Stock|Commercial,m2,2011547836,2595458923,3264299300,3954843583,4634930267,5263779354,5818120620,6305042722,6727928074,7371348656,7716963708,7815134731,7753471560
MESSAGEix-buildings,SSP2_2C,NAM,Product Stock|Commercial,m2,9021484677,9423787232,9781239020,10105111487,10402055340,10674155381,10931923361,11187271417,11443541643,11893381985,12210121327,12378699157,12415991640
MESSAGEix-buildings,SSP2_2C,PAO,Product Stock|Commercial,m2,3002383601,3269219280,3444769910,3536501366,3580580115,3598465844,3593028401,3573068230,3541284364,3437958467,3303330119,3142949786,2963907345
MESSAGEix-buildings,SSP2_2C,PAS,Product Stock|Commercial,m2,248455923,329685182,413386722,497137404,575864466,639303167,684112462,712570625,728036958,727465737,697107553,653821149,608158035
MESSAGEix-buildings,SSP2_2C,RCPA,Product Stock|Commercial,m2,145026205,172537458,185091702,189182112,189504756,187579283,183783476,178733411,172762769,159428648,145227858,131555931,119642319
MESSAGEix-buildings,SSP2_2C,SAS,Product Stock|Commercial,m2,634558314,815138791,1046596710,1335211278,1689402786,2093134315,2518664103,2933262107,3305229709,3845047624,4104592500,4149267380,4066850399
MESSAGEix-buildings,SSP2_2C,WEU,Product Stock|Commercial,m2,8457783414,9071687278,9566801524,9958663121,10260457171,10477735363,10627793537,10722409355,10774163726,10786915946,10722290367,10583059942,10355928634
MESSAGEix-buildings,SSP2_2C,AFR,Stock Addition|Commercial,m2/yr,3060773967,3860063005,4850545111,6055896510,7847226485,10300970941,13677875508,18335635960,24095122675,31868691793,33171051934,21267001474,9492163562
MESSAGEix-buildings,SSP2_2C,AFR,Stock Retirement|Commercial,m2/yr,489225743,533439565,565440292,585192933,593072368,589840820,576591233,554672481,525605502,245498789,226230422,205769963,184826116
MESSAGEix-buildings,SSP2_2C,CHN,Stock Addition|Commercial,m2/yr,34873744111,25189325304,13412273715,6642316705,4380490884,2646552626,1197993968,25299786,0,0,0,0,0
MESSAGEix-buildings,SSP2_2C,CHN,Stock Retirement|Commercial,m2/yr,8153386530,7759192445,6961803537,5908856762,4756833689,3641910015,2660858287,1864807588,1264239462,420389101,280372066,193317780,142338996
MESSAGEix-buildings,SSP2_2C,EEU,Stock Addition|Commercial,m2/yr,2279983405,1917751504,1445054526,987124335,662235459,480665595,360684517,264283707,182805993,32329154,7893806,1635068,115676
MESSAGEix-buildings,SSP2_2C,EEU,Stock Retirement|Commercial,m2/yr,513063115,528143866,530712727,521047985,500402479,470726251,434392114,393932641,351805569,155100724,135451451,117600517,101935286
MESSAGEix-buildings,SSP2_2C,FSU,Stock Addition|Commercial,m2/yr,2580790621,2205705779,1498082814,901337719,590802889,422710478,291683244,220981552,178663780,87532679,29809572,2715202,0
MESSAGEix-buildings,SSP2_2C,FSU,Stock Retirement|Commercial,m2/yr,1241367674,1246496646,1224493907,1175689844,1102635184,1009627939,902208615,786594309,669080437,277732446,225280025,178926571,139677466
MESSAGEix-buildings,SSP2_2C,LAM,Stock Addition|Commercial,m2/yr,10838505594,11999038793,12351370929,12031780723,11449765578,10318703616,8692377302,6819325566,4966041308,2302353293,687394235,128186383,29602663
MESSAGEix-buildings,SSP2_2C,LAM,Stock Retirement|Commercial,m2/yr,1402154190,1473816051,1516077978,1530042849,1517614966,1481402376,1424565462,1350641676,1263363708,583242186,531809349,479055525,426466153
MESSAGEix-buildings,SSP2_2C,MEA,Stock Addition|Commercial,m2/yr,6419463018,7747417583,8832548746,9162291631,9087751438,8498918269,7617403528,6799900765,6004451844,4419840611,2793227608,1467247225,528290248
MESSAGEix-buildings,SSP2_2C,MEA,Stock Retirement|Commercial,m2/yr,774552865,835223662,877346053,901069592,907145946,896884010,872057854,834790471,787426664,366202809,336070936,304460762,272409221
MESSAGEix-buildings,SSP2_2C,NAM,Stock Addition|Commercial,m2/yr,6468255804,6020147070,5984695349,6049740814,6155967210,6243639682,6367343253,6524174715,6628759098,4291151650,3666941117,2934619927,2234029625
MESSAGEix-buildings,SSP2_2C,NAM,Stock Retirement|Commercial,m2/yr,2169088820,2503718671,2857348933,3214437888,3555922286,3861330307,4111366938,4290335617,4387711867,2199225784,2161074920,2080859928,1961247343
MESSAGEix-buildings,SSP2_2C,PAO,Stock Addition|Commercial,m2/yr,3515917573,3144926348,2392400338,1752693396,1425677133,1224617303,1027813193,881465940,750181728,333077966,238627920,138674589,28314931
MESSAGEix-buildings,SSP2_2C,PAO,Stock Retirement|Commercial,m2/yr,872325998,896125893,911178843,917786137,916360793,907422931,891586523,869542347,842039048,404931725,386910495,367358473,346669544
MESSAGEix-buildings,SSP2_2C,PAS,Stock Addition|Commercial,m2/yr,7060859078,8220793778,8736005795,9067006947,9021938571,8007752815,6570717743,5223287779,4025710284,2540559540,1183680984,385806729,131432818
MESSAGEix-buildings,SSP2_2C,PAS,Stock Retirement|Commercial,m2/yr,984821275,994503702,967734077,911406027,833203042,740973893,642087633,542918615,448518395,181241640,143497104,111493108,85198518
MESSAGEix-buildings,SSP2_2C,RCPA,Stock Addition|Commercial,m2/yr,3583809435,2802749277,1712876214,1029289708,657492312,475691057,386111167,305480433,230217244,131572299,34164738,0,0
MESSAGEix-buildings,SSP2_2C,RCPA,Stock Retirement|Commercial,m2/yr,735163976,710554091,644423547,550628738,444470764,339642046,246152835,169559277,111353823,35039831,21330055,12773881,7747415
MESSAGEix-buildings,SSP2_2C,SAS,Stock Addition|Commercial,m2/yr,11211317451,14824531431,18598559958,22828817614,27602951971,31188271614,32686585077,31835068315,28559097718,20022723325,11771810502,5829837468,1748248317
MESSAGEix-buildings,SSP2_2C,SAS,Stock Retirement|Commercial,m2/yr,1682713079,1793107093,1865671828,1901161595,1901499037,1869663381,1809494166,1725453305,1622370930,752597561,689380946,623798989,557882450
MESSAGEix-buildings,SSP2_2C,WEU,Stock Addition|Commercial,m2/yr,9357828813,8056135692,7275673136,6588623875,5970997907,5348116762,4799740941,4295167892,3852207566,1953364077,1454139813,976528047,536822851
MESSAGEix-buildings,SSP2_2C,WEU,Stock Retirement|Commercial,m2/yr,2675935762,2918512182,3136128396,3315806203,3446809303,3521281180,3534680233,3485978063,3377625525,1607654179,1503756661,1382458716,1249805823
MESSAGEix-buildings,SSP2_2C,AFR,Material Stock|Commercial|Aluminium,kt/yr,3422.873,4238.919,5290.62,6634.019,8416.117,10802.791,14023.982,18397.486,24197.359,39774.151,56027.464,66448.929,70643.632
MESSAGEix-buildings,SSP2_2C,AFR,Material Demand|Commercial|Aluminium,kt/yr,899.704,1135.316,1427.511,1783.372,2312.152,3036.726,4034.291,5410.668,7113.813,9417.996,9818.269,6313.17,2830.594
MESSAGEix-buildings,SSP2_2C,AFR,Total Scrap|Commercial|Aluminium,kt/yr,143.07,156.06,165.471,171.293,173.634,172.717,168.862,162.463,153.966,71.921,66.281,60.291,54.157
MESSAGEix-buildings,SSP2_2C,AFR,Material Stock|Commercial|Cement,kt/yr,239860.209,296660.433,369799.938,463140.244,586872.404,752464.048,975797.973,1278819.635,1680361.587,2757194.256,3877769.079,4592610.503,4876446.657
MESSAGEix-buildings,SSP2_2C,AFR,Material Demand|Commercial|Cement,kt/yr,62777.17,79137.985,99401.228,124046.55,160677.142,210840.609,279857.645,375031.189,492657.035,651146.837,676995.725,433134.859,192688.523
MESSAGEix-buildings,SSP2_2C,AFR,Total Scrap|Commercial|Cement,kt/yr,10070.53,10977.716,11633.822,12038.182,12198.551,12130.636,11856.934,11405.195,10806.694,5047.236,4650.832,4230.004,3799.313
MESSAGEix-buildings,SSP2_2C,AFR,Material Stock|Commercial|Concrete,kt/yr,1599068.062,1977736.22,2465332.918,3087601.629,3912482.693,5016426.988,6505319.823,8525464.236,11202410.58,18381295.041,25851793.857,30617403.352,32509644.382
MESSAGEix-buildings,SSP2_2C,AFR,Material Demand|Commercial|Concrete,kt/yr,418514.467,527586.565,662674.853,826977.003,1071180.949,1405604.059,1865717.631,2500207.929,3284380.237,4340978.916,4513304.835,2887565.725,1284590.152
MESSAGEix-buildings,SSP2_2C,AFR,Total Scrap|Commercial|Concrete,kt/yr,67136.867,73184.775,77558.815,80254.55,81323.673,80870.905,79046.229,76034.633,72044.624,33648.24,31005.545,28200.028,25328.756
MESSAGEix-buildings,SSP2_2C,AFR,Material Stock|Commercial|Copper,kt/yr,302.202,370.23,457.242,567.498,712.828,906.242,1165.635,1515.675,1976.673,3198.13,4441.021,5199.714,5464.432
