R12,urt,arch,mat,eneff,fuel_heat,fuel_cool,scenario,year,stock_M,floor_Mm2,heat_TJ,cool_TJ,cool_ac_TJ,cool_fans_TJ,hotwater_TJ,other_uses_TJ
AFR,rur,mfh,perm,s1,biomass_solid,electricity,IND_SSP2,2020,0.08429819146578715,5.663292575225904,63.60262010960187,0.9488162385865564,0.5510899470937936,0.3977262914927628,2546.1398388869866,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,IND_SSP2,2025,0.0785068153323003,6.1174313591124045,68.31055094437363,1.335996334798626,0.8049766632207106,0.5310196715779154,2446.95016826103,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,IND_SSP2,2030,0.07347706479220714,6.492117493723716,72.2834257880611,1.709704120125723,1.0428775705299627,0.6668265495957602,2372.0970365512712,0
AFR,rur,mfh,perm,s1,coal,electricity,IND_SSP2,2020,0.04680550643709662,3.144471697033544,18.83442762291821,0.5268182407130025,0.30598573827365255,0.22083250243934996,565.484798800696,0
AFR,rur,mfh,perm,s1,coal,electricity,IND_SSP2,2025,0.04358991794396249,3.3966265223218652,20.228571158116,0.7417951025576575,0.44695313293305255,0.2948419696246049,543.4552735978967,0
AFR,rur,mfh,perm,s1,coal,electricity,IND_SSP2,2030,0.04079721239849831,3.604666259056094,21.40504493611667,0.9492916255235413,0.5790446033326709,0.3702470221908703,526.830770434636,0
AFR,rur,mfh,perm,s1,electricity,electricity,IND_SSP2,2020,0.028472906018784237,1.9128571380888282,8.593073674473874,0.3204760999631068,0.1861384215161498,0.13433767844695696,177.31850086668743,0
AFR,rur,mfh,perm,s1,electricity,electricity,IND_SSP2,2025,0.02651678689925252,2.066248937591542,9.229141799750566,0.4512516533219456,0.27189225072628054,0.1793594025956651,170.41072515721586,0
AFR,rur,mfh,perm,s1,electricity,electricity,IND_SSP2,2030,0.024817917563845163,2.192804480396464,9.76589972461646,0.5774767430410186,0.3522466468670963,0.22523009617392228,165.19779669220227,0
AFR,rur,mfh,perm,s1,gas,electricity,IND_SSP2,2020,1.875560346560613e-5,0.0012600316395980004,0.00754716769860959,2.1110037506465604e-4,1.226102659165931e-4,8.849010914806294e-5,0.15106500719017654,0
AFR,rur,mfh,perm,s1,gas,electricity,IND_SSP2,2025,1.746702034092144e-5,0.001361067921820914,0.00810574803781885,2.972415304424599e-4,1.7909608155471714e-4,1.181454488877427e-4,0.14517964501906408,0
AFR,rur,mfh,perm,s1,gas,electricity,IND_SSP2,2030,1.634799663288393e-5,0.0014444378133448225,0.008577248075039488,3.803953976906453e-4,2.3203264792800155e-4,1.483627497626437e-4,0.14073889127707842,0
AFR,rur,mfh,perm,s1,oil,electricity,IND_SSP2,2020,0.03866655521577666,2.597683429652846,15.559332457372216,0.43521046886377235,0.25277825594670456,0.18243221291706777,389.29445955183047,0
AFR,rur,mfh,perm,s1,oil,electricity,IND_SSP2,2025,0.03601012140977079,2.805991365941658,16.71105014168694,0.6128052630723846,0.3692329992353193,0.2435722638370653,374.1287609737943,0
AFR,rur,mfh,perm,s1,oil,electricity,IND_SSP2,2030,0.03370303608428022,2.9778553471617633,17.6829485535431,0.7842204920936067,0.4783552616535377,0.30586523044006897,362.6840212629395,0
AFR,rur,mfh,perm,s1,v_no_heat,electricity,IND_SSP2,2020,0.2847011593990897,17.40448274367023,0,2.3975418879141173,0.6306354362963776,1.7669064516177397,0,0
AFR,rur,mfh,perm,s1,v_no_heat,electricity,IND_SSP2,2025,0.26514188435437297,19.366281059891353,0,3.3648791194338714,1.0175656722069575,2.347313447226914,0,0
AFR,rur,mfh,perm,s1,v_no_heat,electricity,IND_SSP2,2030,0.24815485562453626,20.995344032065994,0,5.304343506331135,2.0282110876775183,3.276132418653618,0,0
AFR,rur,mfh,perm,s2,biomass_solid,electricity,IND_SSP2,2020,0.1865020480811193,13.035517710152101,163.25643449941842,2.0988494234209676,1.1623380083298744,0.936511415091093,5565.720746453078,0
AFR,rur,mfh,perm,s2,biomass_solid,electricity,IND_SSP2,2025,0.17092693259035763,13.704750953134427,169.7955012983082,3.0871190286781496,1.8365172764367588,1.2506017522413908,5263.626011894078,0
AFR,rur,mfh,perm,s2,biomass_solid,electricity,IND_SSP2,2030,0.15663588356925653,14.123789362756538,173.65376362498577,3.978366767823551,2.439502284658618,1.5388644831649325,4995.905399561845,0
AFR,rur,mfh,perm,s2,coal,electricity,IND_SSP2,2020,0.1035529073383684,7.237806620162781,48.34457277798837,1.165359646089883,0.6453735059294801,0.5199861401604029,1236.1184674510146,0
AFR,rur,mfh,perm,s2,coal,electricity,IND_SSP2,2025,0.0949050211542866,7.609389926789023,50.280964395235,1.7140838690376583,1.0197030360653547,0.6943808329723035,1169.0247533209495,0
AFR,rur,mfh,perm,s2,coal,electricity,IND_SSP2,2030,0.08697009660401946,7.842055711488886,51.42349849247358,2.20893792205348,1.354502847614768,0.8544350744387119,1109.565357109191,0
AFR,rur,mfh,perm,s2,electricity,electricity,IND_SSP2,2020,0.06299370369245397,4.402930412103826,22.056867577756563,0.7089160647739127,0.39259609422452557,0.316319970549387,387.6084281176427,0
AFR,rur,mfh,perm,s2,electricity,electricity,IND_SSP2,2025,0.05773298816811382,4.628973400899163,22.940332562379897,1.0427180795058801,0.6203096601060392,0.4224084193998409,366.56991889483385,0
AFR,rur,mfh,perm,s2,electricity,electricity,IND_SSP2,2030,0.052905984312235754,4.770509548676408,23.461605480028428,1.343749608245697,0.8239763742333808,0.5197732340123162,347.92529585581104,0
