R12,urt,arch,mat,eneff,material,scenario,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
AFR,rur,mfh,perm,s1,aluminum,"NAV_Dem-NPi-ref",2020,28.2614398642562,0,0.2940641527777996,0.057276518134313045,0,5.95970016394362e-4
AFR,rur,mfh,perm,s1,aluminum,"NAV_Dem-NPi-ref",2025,31.81667509981324,0,0.29865174024415,0.06448179487956039,0,6.052675269943613e-4
AFR,rur,mfh,perm,s1,aluminum,"NAV_Dem-NPi-ref",2030,35.03801510683889,0,0.29254891053480997,0.07101037729487283,0,5.928991254480646e-4
AFR,rur,mfh,perm,s1,aluminum,"NAV_Dem-NPi-ref",2035,37.94925529339462,0,0.2779910431299369,0.0769104907405962,0,5.633951808360025e-4
AFR,rur,mfh,perm,s1,aluminum,"NAV_Dem-NPi-ref",2040,40.58920439619407,0,0.2573114316031739,0.08226078758981639,0,5.214845014682029e-4
AFR,rur,mfh,perm,s1,aluminum,"NAV_Dem-NPi-ref",2045,42.98269856764572,0,0.23278148100690654,0.08711160244475623,0,4.717704682515911e-4
AFR,rur,mfh,perm,s1,aluminum,"NAV_Dem-NPi-ref",2050,45.12210870445036,0,0.20628644158726409,0.09144747365606011,0,4.1807385501895075e-4
AFR,rur,mfh,perm,s1,cement,"NAV_Dem-NPi-ref",2020,28.2614398642562,0,0.2940641527777996,4.100805577903235,0,0.04266944372844067
AFR,rur,mfh,perm,s1,cement,"NAV_Dem-NPi-ref",2025,31.81667509981324,0,0.29865174024415,4.61667909867065,0,0.04333511413877677
AFR,rur,mfh,perm,s1,cement,"NAV_Dem-NPi-ref",2030,35.03801510683889,0,0.29254891053480997,5.08410358704009,0,0.04244957829087727
AFR,rur,mfh,perm,s1,cement,"NAV_Dem-NPi-ref",2035,37.94925529339462,0,0.2779910431299369,5.506531816209793,0,0.04033719533576167
AFR,rur,mfh,perm,s1,cement,"NAV_Dem-NPi-ref",2040,40.58920439619407,0,0.2573114316031739,5.88959503089875,0,0.037336532004199535
AFR,rur,mfh,perm,s1,cement,"NAV_Dem-NPi-ref",2045,42.98269856764572,0,0.23278148100690654,6.2368970189118125,0,0.03377717484780465
AFR,rur,mfh,perm,s1,cement,"NAV_Dem-NPi-ref",2050,45.12210870445036,0,0.20628644158726409,6.547330778287509,0,0.029932678390415992
AFR,rur,mfh,perm,s1,concrete,"NAV_Dem-NPi-ref",2020,28.2614398642562,0,0.2940641527777996,27.338703852688234,0,0.2844629581896045
AFR,rur,mfh,perm,s1,concrete,"NAV_Dem-NPi-ref",2025,31.81667509981324,0,0.29865174024415,30.777860657804336,0,0.28890076092517847
AFR,rur,mfh,perm,s1,concrete,"NAV_Dem-NPi-ref",2030,35.03801510683889,0,0.29254891053480997,33.8940239136006,0,0.28299718860584844
AFR,rur,mfh,perm,s1,concrete,"NAV_Dem-NPi-ref",2035,37.94925529339462,0,0.2779910431299369,36.71021210806529,0,0.26891463557174444
AFR,rur,mfh,perm,s1,concrete,"NAV_Dem-NPi-ref",2040,40.58920439619407,0,0.2573114316031739,39.26396687265833,0,0.24891021336133026
AFR,rur,mfh,perm,s1,concrete,"NAV_Dem-NPi-ref",2045,42.98269856764572,0,0.23278148100690654,41.579313459412084,0,0.22518116565203103
AFR,rur,mfh,perm,s1,concrete,"NAV_Dem-NPi-ref",2050,45.12210870445036,0,0.20628644158726409,43.64887185525006,0,0.19955118926943993
AFR,rur,mfh,perm,s1,copper,"NAV_Dem-NPi-ref",2020,28.2614398642562,0,0.2940641527777996,0.005966972096902647,0,6.208716196883083e-5
AFR,rur,mfh,perm,s1,copper,"NAV_Dem-NPi-ref",2025,31.81667509981324,0,0.29865174024415,0.006717605806663644,0,6.305576111081702e-5
AFR,rur,mfh,perm,s1,copper,"NAV_Dem-NPi-ref",2030,35.03801510683889,0,0.29254891053480997,0.007397742630154683,0,6.17672416736373e-5
AFR,rur,mfh,perm,s1,copper,"NAV_Dem-NPi-ref",2035,37.94925529339462,0,0.2779910431299369,0.008012406604955561,0,5.8693569949460534e-5
AFR,rur,mfh,perm,s1,copper,"NAV_Dem-NPi-ref",2040,40.58920439619407,0,0.2573114316031739,0.008569791604067744,0,5.432738529830108e-5
AFR,rur,mfh,perm,s1,copper,"NAV_Dem-NPi-ref",2045,42.98269856764572,0,0.23278148100690654,0.009075141402370633,0,4.914826026258593e-5
AFR,rur,mfh,perm,s1,copper,"NAV_Dem-NPi-ref",2050,45.12210870445036,0,0.20628644158726409,0.009526845231031169,0,4.3554236685489496e-5
AFR,rur,mfh,perm,s1,glass,"NAV_Dem-NPi-ref",2020,28.2614398642562,0,0.2940641527777996,0.16127861683477587,0,0.0016781260986166648
AFR,rur,mfh,perm,s1,glass,"NAV_Dem-NPi-ref",2025,31.81667509981324,0,0.29865174024415,0.1815671592468731,0,0.0017043059310928332
AFR,rur,mfh,perm,s1,glass,"NAV_Dem-NPi-ref",2030,35.03801510683889,0,0.29254891053480997,0.19995027288803996,0,0.0016694791162161656
AFR,rur,mfh,perm,s1,glass,"NAV_Dem-NPi-ref",2035,37.94925529339462,0,0.2779910431299369,0.2165637502202884,0,0.0015864022195541704
AFR,rur,mfh,perm,s1,glass,"NAV_Dem-NPi-ref",2040,40.58920439619407,0,0.2573114316031739,0.2316290597678106,0,0.0014683905697678828
AFR,rur,mfh,perm,s1,glass,"NAV_Dem-NPi-ref",2045,42.98269856764572,0,0.23278148100690654,0.24528793317369244,0,0.0013284063183570073
AFR,rur,mfh,perm,s1,glass,"NAV_Dem-NPi-ref",2050,45.12210870445036,0,0.20628644158726409,0.25749683368843745,0,0.0011772079600600826
AFR,rur,mfh,perm,s1,steel,"NAV_Dem-NPi-ref",2020,28.2614398642562,0,0.2940641527777996,2.2851518792007393,0,0.023777318302018076
AFR,rur,mfh,perm,s1,steel,"NAV_Dem-NPi-ref",2025,31.81667509981324,0,0.29865174024415,2.572619627431396,0,0.02414825956226813
AFR,rur,mfh,perm,s1,steel,"NAV_Dem-NPi-ref",2030,35.03801510683889,0,0.29254891053480997,2.833089412621265,0,0.023654799468029317
AFR,rur,mfh,perm,s1,steel,"NAV_Dem-NPi-ref",2035,37.94925529339462,0,0.2779910431299369,3.0684852740871373,0,0.022477685413784844
AFR,rur,mfh,perm,s1,steel,"NAV_Dem-NPi-ref",2040,40.58920439619407,0,0.2573114316031739,3.2819451926982315,0,0.02080558189151204
AFR,rur,mfh,perm,s1,steel,"NAV_Dem-NPi-ref",2045,42.98269856764572,0,0.23278148100690654,3.4754773598496413,0,0.018822149236594234
AFR,rur,mfh,perm,s1,steel,"NAV_Dem-NPi-ref",2050,45.12210870445036,0,0.20628644158726409,3.648464904645032,0,0.01667982423793525
AFR,rur,mfh,perm,s1,wood,"NAV_Dem-NPi-ref",2020,28.2614398642562,0,0.2940641527777996,1.2586322439931825,0,0.013096240894533664
AFR,rur,mfh,perm,s1,wood,"NAV_Dem-NPi-ref",2025,31.81667509981324,0,0.29865174024415,1.4169657798620405,0,0.013300550566476117
AFR,rur,mfh,perm,s1,wood,"NAV_Dem-NPi-ref",2030,35.03801510683889,0,0.29254891053480997,1.5604291851655914,0,0.01302875909765256
AFR,rur,mfh,perm,s1,wood,"NAV_Dem-NPi-ref",2035,37.94925529339462,0,0.2779910431299369,1.6900821959961565,0,0.012380419826633154
AFR,rur,mfh,perm,s1,wood,"NAV_Dem-NPi-ref",2040,40.58920439619407,0,0.2573114316031739,1.8076531718290858,0,0.011459446727390745
AFR,rur,mfh,perm,s1,wood,"NAV_Dem-NPi-ref",2045,42.98269856764572,0,0.23278148100690654,1.9142481986383497,0,0.010366997548852246
AFR,rur,mfh,perm,s1,wood,"NAV_Dem-NPi-ref",2050,45.12210870445036,0,0.20628644158726409,2.00952751187369,0,0.00918703251240664
AFR,rur,mfh,perm,s2,aluminum,"NAV_Dem-NPi-ref",2020,62.24065323455391,0,0.7752901647447642,0.12614105724277616,0,0.0015712547341411522
AFR,rur,mfh,perm,s2,aluminum,"NAV_Dem-NPi-ref",2025,68.56968722724113,0,0.8753094111516179,0.13896789947006527,0,0.0017739604068923822
AFR,rur,mfh,perm,s2,aluminum,"NAV_Dem-NPi-ref",2030,73.636585246735,0,0.941851128270611,0.1492368127912618,0,0.001908818286942389
AFR,rur,mfh,perm,s2,aluminum,"NAV_Dem-NPi-ref",2035,77.55355279391803,0,0.9732791877873129,0.1571752003548584,0,0.0019725124875733806
AFR,rur,mfh,perm,s2,aluminum,"NAV_Dem-NPi-ref",2040,80.5169089985896,0,0.9717649072263723,0.1631809355973139,0,0.0019694435456360363
AFR,rur,mfh,perm,s2,aluminum,"NAV_Dem-NPi-ref",2045,82.69938539870131,0,0.9424910065810679,0.16760408776893446,0,0.0019101151069851282
AFR,rur,mfh,perm,s2,aluminum,"NAV_Dem-NPi-ref",2050,84.20981836070804,0,0.8914247560015547,0.1706652319057716,0,0.0018066208391269594
AFR,rur,mfh,perm,s2,cement,"NAV_Dem-NPi-ref",2020,62.24065323455391,0,0.7752901647447642,9.031274385966858,0,0.11249654112987714
AFR,rur,mfh,perm,s2,cement,"NAV_Dem-NPi-ref",2025,68.56968722724113,0,0.8753094111516179,9.949633040890756,0,0.12700958383162764
AFR,rur,mfh,perm,s2,cement,"NAV_Dem-NPi-ref",2030,73.636585246735,0,0.941851128270611,10.684852610764366,0,0.13666495333988632
AFR,rur,mfh,perm,s2,cement,"NAV_Dem-NPi-ref",2035,77.55355279391803,0,0.9732791877873129,11.25321439427949,0,0.14122524334590858
AFR,rur,mfh,perm,s2,cement,"NAV_Dem-NPi-ref",2040,80.5169089985896,0,0.9717649072263723,11.683204787967847,0,0.1410055174508147
AFR,rur,mfh,perm,s2,cement,"NAV_Dem-NPi-ref",2045,82.69938539870131,0,0.9424910065810679,11.999887569815057,0,0.1367578012824294
