R12,urt,arch,mat,eneff,material,scenario,ssp,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2020,126.09207633388999,0,1.344541610556,0.2555466080787145,0,0.002724937664508341
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2025,117.42941546725,0,1.1303300427260001,0.2379902820527698,0,0.0022908022203014704
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2030,109.90598373415,0,0.94106591722,0.222742793737846,0,0.0019072269258795555
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2035,103.37329140198999,0,0.77641902334,0.20950320394249086,0,0.0015735425542278733
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2040,97.69313767584,0,0.63504029561,0.1979914257222668,0,0.0012870149993146137
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2045,92.74014372392,0,0.5150083097579999,0.18795335797805793,0,0.0010437501746145496
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2050,88.40271863430999,0,0.414137742874,0.17916284312833586,0,8.393191590293527e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2055,84.58301982942,0,0.330180684938,0.17142158688248554,0,6.691661882510736e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2060,81.19631078261999,0,0.26095047202599997,0.16455785654650862,0,5.288596233930102e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2070,75.38300433849,0,0.18457799,0.15277622215113407,0,3.7407805979485935e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2080,70.57952292940999,0,0.108876967597,0.14304116649379744,0,2.2065732103287902e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2090,66.46346520223,0,0.061798061125999997,0.13469928949867396,0,1.252440705692927e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,SSP2,2100,62.81370218243999,0,0.033690861773,0.1273024364440163,0,6.828014653784362e-5
AFR,rur,comm,perm,s1,cement,SSP2,SSP2,2020,126.09207633388999,0,1.344541610556,18.296275506238274,0,0.19509634904570197
AFR,rur,comm,perm,s1,cement,SSP2,SSP2,2025,117.42941546725,0,1.1303300427260001,17.039301757836643,0,0.1640137150246494
