R12,urt,arch,mat,eneff,fuel_heat,fuel_cool,scenario,ssp,year,stock_M,floor_Mm2,heat_TJ,cool_TJ,cool_ac_TJ,cool_fans_TJ,hotwater_TJ,other_uses_TJ
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2020,20.958172592663278,20.958172592663278,125.3651465020511,86.84173651219992,12.58164278566716,74.26009372653274,6515.057532155306,6503.483356431197
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2025,18.54240747679537,18.54240747679537,114.77348300667884,101.6590695784409,21.27000594509914,80.38906363334176,5764.092788236609,5722.92196069401
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2030,16.486716297640914,16.486716297640914,104.9081814565403,129.3215890971412,37.31954944841754,92.00203964872368,5125.060628284654,5086.936059550858
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2035,14.731425593784948,14.731425593784948,95.82892805863416,176.12646089332605,68.05086893894106,108.075591954385,4579.410960083989,4560.089411643336
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2040,13.225865315085988,13.225865315085988,87.53613031468701,224.94708167546307,103.50907856408838,121.43800311137468,4111.3924918476305,4123.219308208521
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2045,11.927554436334328,11.927554436334328,79.99583404601982,267.8022874162537,135.7066988354845,132.09558858076926,3707.7995720788895,3758.8979762587073
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2050,10.801221420062513,10.801221420062513,73.15645494879135,331.571773100413,184.10027475197742,147.4714983484356,3357.667690640633,3452.6338798380375
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2055,9.817796813107732,9.817796813107732,66.95952316517257,355.31803855600566,198.90009724178833,156.4179413142173,3051.9603173226697,3192.580890552389
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2060,8.953457073326014,8.953457073326014,61.34620485663446,394.2919404493197,222.19121058600632,172.10072986331338,2783.271665814125,2966.195701334169
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2070,7.4811852682588516,7.4811852682588516,51.469526269706535,480.2633848857713,255.98380520725175,224.27957967851955,2325.6012524909465,2563.021324324162
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2080,6.3040289072063525,6.3040289072063525,43.38994362192148,689.4065485751934,348.17018608305483,341.23636249213865,1959.6704260941667,2202.10611288916
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2090,5.342751405309762,5.342751405309762,36.77357538720279,1101.4411208438455,606.7904443447379,494.65067649910753,1660.8477018545925,1876.9370381928077
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,SSP2,2100,4.543749144512119,4.543749144512119,31.261485362240535,1348.9892687814506,796.0581139164104,552.9311548650402,1412.4698590630371,1595.478981081891
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2020,11.63676069282841,11.63676069282841,37.12395445702287,48.21777764574206,6.985798287942631,41.23197935779943,1929.281828785408,3610.9770140491673
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2025,10.295437616132878,10.295437616132878,33.98748116918856,56.444914731321326,11.809902223795035,44.6350125075263,1706.9011932539022,3177.5801552229186
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2030,9.154041046200948,9.154041046200948,31.066102973870347,71.80417939922931,20.721208596148326,51.08297080308098,1517.6667731317477,2824.457014232203
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2035,8.179438046982709,8.179438046982709,28.377494544645877,97.79199345784845,37.78438569812439,60.00760775972406,1356.0853926853574,2531.9320654868993
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2040,7.343494712982734,7.343494712982734,25.921776553249614,124.89902668918997,57.472108861455546,67.42691782773441,1217.4926754548337,2289.3654569247933
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2045,6.6226239913540494,6.6226239913540494,23.688894264372617,148.69383854388477,75.34943095749766,73.34440758638713,1097.9780767745708,2087.080637652797
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2050,5.997241806262786,5.997241806262786,21.66357219322126,184.10104024750166,102.21935291586459,81.88168733163707,994.2947135439199,1917.0313653068438
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2055,5.451207710984198,5.451207710984198,19.828495860552238,197.28585429867215,110.43676747674574,86.84908682192638,903.7666288194921,1772.640226703886
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2060,4.97129398449672,4.97129398449672,18.16624300121485,218.92562120029748,123.36886406358659,95.55675713671091,824.2007722776802,1646.9427089579854
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2070,4.153833655132101,4.153833655132101,15.24149576261051,266.66018016045615,142.13177552725878,124.52840463319741,688.6723893516613,1423.0852270119965
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2080,3.500232449636206,3.500232449636206,12.848916432531894,382.78428094741315,193.31709947178464,189.4671814756285,580.3105382900859,1222.6916131469102
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2090,2.966495254778307,2.966495254778307,10.889633809992755,611.5612744219428,336.91273226234944,274.64854215959326,491.82118128020505,1042.1455903381673
AFR,rur,comm,perm,s1,coal,electricity,SSP2,SSP2,2100,2.522859338508007,2.522859338508007,9.257357337933648,749.0092577786154,442.0012159124465,307.00804186616887,418.2698954499196,885.869558110891
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2020,9.67322301883731,9.67322301883731,23.144861806145414,40.081714228642234,5.807044295762448,34.27466993287979,1202.8072430543064,3001.6760587265157
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2025,10.974301561320031,10.974301561320031,27.17141914490227,60.16679804726541,12.588627433055422,47.57817061420999,1364.588553340778,3387.1044785933796
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2030,12.018923470597583,12.018923470597583,30.591498794924114,94.27628002884333,27.206194409347383,67.07008561949594,1494.481020027986,3708.409491362051
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2035,12.86617734232417,12.86617734232417,33.47814439541177,153.825864720456,59.43447512884218,94.39138959161382,1599.8319554539564,3982.704775823635
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2040,13.561251403577502,13.561251403577502,35.90236077057348,230.6513679388841,106.13389774620791,124.51747019267621,1686.2602445264408,4227.777336195952
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2045,14.138116130994941,14.138116130994941,37.928659987852214,317.43471470438277,160.85754025432942,156.57717445005335,1757.989912192435,4455.543371994035
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2050,14.62189466843505,14.62189466843505,39.61351913816338,448.8573423914815,249.22133535521158,199.63600703626992,1818.1448706518881,4673.92037958702
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2055,15.030875596941563,15.030875596941563,41.00554460033248,543.9857165905105,304.5125779897066,239.4731386008039,1868.9991952261016,4887.785631802655
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2060,15.378174513641289,15.378174513641289,42.14652000102993,677.2233584991748,381.62859146752226,295.5947670316525,1912.1837317242125,5094.643863611512
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2070,15.951409185443476,15.951409185443476,43.89740099627776,1024.0192555223707,545.8095575876639,478.2096979347068,1983.4620237547838,5464.88296029422
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2080,16.3457742688893,16.3457742688893,45.00247282705514,1787.5685514887375,902.7736630665291,884.7948884222084,2032.498955690771,5709.861101093651
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2090,16.58819786672317,16.58819786672317,45.669902903713876,3419.7591961274807,1883.9656182195986,1535.7935779078816,2062.642875539826,5827.522302830876
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,SSP2,2100,16.691811502631797,16.691811502631797,45.93658711050411,4955.615699140351,2924.380629296197,2031.235069844153,2075.5266094832477,5861.114590974959
AFR,rur,comm,perm,s1,gas,electricity,SSP2,SSP2,2020,0.004663001834196244,0.004663001834196244,0.014876052905330256,0.019321492644639754,0.002799300536994252,0.016522192107645505,0.7730884000950639,1.4469656018731045
AFR,rur,comm,perm,s1,gas,electricity,SSP2,SSP2,2025,0.0041255161609626955,0.0041255161609626955,0.013619227057099045,0.022618214210554842,0.0047323820926734915,0.017885832117881348,0.6839775753583273,1.2732978210255523
AFR,rur,comm,perm,s1,gas,electricity,SSP2,SSP2,2030,0.00366814366156454,0.00366814366156454,0.012448592650589622,0.028772873275216677,0.008303259525492499,0.020469613749724176,0.6081488739381082,1.1317967706095349
AFR,rur,comm,perm,s1,gas,electricity,SSP2,SSP2,2035,0.0032776075356924705,0.0032776075356924705,0.011371232161523836,0.039186529834167524,0.015140697592689989,0.02404583224147754,0.5434011085575261,1.0145782106342307
AFR,rur,comm,perm,s1,gas,electricity,SSP2,SSP2,2040,0.002942634126257156,0.002942634126257156,0.010387193735117694,0.05004867357506727,0.02302982655329634,0.027018847021770938,0.48786519706042647,0.9173786030118767
AFR,rur,comm,perm,s1,gas,electricity,SSP2,SSP2,2045,0.0026537718296579167,0.0026537718296579167,0.00949244869775383,0.05958356232068106,0.030193501075060306,0.029390061245620755,0.43997413918264533,0.8363204387955983
AFR,rur,comm,perm,s1,gas,electricity,SSP2,SSP2,2050,0.002403173041919587,0.002403173041919587,0.00868087578545693,0.0737716934244386,0.04096063183723406,0.03281106158720454,0.39842686496593216,0.7681794809088341
