Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,SSP2_LED,R12_AFR,Energy Service|Residential|Floor Space,bn m2,22.14285,29.22425,36.55119,43.75462,52.31906,61.39138
MESSAGEix-Buildings,SSP2_LED,R12_CHN,Energy Service|Residential|Floor Space,bn m2,58.07043,58.3694,58.19178,57.62066,56.62782,55.20991
MESSAGEix-Buildings,SSP2_LED,R12_EEU,Energy Service|Residential|Floor Space,bn m2,3.62333,3.75253,3.85068,3.92174,3.96913,3.99701
MESSAGEix-Buildings,SSP2_LED,R12_FSU,Energy Service|Residential|Floor Space,bn m2,7.65311,8.47312,9.2173,9.89343,10.50021,11.02486
MESSAGEix-Buildings,SSP2_LED,R12_LAM,Energy Service|Residential|Floor Space,bn m2,15.36051,17.78851,20.09388,22.16845,24.00576,25.51971
MESSAGEix-Buildings,SSP2_LED,R12_MEA,Energy Service|Residential|Floor Space,bn m2,12.69609,15.22142,17.72231,20.41379,22.96655,25.35214
MESSAGEix-Buildings,SSP2_LED,R12_NAM,Energy Service|Residential|Floor Space,bn m2,24.51814,24.76177,24.98025,25.15651,25.28607,25.3857
MESSAGEix-Buildings,SSP2_LED,R12_PAO,Energy Service|Residential|Floor Space,bn m2,6.42324,6.37395,6.30927,6.23416,6.15409,6.07627
MESSAGEix-Buildings,SSP2_LED,R12_PAS,Energy Service|Residential|Floor Space,bn m2,14.73134,16.86802,18.92735,20.79669,22.45022,23.83767
MESSAGEix-Buildings,SSP2_LED,R12_RCPA,Energy Service|Residential|Floor Space,bn m2,5.25467,5.74746,6.13181,6.43276,6.6599,6.81915
MESSAGEix-Buildings,SSP2_LED,R12_SAS,Energy Service|Residential|Floor Space,bn m2,38.89305,46.84109,54.64435,61.99358,68.77719,74.72136
MESSAGEix-Buildings,SSP2_LED,R12_WEU,Energy Service|Residential|Floor Space,bn m2,21.14024,21.33903,21.51843,21.68978,21.85022,21.99107
MESSAGEix-Buildings,SSP2_LED,R12_AFR,Energy Service|Residential|Slum|Floor Space,bn m2,3.40682,3.41372,3.51509,3.38655,3.06385,2.70688
MESSAGEix-Buildings,SSP2_LED,R12_AFR,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.00776,1.49316,1.99402,2.51721,3.22593,4.02053
MESSAGEix-Buildings,SSP2_LED,R12_AFR,Energy Service|Residential|Single-family|Floor Space,bn m2,17.72828,24.31737,31.04209,37.85086,46.02927,54.66398
MESSAGEix-Buildings,SSP2_LED,R12_CHN,Energy Service|Residential|Slum|Floor Space,bn m2,2.03243,1.21784,0.62787,0.25471,0.06296,0.03785
MESSAGEix-Buildings,SSP2_LED,R12_CHN,Energy Service|Residential|Multi-family|Floor Space,bn m2,40.83746,42.39977,43.34471,43.73613,43.58179,42.8943
MESSAGEix-Buildings,SSP2_LED,R12_CHN,Energy Service|Residential|Single-family|Floor Space,bn m2,15.20054,14.7518,14.21921,13.62982,12.98307,12.27775
MESSAGEix-Buildings,SSP2_LED,R12_EEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.46411,1.55669,1.63595,1.70263,1.75753,1.80197
MESSAGEix-Buildings,SSP2_LED,R12_EEU,Energy Service|Residential|Single-family|Floor Space,bn m2,2.15922,2.19583,2.21472,2.21911,2.2116,2.19504
MESSAGEix-Buildings,SSP2_LED,R12_FSU,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.68165,4.15659,4.60226,5.01986,5.40708,5.75578
MESSAGEix-Buildings,SSP2_LED,R12_FSU,Energy Service|Residential|Single-family|Floor Space,bn m2,3.97146,4.31653,4.61505,4.87356,5.09314,5.26909
MESSAGEix-Buildings,SSP2_LED,R12_LAM,Energy Service|Residential|Slum|Floor Space,bn m2,1.67665,1.70332,1.63907,1.46004,1.21732,0.93785
MESSAGEix-Buildings,SSP2_LED,R12_LAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.7798,0.93602,1.0943,1.2488,1.39517,1.52484
MESSAGEix-Buildings,SSP2_LED,R12_LAM,Energy Service|Residential|Single-family|Floor Space,bn m2,12.90406,15.14916,17.36051,19.45961,21.39327,23.05702
MESSAGEix-Buildings,SSP2_LED,R12_MEA,Energy Service|Residential|Slum|Floor Space,bn m2,1.37517,1.37637,1.34513,1.28576,1.22226,1.10361
MESSAGEix-Buildings,SSP2_LED,R12_MEA,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.06803,1.32575,1.58861,1.88252,2.16667,2.4444
MESSAGEix-Buildings,SSP2_LED,R12_MEA,Energy Service|Residential|Single-family|Floor Space,bn m2,10.25289,12.5193,14.78857,17.24551,19.57762,21.80413
MESSAGEix-Buildings,SSP2_LED,R12_NAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.0029,3.07818,3.15003,3.21587,3.2745,3.32768
MESSAGEix-Buildings,SSP2_LED,R12_NAM,Energy Service|Residential|Single-family|Floor Space,bn m2,21.51524,21.68359,21.83022,21.94065,22.01157,22.05802
MESSAGEix-Buildings,SSP2_LED,R12_PAO,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.45812,1.45748,1.45272,1.44492,1.43526,1.42542
MESSAGEix-Buildings,SSP2_LED,R12_PAO,Energy Service|Residential|Single-family|Floor Space,bn m2,4.96512,4.91647,4.85654,4.78924,4.71882,4.65085
MESSAGEix-Buildings,SSP2_LED,R12_PAS,Energy Service|Residential|Slum|Floor Space,bn m2,1.12488,1.12942,1.09156,1.0003,0.81765,0.67591
MESSAGEix-Buildings,SSP2_LED,R12_PAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,2.01877,2.3565,2.69563,3.01921,3.32888,3.59243
MESSAGEix-Buildings,SSP2_LED,R12_PAS,Energy Service|Residential|Single-family|Floor Space,bn m2,11.58769,13.3821,15.14017,16.77717,18.30369,19.56933
MESSAGEix-Buildings,SSP2_LED,R12_RCPA,Energy Service|Residential|Slum|Floor Space,bn m2,0.38912,0.3739,0.34575,0.31713,0.28908,0.25369
MESSAGEix-Buildings,SSP2_LED,R12_RCPA,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.17358,3.5619,3.89916,4.1899,4.43525,4.64081
MESSAGEix-Buildings,SSP2_LED,R12_RCPA,Energy Service|Residential|Single-family|Floor Space,bn m2,1.69197,1.81166,1.88691,1.92573,1.93557,1.92465
MESSAGEix-Buildings,SSP2_LED,R12_SAS,Energy Service|Residential|Slum|Floor Space,bn m2,2.7436,3.04106,3.2155,3.22685,2.98772,2.70607
MESSAGEix-Buildings,SSP2_LED,R12_SAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.97098,5.11622,6.39809,7.76821,9.2265,10.63781
MESSAGEix-Buildings,SSP2_LED,R12_SAS,Energy Service|Residential|Single-family|Floor Space,bn m2,32.17847,38.68382,45.03076,50.99853,56.56297,61.37748
MESSAGEix-Buildings,SSP2_LED,R12_WEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,6.38367,6.57335,6.74728,6.90997,7.06148,7.19989
