Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,SSP5,R12_AFR,Energy Service|Residential|Floor Space,bn m2,18.56293,23.31711,28.19343,32.62066,37.40899,42.76461
MESSAGEix-Buildings,SSP5,R12_CHN,Energy Service|Residential|Floor Space,bn m2,61.25788,63.25498,64.16343,64.23566,63.49675,61.9778
MESSAGEix-Buildings,SSP5,R12_EEU,Energy Service|Residential|Floor Space,bn m2,3.41581,3.45239,3.47147,3.47582,3.47147,3.4589
MESSAGEix-Buildings,SSP5,R12_FSU,Energy Service|Residential|Floor Space,bn m2,7.06451,7.62146,8.12557,8.57994,8.99498,9.35395
MESSAGEix-Buildings,SSP5,R12_LAM,Energy Service|Residential|Floor Space,bn m2,13.626,15.14204,16.57155,17.84571,18.97846,19.89722
MESSAGEix-Buildings,SSP5,R12_MEA,Energy Service|Residential|Floor Space,bn m2,11.24447,12.90596,14.50424,16.26646,17.92646,19.4671
MESSAGEix-Buildings,SSP5,R12_NAM,Energy Service|Residential|Floor Space,bn m2,24.70782,25.20018,25.65791,26.04291,26.38645,26.68382
MESSAGEix-Buildings,SSP5,R12_PAO,Energy Service|Residential|Floor Space,bn m2,6.72915,6.83431,6.90517,6.94281,6.96068,6.96421
MESSAGEix-Buildings,SSP5,R12_PAS,Energy Service|Residential|Floor Space,bn m2,13.2952,14.7003,16.07884,17.34194,18.48674,19.46142
MESSAGEix-Buildings,SSP5,R12_RCPA,Energy Service|Residential|Floor Space,bn m2,5.09283,5.54853,5.9438,6.29439,6.59692,6.83104
MESSAGEix-Buildings,SSP5,R12_SAS,Energy Service|Residential|Floor Space,bn m2,33.70038,38.81818,43.86416,48.65431,53.26984,57.33343
MESSAGEix-Buildings,SSP5,R12_WEU,Energy Service|Residential|Floor Space,bn m2,21.0921,21.39406,21.67534,21.9289,22.17377,22.38394
MESSAGEix-Buildings,SSP5,R12_AFR,Energy Service|Residential|Slum|Floor Space,bn m2,2.90354,2.81177,2.84592,2.72789,2.48124,2.22099
MESSAGEix-Buildings,SSP5,R12_AFR,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.93581,1.36777,1.82568,2.2806,2.81196,3.42831
MESSAGEix-Buildings,SSP5,R12_AFR,Energy Service|Residential|Single-family|Floor Space,bn m2,14.72358,19.13758,23.52182,27.61217,32.1158,37.1153
MESSAGEix-Buildings,SSP5,R12_CHN,Energy Service|Residential|Slum|Floor Space,bn m2,2.77301,1.52625,0.81795,0.34078,0.08574,0.05302
MESSAGEix-Buildings,SSP5,R12_CHN,Energy Service|Residential|Multi-family|Floor Space,bn m2,44.22209,48.13517,50.51206,51.83485,52.138420000000004,51.46214
MESSAGEix-Buildings,SSP5,R12_CHN,Energy Service|Residential|Single-family|Floor Space,bn m2,14.26279,13.59356,12.83342,12.06003,11.27258,10.46264
MESSAGEix-Buildings,SSP5,R12_EEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.49771,1.59304,1.66897,1.72737,1.77222,1.80493
MESSAGEix-Buildings,SSP5,R12_EEU,Energy Service|Residential|Single-family|Floor Space,bn m2,1.91809,1.85935,1.8025,1.74845,1.69924,1.65396
MESSAGEix-Buildings,SSP5,R12_FSU,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.62442,4.07131,4.48739,4.87086,5.22538,5.53997
MESSAGEix-Buildings,SSP5,R12_FSU,Energy Service|Residential|Single-family|Floor Space,bn m2,3.44009,3.55015,3.63818,3.70908,3.7696,3.81398
MESSAGEix-Buildings,SSP5,R12_LAM,Energy Service|Residential|Slum|Floor Space,bn m2,1.51585,1.50239,1.42217,1.2656,1.05433,0.829
MESSAGEix-Buildings,SSP5,R12_LAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.71724,0.83429,0.95145,1.06403,1.1708,1.26338
MESSAGEix-Buildings,SSP5,R12_LAM,Energy Service|Residential|Single-family|Floor Space,bn m2,11.39291,12.80536,14.19793,15.51608,16.75333,17.80485
MESSAGEix-Buildings,SSP5,R12_MEA,Energy Service|Residential|Slum|Floor Space,bn m2,1.2542,1.22268,1.1799,1.12183,1.05853,0.96802
MESSAGEix-Buildings,SSP5,R12_MEA,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.98061,1.18061,1.37943,1.60346,1.81873,2.0252
MESSAGEix-Buildings,SSP5,R12_MEA,Energy Service|Residential|Single-family|Floor Space,bn m2,9.00966,10.50267,11.9449,13.54116,15.04921,16.47388
MESSAGEix-Buildings,SSP5,R12_NAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.2201,3.35979,3.47612,3.57057,3.65104,3.71919
MESSAGEix-Buildings,SSP5,R12_NAM,Energy Service|Residential|Single-family|Floor Space,bn m2,21.48772,21.84038,22.1818,22.47234,22.73541,22.96463
MESSAGEix-Buildings,SSP5,R12_PAO,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.52792,1.56318,1.59041,1.6097,1.62395,1.63435
MESSAGEix-Buildings,SSP5,R12_PAO,Energy Service|Residential|Single-family|Floor Space,bn m2,5.20123,5.27114,5.31475,5.33312,5.33672,5.32986
MESSAGEix-Buildings,SSP5,R12_PAS,Energy Service|Residential|Slum|Floor Space,bn m2,1.01543,0.99592,0.95352,0.86692,0.75465,0.61333
MESSAGEix-Buildings,SSP5,R12_PAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.87357,2.13141,2.39285,2.6449,2.8821,3.09518
MESSAGEix-Buildings,SSP5,R12_PAS,Energy Service|Residential|Single-family|Floor Space,bn m2,10.4062,11.57297,12.73247,13.83013,14.85,15.75292
MESSAGEix-Buildings,SSP5,R12_RCPA,Energy Service|Residential|Slum|Floor Space,bn m2,0.3912,0.38314,0.36304,0.34595,0.32688,0.29535
MESSAGEix-Buildings,SSP5,R12_RCPA,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.1797,3.60984,4.02319,4.4121,4.76996,5.08275
MESSAGEix-Buildings,SSP5,R12_RCPA,Energy Service|Residential|Single-family|Floor Space,bn m2,1.52193,1.55555,1.55757,1.53634,1.50009,1.45294
MESSAGEix-Buildings,SSP5,R12_SAS,Energy Service|Residential|Slum|Floor Space,bn m2,2.38237,2.56555,2.66965,2.67055,2.48227,2.27048
MESSAGEix-Buildings,SSP5,R12_SAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.88762,5.02878,6.33155,7.73301,9.23771,10.6762
MESSAGEix-Buildings,SSP5,R12_SAS,Energy Service|Residential|Single-family|Floor Space,bn m2,27.43038,31.22385,34.86296,38.25075,41.54987,44.38674
MESSAGEix-Buildings,SSP5,R12_WEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,6.7478,7.09261,7.39073,7.6465,7.87204,8.06274
MESSAGEix-Buildings,SSP5,R12_WEU,Energy Service|Residential|Single-family|Floor Space,bn m2,14.3443,14.30146,14.28462,14.28239,14.30173,14.3212
MESSAGEix-Buildings,SSP5,R12_AFR,Energy Service|Residential|Renovation rate,%/yr,0.018000000000000002,0.013999999999999999,0.03,0.025,0.019,0.016
MESSAGEix-Buildings,SSP5,R12_CHN,Energy Service|Residential|Renovation rate,%/yr,0.232,0.16,0.105,0.055,0.031,0.029
MESSAGEix-Buildings,SSP5,R12_EEU,Energy Service|Residential|Renovation rate,%/yr,0.728,0.7799999999999999,0.5479999999999999,0.453,0.334,0.22799999999999998
MESSAGEix-Buildings,SSP5,R12_FSU,Energy Service|Residential|Renovation rate,%/yr,0.473,0.46299999999999997,0.27399999999999997,0.145,0.047,0
MESSAGEix-Buildings,SSP5,R12_LAM,Energy Service|Residential|Renovation rate,%/yr,0.108,0.093,0.08,0.06999999999999999,0.06,0.061
MESSAGEix-Buildings,SSP5,R12_MEA,Energy Service|Residential|Renovation rate,%/yr,0.15,0.157,0.11800000000000001,0.145,0.11900000000000001,0.1
MESSAGEix-Buildings,SSP5,R12_NAM,Energy Service|Residential|Renovation rate,%/yr,1.202,1.518,1.242,0.9159999999999999,0.6890000000000001,0.507
MESSAGEix-Buildings,SSP5,R12_PAO,Energy Service|Residential|Renovation rate,%/yr,0.613,0.831,0.715,0.641,0.526,0.48900000000000005
MESSAGEix-Buildings,SSP5,R12_PAS,Energy Service|Residential|Renovation rate,%/yr,0.055999999999999994,0.043,0.033,0.031,0.019,0.016
MESSAGEix-Buildings,SSP5,R12_RCPA,Energy Service|Residential|Renovation rate,%/yr,0.009000000000000001,0.006999999999999999,0.006,0.005,0.002,0.003
MESSAGEix-Buildings,SSP5,R12_SAS,Energy Service|Residential|Renovation rate,%/yr,0.022000000000000002,0.019,0.015,0.013999999999999999,0.011000000000000001,0.006999999999999999
MESSAGEix-Buildings,SSP5,R12_WEU,Energy Service|Residential|Renovation rate,%/yr,0.959,1.0659999999999998,0.815,0.642,0.5329999999999999,0.35400000000000004
MESSAGEix-Buildings,SSP5,R12_AFR,Final Energy|Residential|Cooling,EJ/yr,0.01276,0.03591,0.06972,0.1175,0.18125,0.26264
MESSAGEix-Buildings,SSP5,R12_AFR,Final Energy|Residential|Electricity,EJ/yr,0.21295,0.24881,0.29116,0.34124,0.40749,0.49773
MESSAGEix-Buildings,SSP5,R12_AFR,Final Energy|Residential|Gases,EJ/yr,0.04798,0.09691,0.15167,0.21623,0.2892,0.36987
