R12,urt,arch,mat,eneff,fuel_heat,fuel_cool,scenario,ssp,year,stock_M,floor_Mm2,heat_TJ,cool_TJ,cool_ac_TJ,cool_fans_TJ,hotwater_TJ,other_uses_TJ
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2020,0.07694823865401322,5.0966630731231275,55.31565415830847,0.8064491766326671,0.46231100380523593,0.34413817282743114,2262.288089622672,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2025,0.07319979907800066,5.608920341865201,59.64106211580227,1.16498354687627,0.6972713587617464,0.4677121881145236,2155.3652418311585,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2030,0.0700399787653796,6.080925897581446,63.88280379486404,1.5233136939846865,0.9253629335699796,0.597950760414707,2064.935115272471,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2035,0.06731896429576743,6.505450929781976,67.53117561342029,1.859440656425781,1.123477287880023,0.7359633685457581,1987.4410830176046,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2040,0.06414066536344872,6.7992293958929295,68.5686985354512,2.219208738094306,1.3170395906517551,0.9021691474425511,1895.2493819432016,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2045,0.06137357178098625,7.045080834194658,68.81822072243335,2.5269879955713828,1.427904685381537,1.0990833101898458,1815.5082382748424,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2050,0.058450606400821385,7.1865600551120945,67.26038650588752,3.048004699234028,1.6618465212432891,1.386158177990739,1730.9654312875218,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2055,0.05593846728905891,7.297377403688635,65.30287637548933,3.802448636490595,2.016807123324464,1.7856415131661312,1658.3884638030054,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2060,0.05376949271922971,7.381648564655155,63.048582563625445,4.966400466783582,2.6500537666626474,2.3163467001209335,1595.8419422225422,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2070,0.049894737604543174,7.437735559885745,57.4362114239911,8.638544688200566,4.875895986622398,3.7626487015781684,1485.5445161856105,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2080,0.04641323862489535,7.3569684837806175,50.897676819571146,12.48935991127118,7.129290463716858,5.360069447554323,1386.5828007097518,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2090,0.04362283632938277,7.238691749363077,44.68734352982273,16.495198263305237,9.362994124227853,7.132204139077387,1307.7823336548142,0
AFR,rur,mfh,perm,s1,biomass_solid,electricity,SSP2,SSP2,2100,0.041237296425879366,7.080706313771082,38.48994258076484,20.40975602743088,11.594006762435258,8.815749264995624,1240.5870204535167,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2020,0.04300720587681613,2.864226034788122,16.932996329812408,0.4565470526346321,0.2615353495084052,0.19501170312622693,504.81716964305417,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2025,0.04107955358136581,3.1676206195811822,18.60252431292692,0.6678993624022499,0.399920401729345,0.2679789606729049,482.3605655186572,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2030,0.03943351929847277,3.443309981147227,20.146054144354693,0.8824463969293085,0.5371006551105322,0.3453457418187764,463.1871858829583,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2035,0.03804064994434527,3.693943416027245,21.558437049707145,1.087379535980058,0.6592583809537772,0.42812115502628084,446.96684496411916,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2040,0.03687219797751589,3.9219296590693173,22.838493910751374,1.307485114664513,0.7803571286513347,0.5271279860131783,433.3700100673864,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2045,0.0359003032671657,4.129460904536994,23.988606725421157,1.4949458587097568,0.8518270138590577,0.6431188448506991,422.08491165143136,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2050,0.0350987263972821,4.318383011968729,25.01337868834002,1.819552870911994,1.005533369490468,0.814019501421526,412.8088348552436,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2055,0.03444326452859166,4.490100982457646,25.918664798145933,2.268782225776934,1.2224821616427208,1.046300064134213,405.24203170969685,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2060,0.03390247285836709,4.644607430786997,26.693931384380825,2.9483477577634027,1.5958995939337701,1.3524481638296322,399.0368453953753,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2070,0.03194065594050482,4.739740070400328,25.42160545334618,5.07995060119986,2.8975674543412753,2.1823831468585846,376.8461195971531,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2080,0.030170428939969293,4.752857053595247,23.586470291307947,7.344547876053492,4.2307550168032275,3.113792859250264,357.10965418820416,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2090,0.02870370095009617,4.728757418862055,21.689121829368215,9.715137536215334,5.562070924363097,4.153066611852236,340.94558731117826,0
AFR,rur,mfh,perm,s1,coal,electricity,SSP2,SSP2,2100,0.02711787398924497,4.620564549316655,19.05733604696806,12.045448817207202,6.8982632026706865,5.1471856145365145,323.3295963967404,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2020,0.026628080613802084,1.799007894904602,8.394958963456519,0.2927961337139831,0.16747139934624408,0.12532473436773903,160.31175547127472,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2025,0.025770649689797975,2.022424019055214,9.716056855035022,0.4459295553115972,0.26738461378785494,0.17854494152374234,154.63460923142236,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2030,0.025490391347657015,2.2621229290279876,11.304440540934964,0.610676031999373,0.37363451335450715,0.2370415186448659,152.59510173313086,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2035,0.025250389820007917,2.483917932657471,12.796309235583516,0.77423788889835,0.4738308671074427,0.3004070217909073,150.88660167958614,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2040,0.025954630694276795,2.783722581272688,15.11909473348076,0.9510589335834538,0.5763674094428339,0.37469152414061996,155.1489932395202,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2045,0.026702699624632804,3.085649594596256,17.472092799957974,1.1034444188144144,0.6443633256012123,0.4590810932132019,159.67140352193115,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2050,0.027577079326707242,3.398336180337894,19.83605563120755,1.3736484365499835,0.7881027465575893,0.5855456899923944,164.9209329657829,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2055,0.028402669096718514,3.698877442538832,22.088788907004457,1.7177878646636056,0.9681563586270623,0.7496315060365432,169.85391229029625,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2060,0.02908297811489649,3.9713237036844236,24.05799039260613,2.2187614140665275,1.2561992869270497,0.9625621271394778,173.95540059168786,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2070,0.031892480341308836,4.694251890504759,29.79226877797304,3.854780167240277,2.27804408240168,1.5767360848385972,190.6480766602173,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2080,0.03456574253394144,5.382011671764723,34.56022123651419,5.660576532566045,3.3551184804175302,2.305458052148515,207.03875884572597,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2090,0.03660911274256357,5.946269268822224,38.26066560675015,7.570868788610112,4.441987073444749,3.1288817151653627,219.92127513373853,0
AFR,rur,mfh,perm,s1,electricity,electricity,SSP2,SSP2,2100,0.03789643021764372,6.355528473432955,40.56202288497157,9.499777892669389,5.5507915521338145,3.948986340535575,228.46167486113995,0
AFR,rur,mfh,perm,s1,gas,electricity,SSP2,SSP2,2020,1.7139158197320196e-5,0.0011362570739535977,0.006578971273357914,1.8094048568696546e-4,1.0381668639830192e-4,7.712379928866354e-5,0.1343292655248181,0
