Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_2C,AFR,Product Stock|Residential|Informal Houses,m2,1036581583,946797765,906534159,981456548,1021271044,1003231724,987159597,966905377,953723334,903528547,915739622,754394126,548944374
MESSAGEix-buildings,SSP2_2C,AFR,Product Stock|Residential|Multi-Family Houses,m2,389647770,519453111,692943757,883067724,1090579240,1323380721,1560042693,1799228983,2025507752,2410899083,2699132256,2904105583,3076852924
MESSAGEix-buildings,SSP2_2C,AFR,Product Stock|Residential|Single Family Houses,m2,6979398904,8882919205,11190964712,13653968847,16260469739,19056163874,21833208443,24562979130,27098767442,31015818844,33416627346,34175677906,34830731933
MESSAGEix-buildings,SSP2_2C,CHN,Product Stock|Residential|Informal Houses,m2,3635333178,3775001709,3884326429,3976760140,4058027743,4128546678,4187629944,4234676481,4269345028,0,0,0,0
MESSAGEix-buildings,SSP2_2C,CHN,Product Stock|Residential|Multi-Family Houses,m2,38281518114,42920298967,47848948665,52824720713,57040408707,60276896978,58804612179,58613103938,57854729146,55163805749,54401065094,52358401513,50673787435
MESSAGEix-buildings,SSP2_2C,CHN,Product Stock|Residential|Single Family Houses,m2,14550272766,15356790730,16267665973,17368808225,18417097836,19258304473,19453900188,19635152995,19630989222,19033484152,18521752122,17914414983,17379545220
MESSAGEix-buildings,SSP2_2C,EEU,Product Stock|Residential|Multi-Family Houses,m2,1401631289,1509460094,1612323596,1707041568,1792654512,1870689082,1939275278,1995254939,2037066610,2054485700,2030497809,1990044808,1935587114
MESSAGEix-buildings,SSP2_2C,EEU,Product Stock|Residential|Single Family Houses,m2,2062442918,2122733592,2174890042,2216430868,2249264350,2274953450,2291343388,2298218392,2294476715,2236490649,2147378748,2055879050,1966182800
MESSAGEix-buildings,SSP2_2C,FSU,Product Stock|Residential|Multi-Family Houses,m2,3847073557,4445674105,5023237596,5621150723,6231974840,6839828351,7425684653,7968874688,8470105554,9173414869,9674993988,9861300997,9785966960
MESSAGEix-buildings,SSP2_2C,FSU,Product Stock|Residential|Single Family Houses,m2,3803107159,4220254286,4526861376,4846216311,5190806153,5512073142,5819613954,6108949543,6379879545,6742870946,7005545577,7127888437,7119666707
MESSAGEix-buildings,SSP2_2C,LAM,Product Stock|Residential|Informal Houses,m2,814588189,895765510,964451875,1018581880,1082909148,1141460771,1193203400,1248424154,1269702447,1190105931,1015918077,718942701,14888468
MESSAGEix-buildings,SSP2_2C,LAM,Product Stock|Residential|Multi-Family Houses,m2,383674676,453110900,525647943,598893311,671874345,740846819,805404809,860844994,913254304,974532043,1009170702,1033437485,1063121170
MESSAGEix-buildings,SSP2_2C,LAM,Product Stock|Residential|Single Family Houses,m2,6477045693,7456597199,8476042418,9495112892,10508712628,11462180771,12348905667,13091321083,13799724700,14558098780,15054449868,15136546542,15100634174
MESSAGEix-buildings,SSP2_2C,MEA,Product Stock|Residential|Informal Houses,m2,795537219,879148549,905396485,965086897,1076205607,1122957914,1164417444,1188947351,1205117869,1189210491,1108842954,765781642,610083692
MESSAGEix-buildings,SSP2_2C,MEA,Product Stock|Residential|Multi-Family Houses,m2,516501760,644927441,787222384,936209263,1073724108,1221523151,1373182810,1508551214,1630020739,1807668564,1943621007,2039333574,2087776922
MESSAGEix-buildings,SSP2_2C,MEA,Product Stock|Residential|Single Family Houses,m2,5051674630,6162339284,7369667019,8626786717,9787256827,11006782723,12240191000,13332285595,14298109318,15622259720,16600200298,17175956578,17434634635
