Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Final Energy|Residential|Cooling,EJ/yr,0.12653,0.22693,0.30905,0.40037,0.52634,0.70432,0.91023
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Final Energy|Residential|Electricity,EJ/yr,0.2098,0.34296,0.45824,0.58607,0.75254,0.97447,1.22765
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Final Energy|Residential|Heating|Space,EJ/yr,0.34527,0.392,0.42963,0.45984,0.48227,0.49754,0.50685
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Final Energy|Residential|Heating|Water,EJ/yr,0.54451,0.57662,0.61515,0.66002,0.71335,0.77471,0.84481
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Final Energy|Residential|Solids|Biomass,EJ/yr,0.80651,0.85259,0.8956,0.93416,0.96942,1.0021,1.03424
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Cooling,EJ/yr,0.03406,0.03862,0.0436,0.04813,0.05187,0.05352,0.05511
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Electricity,EJ/yr,1.47906,1.6687100000000001,1.84253,1.97281,2.06944,2.1521399999999997,2.19775
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Gases,EJ/yr,5.18331,4.63783,4.01865,3.49835,3.05586,2.66332,2.3597
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Heat,EJ/yr,0.81489,0.82279,0.82866,0.83278,0.83557,0.83722,0.83776
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Heating|Space,EJ/yr,8.44948,7.66414,6.7641,5.9823,5.31093,4.70171,4.19456
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Heating|Water,EJ/yr,2.69741,2.68382,2.66148,2.64172,2.62376,2.60474,2.58604
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Liquids,EJ/yr,2.2096,1.94655,1.64526,1.38884,1.16649,0.9784,0.81315
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.92999,0.80777,0.69774,0.60499,0.53626,0.4428,0.38017
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.56411,0.50293,0.43635,0.37437,0.32296,0.2861,0.24718
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.79,0.975,1.514,1.38,2.013,1.97,2.044
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.225,0.285,0.353,0.43,0.513,0.599,0.695
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,39.516,49.419,81.536,72.283,110.968,108.208,113.039
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.392,0.482,0.738,0.677,0.975,0.955,0.989
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.114,0.145,0.179,0.217,0.259,0.301,0.348
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Materials Demand|Iron and Steel|Residential,Mt/yr,8.558,10.762,18.206,15.961,25.003,24.347,25.5
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Total Scrap|Iron and Steel|Residential,Mt/yr,2.121,2.702,3.368,4.167,5.055,5.988,7.076
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,2.206,2.264,2.286,2.209,2.081,1.917,1.723
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,2.084,2.152,2.169,2.118,2.032,1.928,1.818
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,154.906,158.952,160.506,155.168,146.171,134.654,121.013
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.279,0.286,0.289,0.279,0.263,0.242,0.217
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.433,0.429,0.411,0.38,0.342,0.305,0.272
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Materials Demand|Iron and Steel|Residential,Mt/yr,119.081,122.254,123.52,119.477,112.599,103.754,93.248
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Total Scrap|Iron and Steel|Residential,Mt/yr,78.489,84.558,89.39,91.526,92.05,91.239,89.241
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.082,0.081,0.078,0.074,0.071,0.069,0.067
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.076,0.082,0.087,0.09,0.093,0.096,0.097
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,6.053,6,5.784,5.462,5.256,5.144,5.016
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.019,0.019,0.018,0.017,0.017,0.017,0.016
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.023,0.025,0.027,0.028,0.029,0.03,0.03
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Materials Demand|Iron and Steel|Residential,Mt/yr,2.798,2.74,2.611,2.443,2.333,2.273,2.213
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Total Scrap|Iron and Steel|Residential,Mt/yr,2.126,2.234,2.318,2.39,2.456,2.518,2.574
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.158,0.16,0.159,0.163,0.17,0.171,0.167
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.167,0.177,0.186,0.192,0.197,0.201,0.202
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,9.865,10.017,10.074,10.34,10.844,10.979,10.815
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.038,0.037,0.037,0.037,0.038,0.037,0.036
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.053,0.056,0.058,0.059,0.06,0.06,0.06
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Materials Demand|Iron and Steel|Residential,Mt/yr,5.626,5.736,5.8,5.98,6.292,6.401,6.351
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Total Scrap|Iron and Steel|Residential,Mt/yr,4.569,4.877,5.159,5.415,5.644,5.841,5.996
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.44,0.468,0.534,0.575,0.616,0.648,0.67
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.216,0.254,0.293,0.33,0.364,0.396,0.423
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,22.982,24.513,28.125,30.416,32.603,34.325,35.552
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.199,0.211,0.24,0.259,0.277,0.291,0.301
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.1,0.117,0.135,0.151,0.167,0.181,0.193
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Materials Demand|Iron and Steel|Residential,Mt/yr,6.858,7.312,8.385,9.066,9.716,10.229,10.594
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Total Scrap|Iron and Steel|Residential,Mt/yr,3.012,3.58,4.167,4.741,5.288,5.795,6.249
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.261,0.275,0.312,0.328,0.375,0.383,0.4
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.082,0.099,0.116,0.135,0.153,0.172,0.19
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,40.382,42.74,48.643,51.317,58.925,60.299,63.137
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.228,0.24,0.27,0.283,0.322,0.327,0.34
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.076,0.091,0.107,0.123,0.139,0.155,0.171
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Materials Demand|Iron and Steel|Residential,Mt/yr,16.164,17.096,19.434,20.49,23.503,24.037,25.147
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Total Scrap|Iron and Steel|Residential,Mt/yr,4.951,5.931,7.012,8.153,9.324,10.464,11.637
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,1.106,1.161,1.185,1.196,1.204,1.207,1.222
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.303,0.375,0.448,0.519,0.587,0.649,0.704
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,32.934,34.571,35.278,35.603,35.842,35.927,36.394
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.279,0.293,0.299,0.302,0.304,0.305,0.309
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.078,0.097,0.116,0.134,0.152,0.168,0.182
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Materials Demand|Iron and Steel|Residential,Mt/yr,8.884,9.325,9.516,9.604,9.668,9.691,9.817
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Total Scrap|Iron and Steel|Residential,Mt/yr,2.283,2.819,3.367,3.905,4.413,4.882,5.306
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.126,0.074,0.071,0.069,0.068,0.067,0.066
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.054,0.058,0.062,0.065,0.068,0.07,0.071
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,8.311,5.947,5.704,5.534,5.452,5.369,5.279
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.076,0.037,0.036,0.035,0.034,0.033,0.033
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.032,0.035,0.037,0.038,0.039,0.04,0.04
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Materials Demand|Iron and Steel|Residential,Mt/yr,4.325,3.262,3.13,3.038,2.993,2.948,2.899
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Total Scrap|Iron and Steel|Residential,Mt/yr,1.886,2.042,2.211,2.359,2.487,2.591,2.671
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.628,0.568,0.616,0.652,0.672,0.679,0.689
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.355,0.402,0.449,0.486,0.515,0.536,0.548
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,39.293,35.383,39.26,42.528,44.841,46.203,47.254
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.24,0.218,0.235,0.247,0.253,0.255,0.258
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.141,0.159,0.177,0.191,0.202,0.209,0.213
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Materials Demand|Iron and Steel|Residential,Mt/yr,10.363,9.322,10.319,11.152,11.738,12.069,12.335
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Total Scrap|Iron and Steel|Residential,Mt/yr,4.977,5.721,6.489,7.162,7.728,8.19,8.553
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.205,0.208,0.208,0.206,0.2,0.186,0.175
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.157,0.178,0.194,0.204,0.208,0.206,0.2
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,12.87,13.183,13.413,13.561,13.412,12.778,12.3
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.042,0.041,0.039,0.036,0.032,0.026,0.022
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.036,0.041,0.044,0.045,0.045,0.043,0.041
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Materials Demand|Iron and Steel|Residential,Mt/yr,7.853,8.287,8.761,9.216,9.501,9.485,9.454
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Total Scrap|Iron and Steel|Residential,Mt/yr,5.184,5.981,6.656,7.152,7.466,7.632,7.682
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,1.345,1.49,1.638,1.83,2.017,2.178,2.262
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.618,0.748,0.881,1.011,1.135,1.251,1.356
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,69.605,78.825,89.008,102.103,115.401,127.515,135.594
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.592,0.647,0.701,0.771,0.835,0.888,0.908
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.288,0.348,0.408,0.466,0.521,0.571,0.615
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Materials Demand|Iron and Steel|Residential,Mt/yr,20.833,23.993,27.619,32.259,37.077,41.574,44.842
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Total Scrap|Iron and Steel|Residential,Mt/yr,7.741,9.485,11.336,13.226,15.143,17.045,18.919
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.225,0.231,0.233,0.235,0.236,0.236,0.232
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.123,0.137,0.15,0.162,0.172,0.182,0.19
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,33.161,33.872,34.16,34.348,34.503,34.369,33.882
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.195,0.198,0.198,0.198,0.198,0.197,0.193
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.143,0.158,0.173,0.185,0.195,0.204,0.21
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Materials Demand|Iron and Steel|Residential,Mt/yr,14.114,14.464,14.637,14.764,14.873,14.851,14.664
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Total Scrap|Iron and Steel|Residential,Mt/yr,7.149,7.982,8.763,9.483,10.138,10.723,11.229
