Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.40795,1.51498,1.61423,1.70286,1.78181,1.85191,1.91251
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Energy Service|Residential|Single-family|Floor Space,bn m2,2.07034,2.13527,2.18977,2.23147,2.26273,2.28536,2.29918
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.03622,3.37157,3.69671,4.01244,4.32123,4.61302,4.88027
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Energy Service|Residential|Single-family|Floor Space,bn m2,3.39681,3.62344,3.82495,4.00506,4.16867,4.30901,4.42163
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Energy Service|Residential|Slum|Floor Space,bn m2,1.32068,1.37167,1.38619,1.37942,1.33976,1.2509,1.13164
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.6023,0.70411,0.81253,0.92249,1.03223,1.13977,1.24214
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Energy Service|Residential|Single-family|Floor Space,bn m2,10.03615,11.49143,13.00399,14.50585,15.97465,17.38522,18.70034
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Energy Service|Residential|Slum|Floor Space,bn m2,1.05762,1.07079,1.04327,1.02082,0.97878,0.94153,0.87754
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.76549,0.92449,1.10188,1.28351,1.4737,1.66981,1.8544
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Energy Service|Residential|Single-family|Floor Space,bn m2,7.42566,8.81852,10.33201,11.85766,13.42506,15.00997,16.47905
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.01669,3.16165,3.29941,3.42814,3.54817,3.6595,3.76547
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Energy Service|Residential|Single-family|Floor Space,bn m2,21.36073,22.00293,22.59793,23.13686,23.62544,24.0664,24.48353
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.25586,1.32195,1.38094,1.43345,1.48045,1.52201,1.55826
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Energy Service|Residential|Single-family|Floor Space,bn m2,5.5209,5.64499,5.73999,5.81101,5.86341,5.89876,5.91888
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Energy Service|Residential|Slum|Floor Space,bn m2,0.70383,0.7143,0.70921,0.67453,0.6319,0.59991,0.55283
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.54946,1.76137,1.97809,2.19698,2.41104,2.61374,2.80038
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Energy Service|Residential|Single-family|Floor Space,bn m2,9.05949,10.19498,11.33271,12.4578,13.53311,14.52868,15.4233
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Energy Service|Residential|Slum|Floor Space,bn m2,0.21161,0.2145,0.2106,0.20176,0.18999,0.18182,0.17448
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Energy Service|Residential|Multi-family|Floor Space,bn m2,2.23016,2.56317,2.88965,3.20472,3.50301,3.77572,4.01011
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Energy Service|Residential|Single-family|Floor Space,bn m2,1.33089,1.47523,1.59783,1.6965,1.77018,1.8178,1.83743
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Energy Service|Residential|Slum|Floor Space,bn m2,1.63263,1.81775,1.96126,2.06043,2.10304,2.08695,2.05073
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,2.68649,3.40282,4.19744,5.1114,6.12648,7.23098,8.39397
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Energy Service|Residential|Single-family|Floor Space,bn m2,23.60632,28.1235,32.64457,37.24212,41.80591,46.26808,50.49604
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,6.14912,6.45586,6.74896,7.02703,7.28958,7.53284,7.75205
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Energy Service|Residential|Single-family|Floor Space,bn m2,14.77111,15.06489,15.33579,15.58194,15.80296,15.99145,16.13879
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Energy Service|Residential|Renovation rate,%/yr,0.047,0.015,0.011000000000000001,0.026,0.021,0.018000000000000002,0.016
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Energy Service|Residential|Renovation rate,%/yr,0.17099999999999999,0.22999999999999998,0.186,0.16,0.124,0.08,0.08800000000000001
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Energy Service|Residential|Renovation rate,%/yr,0.868,0.6629999999999999,0.786,0.615,0.542,0.42500000000000004,0.32
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Energy Service|Residential|Renovation rate,%/yr,0.579,0.46699999999999997,0.543,0.39899999999999997,0.28700000000000003,0.17500000000000002,0.11199999999999999
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Energy Service|Residential|Renovation rate,%/yr,0.095,0.093,0.084,0.07200000000000001,0.063,0.055,0.055
