Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MESSAGEix-buildings,EU_implementation,EEU,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,1143478749,1227530761,1304546846,1372351059,1432246525,1485299021,1530904683
MESSAGEix-buildings,EU_implementation,EEU,Product Stock|Buildings|Residential|Single-Family Houses,m^2,1604314325,1652195326,1691126889,1719498260,1739897121,1754189799,1762079342
MESSAGEix-buildings,EU_implementation,WEU,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,4898736938,5131780033,5354441929,5566430085,5767831616,5955527539,6125311488
MESSAGEix-buildings,EU_implementation,WEU,Product Stock|Buildings|Residential|Single-Family Houses,m^2,11509325899,11691306671,11863077440,12024246242,12174768142,12307968285,12415669841
MESSAGEix-buildings,EU_implementation,EEU,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,1.10907,1.12676,1.13816,1.1429,1.14279,1.1392,1.13225
MESSAGEix-buildings,EU_implementation,EEU,Final Energy|Buildings|Residential|Cooling,EJ/yr,9.5e-4,0.00117,0.00135,0.00152,0.00165,0.00177,0.0018600000000000001
MESSAGEix-buildings,EU_implementation,EEU,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,0.29236,0.32518,0.35435,0.37788,0.39486,0.40554,0.41157
MESSAGEix-buildings,EU_implementation,EEU,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-buildings,EU_implementation,WEU,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,6.35809,6.20162,6.04008,5.87735,5.71786,5.56419,5.41649
MESSAGEix-buildings,EU_implementation,WEU,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.02522,0.02767,0.03043,0.03285,0.03482,0.03572,0.03651
MESSAGEix-buildings,EU_implementation,WEU,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,2.11746,2.15197,2.18235,2.20911,2.23248,2.25132,2.26434
MESSAGEix-buildings,EU_implementation,WEU,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0
