country,clim,urt,value
AZE,Zone_4A Mixed Humid,rur,0.618642465757879
AZE,Zone_4B Mixed Dry,urb,0.550677903562625
AZE,Zone_4B Mixed Dry,rur,0.381357534242121
BDI,Zone_2A Hot Humid,urb,1
BDI,Zone_2A Hot Humid,rur,1
BEL,Zone_4A Mixed Humid,urb,1
BEL,Zone_4A Mixed Humid,rur,1
BEN,Zone_0A Extremely hot Humid,urb,1
BEN,Zone_0A Extremely hot Humid,rur,1
BFA,Zone_0A Extremely hot Humid,urb,0.20359249447494
BFA,Zone_0A Extremely hot Humid,rur,0.280088469199704
BFA,Zone_0B Extremely hot Dry,urb,0.79640750552506
BFA,Zone_0B Extremely hot Dry,rur,0.719911530800296
BGD,Zone_0A Extremely hot Humid,urb,0.1183037581342
BGD,Zone_0A Extremely hot Humid,rur,0.0990853179616447
BGD,Zone_1A Very hot Humid,urb,0.871212993346421
BGD,Zone_1A Very hot Humid,rur,0.869377445121378
BGD,Zone_2A Hot Humid,urb,0.0104832485193785
BGD,Zone_2A Hot Humid,rur,0.0315372369169771
BGR,Zone_4A Mixed Humid,urb,0.713795844498093
BGR,Zone_4A Mixed Humid,rur,0.671389832591171
BGR,Zone_5A Cool Humid,urb,0.286204155501907
BGR,Zone_5A Cool Humid,rur,0.328610167408829
BHR,Zone_0B Extremely hot Dry,urb,1
BHR,Zone_0B Extremely hot Dry,rur,1
BIH,Zone_5A Cool Humid,urb,1
BIH,Zone_5A Cool Humid,rur,1
BLR,Zone_5A Cool Humid,urb,0.231204495898613
BLR,Zone_5A Cool Humid,rur,0.348097172066579
BLR,Zone_6A Cold Humid,urb,0.768795504101387
BLR,Zone_6A Cold Humid,rur,0.651902827933421
BLZ,Zone_1A Very hot Humid,urb,1
BLZ,Zone_1A Very hot Humid,rur,1
BOL,Zone_1A Very hot Humid,urb,1
BOL,Zone_1A Very hot Humid,rur,1
BRA,Zone_0A Extremely hot Humid,urb,0.114520258964936
BRA,Zone_0A Extremely hot Humid,rur,0.280910412401979
BRA,Zone_1A Very hot Humid,urb,0.202315529148876
BRA,Zone_1A Very hot Humid,rur,0.347570528987444
BRA,Zone_1B Very hot Dry,urb,0.00800127201142942
BRA,Zone_1B Very hot Dry,rur,0.0526546180276203
BRA,Zone_2A Hot Humid,urb,0.604343441964899
BRA,Zone_2A Hot Humid,rur,0.246836351733744
BRA,Zone_3A Warm Humid,urb,0.0708194979098599
BRA,Zone_3A Warm Humid,rur,0.0720280888492122
BRB,Zone_0A Extremely hot Humid,urb,1
BRB,Zone_0A Extremely hot Humid,rur,1
BRN,Zone_0A Extremely hot Humid,urb,1
BRN,Zone_0A Extremely hot Humid,rur,1
BTN,Zone_4C Mixed Marine,urb,1
BTN,Zone_4C Mixed Marine,rur,1
BWA,Zone_2B Hot Dry,urb,1
BWA,Zone_2B Hot Dry,rur,1
CAF,Zone_1A Very hot Humid,urb,1
CAF,Zone_1A Very hot Humid,rur,1
CAN,Zone_5A Cool Humid,urb,0.346588603484062
CAN,Zone_5A Cool Humid,rur,0.0778529910162951
