region_gea,mat,arch,bld_age,parameter,value
PAS,perm,comm,p1,shape,1.9
PAS,perm,comm,p1,scale,65.92500000000001
CPA,perm,comm,p1,shape,2
CPA,perm,comm,p1,scale,46.545
EEU,perm,comm,p1,shape,2.5
EEU,perm,comm,p1,scale,225
NAM,perm,comm,p1,shape,4.16
NAM,perm,comm,p1,scale,225
WEU,perm,comm,p1,shape,2.95
WEU,perm,comm,p1,scale,225
LAC,perm,comm,p1,shape,1.97
LAC,perm,comm,p1,scale,102.35999999999999
PAO,perm,comm,p1,shape,1.97
PAO,perm,comm,p1,scale,141
FSU,perm,comm,p1,shape,2.5
FSU,perm,comm,p1,scale,80.4
AFR,perm,comm,p1,shape,1.97
AFR,perm,comm,p1,scale,101.01
MEA,perm,comm,p1,shape,1.97
MEA,perm,comm,p1,scale,101.01
SAS,perm,comm,p1,shape,1.97
SAS,perm,comm,p1,scale,101.01
PAS,perm,comm,p2,shape,1.9
PAS,perm,comm,p2,scale,65.92500000000001
CPA,perm,comm,p2,shape,2
CPA,perm,comm,p2,scale,46.545
EEU,perm,comm,p2,shape,2.5
EEU,perm,comm,p2,scale,80.4
NAM,perm,comm,p2,shape,4.16
NAM,perm,comm,p2,scale,127.785
WEU,perm,comm,p2,shape,2.95
WEU,perm,comm,p2,scale,106.22999999999999
LAC,perm,comm,p2,shape,1.97
LAC,perm,comm,p2,scale,102.35999999999999
PAO,perm,comm,p2,shape,1.97
PAO,perm,comm,p2,scale,141
FSU,perm,comm,p2,shape,2.5
FSU,perm,comm,p2,scale,80.4
AFR,perm,comm,p2,shape,1.97
AFR,perm,comm,p2,scale,101.01
MEA,perm,comm,p2,shape,1.97
MEA,perm,comm,p2,scale,101.01
SAS,perm,comm,p2,shape,1.97
SAS,perm,comm,p2,scale,101.01
PAS,perm,comm,p3,shape,1.9
PAS,perm,comm,p3,scale,65.92500000000001
CPA,perm,comm,p3,shape,2
CPA,perm,comm,p3,scale,46.545
EEU,perm,comm,p3,shape,2.5
EEU,perm,comm,p3,scale,80.4
NAM,perm,comm,p3,shape,4.16
NAM,perm,comm,p3,scale,127.785
WEU,perm,comm,p3,shape,2.95
WEU,perm,comm,p3,scale,106.22999999999999
LAC,perm,comm,p3,shape,1.97
LAC,perm,comm,p3,scale,102.35999999999999
PAO,perm,comm,p3,shape,1.97
PAO,perm,comm,p3,scale,141
FSU,perm,comm,p3,shape,2.5
FSU,perm,comm,p3,scale,80.4
AFR,perm,comm,p3,shape,1.97
AFR,perm,comm,p3,scale,101.01
MEA,perm,comm,p3,shape,1.97
MEA,perm,comm,p3,scale,101.01
SAS,perm,comm,p3,shape,1.97
SAS,perm,comm,p3,scale,101.01
PAS,perm,comm,p5,shape,1.9
PAS,perm,comm,p5,scale,83.505
CPA,perm,comm,p5,shape,2
CPA,perm,comm,p5,scale,58.957
EEU,perm,comm,p5,shape,2.5
EEU,perm,comm,p5,scale,101.84
NAM,perm,comm,p5,shape,4.16
NAM,perm,comm,p5,scale,161.861
WEU,perm,comm,p5,shape,2.95
WEU,perm,comm,p5,scale,134.558
LAC,perm,comm,p5,shape,1.97
LAC,perm,comm,p5,scale,129.65599999999998
PAO,perm,comm,p5,shape,1.97
PAO,perm,comm,p5,scale,178.6
FSU,perm,comm,p5,shape,2.5
FSU,perm,comm,p5,scale,101.84
AFR,perm,comm,p5,shape,1.97
AFR,perm,comm,p5,scale,127.946
MEA,perm,comm,p5,shape,1.97
MEA,perm,comm,p5,scale,127.946
SAS,perm,comm,p5,shape,1.97
SAS,perm,comm,p5,scale,127.946
