region_gea,urt,mat,tenr,year,value
AFR,rur,perm,ns,2015,1
AFR,rur,perm,ns,2020,1
AFR,rur,perm,ns,2025,1
AFR,rur,perm,ns,2030,1
AFR,rur,perm,ns,2035,1
AFR,rur,perm,ns,2040,1
AFR,rur,perm,ns,2045,1
AFR,rur,perm,ns,2050,1
AFR,rur,perm,ns,2055,1
AFR,rur,perm,ns,2060,1
AFR,rur,perm,ns,2065,1
AFR,rur,perm,ns,2070,1
AFR,rur,perm,ns,2075,1
AFR,rur,perm,ns,2080,1
AFR,rur,perm,ns,2085,1
AFR,rur,perm,ns,2090,1
AFR,rur,perm,ns,2095,1
AFR,rur,perm,ns,2100,1
AFR,urb,perm,ns,2015,1
AFR,urb,perm,ns,2020,1
AFR,urb,perm,ns,2025,1
AFR,urb,perm,ns,2030,1
AFR,urb,perm,ns,2035,1
AFR,urb,perm,ns,2040,1
AFR,urb,perm,ns,2045,1
AFR,urb,perm,ns,2050,1
AFR,urb,perm,ns,2055,1
AFR,urb,perm,ns,2060,1
AFR,urb,perm,ns,2065,1
AFR,urb,perm,ns,2070,1
AFR,urb,perm,ns,2075,1
AFR,urb,perm,ns,2080,1
AFR,urb,perm,ns,2085,1
AFR,urb,perm,ns,2090,1
AFR,urb,perm,ns,2095,1
AFR,urb,perm,ns,2100,1
CPA,rur,perm,ns,2015,1
CPA,rur,perm,ns,2020,1
CPA,rur,perm,ns,2025,1
CPA,rur,perm,ns,2030,1
CPA,rur,perm,ns,2035,1
CPA,rur,perm,ns,2040,1
CPA,rur,perm,ns,2045,1
CPA,rur,perm,ns,2050,1
CPA,rur,perm,ns,2055,1
CPA,rur,perm,ns,2060,1
CPA,rur,perm,ns,2065,1
CPA,rur,perm,ns,2070,1
CPA,rur,perm,ns,2075,1
CPA,rur,perm,ns,2080,1
CPA,rur,perm,ns,2085,1
CPA,rur,perm,ns,2090,1
CPA,rur,perm,ns,2095,1
CPA,rur,perm,ns,2100,1
CPA,urb,perm,ns,2015,1
CPA,urb,perm,ns,2020,1
CPA,urb,perm,ns,2025,1
CPA,urb,perm,ns,2030,1
CPA,urb,perm,ns,2035,1
CPA,urb,perm,ns,2040,1
CPA,urb,perm,ns,2045,1
CPA,urb,perm,ns,2050,1
CPA,urb,perm,ns,2055,1
CPA,urb,perm,ns,2060,1
CPA,urb,perm,ns,2065,1
CPA,urb,perm,ns,2070,1
CPA,urb,perm,ns,2075,1
CPA,urb,perm,ns,2080,1
CPA,urb,perm,ns,2085,1
CPA,urb,perm,ns,2090,1
CPA,urb,perm,ns,2095,1
CPA,urb,perm,ns,2100,1
EEU,rur,perm,ns,2015,1
EEU,rur,perm,ns,2020,1
EEU,rur,perm,ns,2025,1
EEU,rur,perm,ns,2030,1
EEU,rur,perm,ns,2035,1
EEU,rur,perm,ns,2040,1
EEU,rur,perm,ns,2045,1
EEU,rur,perm,ns,2050,1
EEU,rur,perm,ns,2055,1
EEU,rur,perm,ns,2060,1
EEU,rur,perm,ns,2065,1
EEU,rur,perm,ns,2070,1
EEU,rur,perm,ns,2075,1
EEU,rur,perm,ns,2080,1
EEU,rur,perm,ns,2085,1
EEU,rur,perm,ns,2090,1
EEU,rur,perm,ns,2095,1
EEU,rur,perm,ns,2100,1
