region_bld,clim,urt,arch,eneff,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s1,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s2,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s3,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s51_std,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s52_low,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr11_std,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr12_low,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr21_std,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr22_low,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr31_std,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr32_low,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s1,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s2,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s3,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s51_std,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s52_low,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr11_std,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr12_low,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr21_std,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr22_low,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr31_std,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr32_low,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s1,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s2,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s3,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s51_std,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s52_low,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr11_std,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr12_low,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr21_std,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr22_low,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr31_std,1
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr32_low,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s1,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s2,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s3,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s51_std,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s52_low,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr11_std,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr12_low,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr21_std,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr22_low,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr31_std,1
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr32_low,1
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s1,1
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s2,1
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s3,1
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s51_std,1
