region_bld,year,urt,clim,pop_clim
C-EEU-BGR,2020,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2020,rur,Zone_5A Cool Humid,0.32861016700000006
C-EEU-BGR,2020,urb,Zone_4A Mixed Humid,0.7137958440000001
C-EEU-BGR,2020,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2025,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2025,rur,Zone_5A Cool Humid,0.32861016700000006
C-EEU-BGR,2025,urb,Zone_4A Mixed Humid,0.7137958440000001
C-EEU-BGR,2025,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2030,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2030,rur,Zone_5A Cool Humid,0.32861016700000006
C-EEU-BGR,2030,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2030,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2035,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2035,rur,Zone_5A Cool Humid,0.328610167
C-EEU-BGR,2035,urb,Zone_4A Mixed Humid,0.7137958440000001
C-EEU-BGR,2035,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2040,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2040,rur,Zone_5A Cool Humid,0.328610167
C-EEU-BGR,2040,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2040,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2045,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2045,rur,Zone_5A Cool Humid,0.328610167
C-EEU-BGR,2045,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2045,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2050,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2050,rur,Zone_5A Cool Humid,0.32861016699999995
C-EEU-BGR,2050,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2050,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2055,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2055,rur,Zone_5A Cool Humid,0.328610167
C-EEU-BGR,2055,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2055,urb,Zone_5A Cool Humid,0.28620415600000004
C-EEU-BGR,2060,rur,Zone_4A Mixed Humid,0.6713898329999999
C-EEU-BGR,2060,rur,Zone_5A Cool Humid,0.32861016700000006
C-EEU-BGR,2060,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2060,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2065,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2065,rur,Zone_5A Cool Humid,0.328610167
C-EEU-BGR,2065,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2065,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2070,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2070,rur,Zone_5A Cool Humid,0.32861016699999995
C-EEU-BGR,2070,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2070,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2075,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,2075,rur,Zone_5A Cool Humid,0.328610167
C-EEU-BGR,2075,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,2075,urb,Zone_5A Cool Humid,0.286204156
C-EEU-BGR,2080,rur,Zone_4A Mixed Humid,0.671389833
