region_bld,year,urt,pop_urt
C-EEU-BGR,2020,rur,0.25861000000000006
C-EEU-BGR,2020,urb,0.74139
C-EEU-BGR,2025,rur,0.25694000000000006
C-EEU-BGR,2025,urb,0.7430599999999999
C-EEU-BGR,2030,rur,0.25504999999999983
C-EEU-BGR,2030,urb,0.7449500000000001
C-EEU-BGR,2035,rur,0.25292000000000003
C-EEU-BGR,2035,urb,0.74708
C-EEU-BGR,2040,rur,0.2505299999999999
C-EEU-BGR,2040,urb,0.7494700000000001
C-EEU-BGR,2045,rur,0.24784999999999993
C-EEU-BGR,2045,urb,0.7521500000000001
C-EEU-BGR,2050,rur,0.24483999999999995
C-EEU-BGR,2050,urb,0.75516
C-EEU-BGR,2055,rur,0.2414700000000001
C-EEU-BGR,2055,urb,0.75853
C-EEU-BGR,2060,rur,0.23770999999999995
C-EEU-BGR,2060,urb,0.7622899999999999
C-EEU-BGR,2065,rur,0.2335299999999999
C-EEU-BGR,2065,urb,0.7664700000000001
C-EEU-BGR,2070,rur,0.22888999999999993
C-EEU-BGR,2070,urb,0.7711100000000001
C-EEU-BGR,2075,rur,0.22375
C-EEU-BGR,2075,urb,0.77625
C-EEU-BGR,2080,rur,0.21809
C-EEU-BGR,2080,urb,0.7819099999999999
C-EEU-BGR,2085,rur,0.21187999999999996
C-EEU-BGR,2085,urb,0.7881200000000002
C-EEU-BGR,2090,rur,0.20510000000000006
C-EEU-BGR,2090,urb,0.7948999999999999
C-EEU-BGR,2095,rur,0.19774000000000003
C-EEU-BGR,2095,urb,0.80226
C-EEU-BGR,2100,rur,0.18979000000000004
C-EEU-BGR,2100,urb,0.81021
C-EEU-CZE,2020,rur,0.26473
C-EEU-CZE,2020,urb,0.73527
C-EEU-CZE,2025,rur,0.26414000000000004
C-EEU-CZE,2025,urb,0.73586
C-EEU-CZE,2030,rur,0.26344999999999996
C-EEU-CZE,2030,urb,0.73655
C-EEU-CZE,2035,rur,0.26264
C-EEU-CZE,2035,urb,0.73736
C-EEU-CZE,2040,rur,0.26169
C-EEU-CZE,2040,urb,0.73831
