region_bld,urt,clim,value
C-EEU-BGR,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,rur,Zone_5A Cool Humid,0.32861016700000006
C-EEU-BGR,urb,Zone_4A Mixed Humid,0.7137958440000001
C-EEU-BGR,urb,Zone_5A Cool Humid,0.286204156
C-EEU-CZE,rur,Zone_5A Cool Humid,1
C-EEU-CZE,urb,Zone_5A Cool Humid,1
C-EEU-EST,rur,Zone_6A Cold Humid,1
C-EEU-EST,urb,Zone_6A Cold Humid,1
C-EEU-HRV,rur,Zone_3A Warm Humid,0.143387272
C-EEU-HRV,rur,Zone_4A Mixed Humid,0.43640529600000005
C-EEU-HRV,rur,Zone_5A Cool Humid,0.420207432
C-EEU-HRV,urb,Zone_3A Warm Humid,0.130260071
C-EEU-HRV,urb,Zone_4A Mixed Humid,0.346308354
C-EEU-HRV,urb,Zone_5A Cool Humid,0.523431575
C-EEU-HUN,rur,Zone_4A Mixed Humid,0.5150331639999999
C-EEU-HUN,rur,Zone_5A Cool Humid,0.484966836
C-EEU-HUN,urb,Zone_4A Mixed Humid,0.476299894
C-EEU-HUN,urb,Zone_5A Cool Humid,0.523700106
C-EEU-LTU,rur,Zone_6A Cold Humid,1
C-EEU-LTU,urb,Zone_6A Cold Humid,1
C-EEU-LVA,rur,Zone_6A Cold Humid,1
C-EEU-LVA,urb,Zone_6A Cold Humid,1
C-EEU-POL,rur,Zone_5A Cool Humid,1
C-EEU-POL,urb,Zone_5A Cool Humid,1
C-EEU-ROU,rur,Zone_4A Mixed Humid,0.347809548
C-EEU-ROU,rur,Zone_5A Cool Humid,0.4950908660000001
C-EEU-ROU,rur,Zone_6A Cold Humid,0.157099586
C-EEU-ROU,urb,Zone_4A Mixed Humid,0.40331551040331554
C-EEU-ROU,urb,Zone_5A Cool Humid,0.5170510965170511
C-EEU-ROU,urb,Zone_6A Cold Humid,0.0796333930796334
C-EEU-SVK,rur,Zone_5A Cool Humid,0.5407992110000001
C-EEU-SVK,rur,Zone_6A Cold Humid,0.45920078900000005
